"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","56.00","57.49","57.50","56.00","19.00K","-1.75%"
"12/29/2022","57.00","55.89","57.00","55.25","35.50K","2.15%"
"12/28/2022","55.80","55.10","56.00","55.09","24.50K","-1.85%"
"12/27/2022","56.85","58.10","58.10","55.50","10.50K","-1.98%"
"12/26/2022","58.00","58.50","59.50","57.95","23.00K","-1.69%"
"12/23/2022","59.00","59.50","59.50","55.65","37.50K","-1.67%"
"12/22/2022","60.00","60.20","60.50","59.65","17.00K","-0.83%"
"12/21/2022","60.50","59.02","60.85","59.02","5.00K","-2.20%"
"12/20/2022","61.86","61.01","61.86","59.00","26.50K","0.10%"
"12/19/2022","61.80","61.50","63.00","61.50","85.00K","-1.87%"
"12/16/2022","62.98","62.05","65.00","62.00","12.00K","-0.03%"
"12/15/2022","63.00","65.01","65.01","63.00","15.00K","-4.55%"
"12/14/2022","66.00","66.00","66.00","66.00","1.50K","-1.33%"
"12/13/2022","66.89","65.51","66.89","65.25","7.00K","1.01%"
"12/12/2022","66.22","66.22","66.22","66.22","0.50K","0.32%"
"12/09/2022","66.01","65.80","66.25","65.51","6.50K","-0.06%"
"12/08/2022","66.05","67.00","67.99","66.05","5.50K","-2.15%"
"12/07/2022","67.50","65.00","68.50","65.00","32.00K","1.89%"
"12/06/2022","66.25","66.00","66.25","66.00","3.50K","-0.36%"
"12/05/2022","66.49","66.80","66.80","66.02","5.00K","-1.58%"
"12/02/2022","67.56","66.11","67.95","66.11","6.00K","-0.79%"
"12/01/2022","68.10","68.11","68.35","68.10","14.50K","-0.57%"
"11/30/2022","68.49","68.26","68.74","67.50","41.50K","-1.45%"
"11/29/2022","69.50","69.10","69.50","69.10","106.50K","-0.50%"
"11/28/2022","69.85","71.90","71.90","69.00","48.50K","-4.32%"
"11/25/2022","73.00","73.01","73.50","72.11","21.50K","0.00%"
"11/24/2022","73.00","72.45","73.25","72.00","13.50K","1.25%"
"11/23/2022","72.10","72.89","73.25","71.75","79.00K","-1.10%"
"11/22/2022","72.90","71.00","72.90","70.99","62.50K","4.14%"
"11/21/2022","70.00","70.06","70.89","70.00","40.00K","-0.57%"
"11/18/2022","70.40","71.05","71.05","70.00","672.50K","-0.85%"
"11/17/2022","71.00","71.95","71.95","70.76","25.00K","-1.13%"
"11/16/2022","71.81","72.88","72.88","71.71","82.50K","-1.36%"
"11/15/2022","72.80","73.88","74.00","72.80","43.50K","-0.27%"
"11/14/2022","73.00","77.51","77.51","72.10","183.50K","-5.81%"
"11/11/2022","77.50","79.40","79.75","77.50","30.00K","-0.64%"
"11/10/2022","78.00","78.99","79.80","77.99","286.50K","-1.14%"
"11/08/2022","78.90","79.85","79.98","77.60","28.50K","-0.09%"
"11/07/2022","78.97","78.00","79.85","77.56","9.00K","1.27%"
"11/04/2022","77.98","77.00","77.99","76.01","5.00K","-0.01%"
"11/03/2022","77.99","78.00","78.00","77.80","3.50K","-1.15%"
"11/02/2022","78.90","79.19","79.19","78.00","7.50K","-0.13%"
"11/01/2022","79.00","80.90","80.90","78.60","26.00K","-1.19%"
"10/31/2022","79.95","80.97","80.97","76.60","7.00K","0.64%"
"10/28/2022","79.44","77.03","79.76","77.00","17.50K","-0.70%"
