"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","4.53","4.69","4.75","4.50","1.31M","-3.41%"
"12/29/2022","4.69","4.59","4.70","4.46","364.00K","5.87%"
"12/28/2022","4.43","4.60","4.64","4.40","1.08M","-3.49%"
"12/27/2022","4.59","4.79","4.82","4.58","488.00K","-4.38%"
"12/26/2022","4.80","4.69","4.85","4.68","751.50K","3.67%"
"12/23/2022","4.63","4.65","4.71","4.60","864.50K","0.43%"
"12/22/2022","4.61","4.52","4.69","4.52","809.50K","1.77%"
"12/21/2022","4.53","4.60","4.73","4.40","1.59M","-0.44%"
"12/20/2022","4.55","5.20","5.20","4.35","1.81M","-10.96%"
"12/19/2022","5.11","5.25","5.30","5.10","393.00K","-2.11%"
"12/16/2022","5.22","5.39","5.42","5.16","922.00K","-2.43%"
"12/15/2022","5.35","5.50","5.50","5.27","1.43M","-3.25%"
"12/14/2022","5.53","5.46","5.66","5.30","3.64M","1.84%"
"12/13/2022","5.43","5.60","5.66","5.40","1.37M","-2.51%"
"12/12/2022","5.57","5.64","5.72","5.50","2.02M","0.36%"
"12/09/2022","5.55","5.77","5.80","5.52","3.00M","-2.63%"
"12/08/2022","5.70","6.25","6.30","5.65","12.84M","-7.32%"
"12/07/2022","6.15","5.62","6.30","5.62","29.56M","13.05%"
"12/06/2022","5.44","5.30","5.93","5.30","11.28M","4.02%"
"12/05/2022","5.23","5.50","5.50","5.23","627.50K","-3.51%"
"12/02/2022","5.42","5.73","5.75","5.40","1.07M","-3.56%"
"12/01/2022","5.62","5.42","5.84","5.42","3.59M","5.05%"
"11/30/2022","5.35","5.39","5.43","5.33","192.00K","0.00%"
"11/29/2022","5.35","5.39","5.40","5.31","169.00K","1.13%"
"11/28/2022","5.29","5.55","5.58","5.29","991.00K","-6.21%"
"11/25/2022","5.64","5.69","5.77","5.60","916.00K","0.00%"
"11/24/2022","5.64","5.46","5.75","5.46","1.16M","2.92%"
"11/23/2022","5.48","5.66","5.66","5.47","319.50K","-1.26%"
"11/22/2022","5.55","5.68","5.68","5.51","324.50K","-0.18%"
"11/21/2022","5.56","5.52","5.63","5.50","227.50K","-0.71%"
"11/18/2022","5.60","5.65","5.68","5.50","553.00K","0.00%"
"11/17/2022","5.60","5.70","5.70","5.57","601.00K","-0.88%"
"11/16/2022","5.65","5.65","5.70","5.60","249.00K","0.00%"
"11/15/2022","5.65","5.72","5.80","5.65","789.00K","-2.59%"
