"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","51.64","51.00","52.50","49.50","4.87M","1.14%"
"12/29/2022","51.06","48.35","51.77","48.20","3.40M","3.51%"
"12/28/2022","49.33","48.80","50.75","47.35","5.63M","1.71%"
"12/27/2022","48.50","49.15","49.90","47.88","1.69M","-1.20%"
"12/26/2022","49.09","47.90","49.87","47.63","1.21M","3.09%"
"12/23/2022","47.62","47.70","48.50","47.10","1.77M","-1.04%"
"12/22/2022","48.12","47.20","48.83","47.20","830.73K","-0.04%"
"12/21/2022","48.14","47.50","48.99","47.20","1.25M","-1.43%"
"12/20/2022","48.84","49.88","51.50","46.40","3.80M","-2.18%"
"12/19/2022","49.93","49.79","51.89","49.11","1.04M","0.28%"
"12/16/2022","49.79","49.74","50.37","49.00","400.68K","0.61%"
"12/15/2022","49.49","50.10","50.37","48.77","689.81K","-1.32%"
"12/14/2022","50.15","49.27","50.94","48.85","933.70K","1.05%"
"12/13/2022","49.63","49.44","49.90","49.00","515.90K","0.30%"
"12/12/2022","49.48","48.69","52.01","48.03","1.69M","2.25%"
"12/09/2022","48.39","48.00","48.80","48.00","421.34K","-0.19%"
"12/08/2022","48.48","49.00","49.44","48.40","867.12K","-1.08%"
"12/07/2022","49.01","49.15","49.86","48.90","892.56K","-0.28%"
"12/06/2022","49.15","49.54","49.97","48.31","483.41K","0.82%"
"12/05/2022","48.75","50.43","50.43","48.40","1.48M","-2.62%"
"12/02/2022","50.06","51.04","51.04","49.90","666.07K","-1.46%"
"12/01/2022","50.80","50.98","51.25","50.53","382.51K","-0.10%"
"11/30/2022","50.85","51.25","51.35","50.26","2.16M","-0.47%"
"11/29/2022","51.09","51.00","51.34","50.45","579.02K","0.77%"
"11/28/2022","50.70","52.50","52.50","50.28","2.85M","-5.81%"
"11/25/2022","53.83","55.89","55.89","53.54","998.24K","-2.15%"
"11/24/2022","55.01","54.78","55.52","54.64","725.10K","0.55%"
"11/23/2022","54.71","55.44","55.80","54.60","620.36K","-0.56%"
"11/22/2022","55.02","54.21","55.38","54.21","759.00K","0.77%"
"11/21/2022","54.60","54.40","55.21","54.02","554.35K","-0.42%"
"11/18/2022","54.83","54.70","55.19","54.50","297.40K","0.11%"
"11/17/2022","54.77","55.00","55.85","54.70","703.34K","0.00%"
"11/16/2022","54.77","54.71","55.40","54.71","322.84K","-0.80%"
"11/15/2022","55.21","55.22","55.99","54.85","494.85K","-0.02%"
"11/14/2022","55.22","55.50","55.85","55.00","439.78K","-1.06%"
"11/11/2022","55.81","56.25","56.30","55.60","675.26K","-0.13%"
"11/10/2022","55.88","55.50","56.40","55.50","1.70M","1.14%"
"11/08/2022","55.25","54.66","55.60","54.55","1.43M","2.14%"
"11/07/2022","54.09","54.25","54.88","53.91","570.37K","0.30%"
"11/04/2022","53.93","53.15","55.99","53.00","1.77M","-1.61%"
"11/03/2022","54.81","53.91","55.64","53.91","2.09M","1.31%"
"11/02/2022","54.10","54.40","54.62","53.59","875.24K","-0.59%"
"11/01/2022","54.42","53.22","54.70","52.60","1.83M","4.35%"
"10/31/2022","52.15","52.10","52.90","51.50","473.56K","0.52%"
"10/28/2022","51.88","53.80","53.80","51.60","892.99K","-2.76%"
"10/27/2022","53.35","53.00","53.85","52.86","1.05M","0.34%"
"10/26/2022","53.17","56.05","56.05","52.85","2.64M","-6.62%"
"10/25/2022","56.94","58.51","58.94","56.65","852.34K","-2.88%"
"10/24/2022","58.63","59.51","59.80","58.50","655.14K","0.00%"
"10/21/2022","58.63","58.50","59.25","57.60","922.79K","-0.58%"
"10/20/2022","58.97","59.10","60.15","58.85","1.27M","-0.19%"
"10/19/2022","59.08","58.30","59.43","58.30","2.54M","1.29%"
"10/18/2022","58.33","58.99","59.40","58.20","717.29K","-0.46%"
"10/17/2022","58.60","60.00","60.00","58.50","507.95K","-2.25%"
"10/14/2022","59.95","60.25","60.70","59.70","861.71K","0.15%"
"10/13/2022","59.86","60.19","60.84","59.65","1.06M","-1.66%"
"10/12/2022","60.87","60.75","62.15","60.52","913.96K","-0.77%"
"10/11/2022","61.34","62.05","62.45","61.05","1.05M","-1.18%"
"10/10/2022","62.07","62.42","62.42","61.32","1.40M","0.88%"
"10/07/2022","61.53","61.96","63.00","61.35","1.82M","-0.84%"
"10/06/2022","62.05","62.88","63.49","61.70","3.56M","-0.39%"
"10/05/2022","62.29","60.58","62.98","59.80","4.69M","3.16%"
"10/04/2022","60.38","60.25","61.10","59.80","1.46M","0.53%"
"10/03/2022","60.06","60.25","60.75","59.80","675.46K","-0.92%"
"09/30/2022","60.62","60.51","61.97","59.50","1.84M","-0.10%"
"09/29/2022","60.68","61.00","61.73","60.30","1.05M","-0.26%"
"09/28/2022","60.84","61.50","62.00","60.55","2.63M","-0.62%"
"09/27/2022","61.22","61.25","62.25","60.80","2.63M","0.41%"
"09/26/2022","60.97","58.20","61.39","58.20","3.70M","3.88%"
"09/23/2022","58.69","58.00","61.00","55.61","1.13M","2.03%"
"09/22/2022","57.52","58.68","58.68","55.56","2.27M","-1.12%"
"09/21/2022","58.17","58.81","59.45","58.00","840.69K","-1.36%"
"09/20/2022","58.97","59.00","59.83","58.16","1.18M","0.19%"
"09/19/2022","58.86","59.25","59.90","58.75","644.03K","-0.74%"
"09/16/2022","59.30","60.34","60.70","59.00","1.36M","-1.72%"
"09/15/2022","60.34","60.88","61.10","60.20","1.56M","-0.36%"
"09/14/2022","60.56","60.50","61.20","60.25","1.94M","-0.61%"
"09/13/2022","60.93","60.50","61.19","59.51","2.92M","1.47%"
"09/12/2022","60.05","60.80","61.20","60.00","486.17K","-1.05%"
"09/09/2022","60.69","60.70","62.25","60.00","2.83M","-0.21%"
"09/08/2022","60.82","59.00","61.00","58.50","3.76M","4.05%"
"09/07/2022","58.45","59.00","59.56","58.12","768.22K","-0.53%"
"09/06/2022","58.76","59.75","59.99","58.50","2.06M","-2.20%"
"09/05/2022","60.08","62.00","62.60","59.40","3.14M","-2.81%"
"09/02/2022","61.82","62.50","62.65","61.55","2.95M","-0.02%"
"09/01/2022","61.83","60.90","62.95","60.50","7.21M","2.86%"
"08/31/2022","60.11","59.64","60.85","58.10","2.39M","1.66%"
"08/30/2022","59.13","61.50","61.75","58.75","2.39M","-2.20%"
"08/29/2022","60.46","60.00","60.75","58.99","1.48M","-0.15%"
"08/26/2022","60.55","63.39","63.39","60.30","2.05M","-1.86%"
"08/25/2022","61.70","62.67","62.67","60.80","2.17M","-0.19%"
"08/24/2022","61.82","63.25","63.51","61.71","1.55M","-2.48%"
"08/23/2022","63.39","62.90","63.85","62.60","2.91M","3.02%"
"08/22/2022","61.53","62.90","62.90","61.25","2.20M","-2.55%"
"08/19/2022","63.14","63.99","64.15","62.90","925.87K","-1.56%"
"08/18/2022","64.14","65.70","65.70","64.00","1.89M","-1.17%"
"08/17/2022","64.90","63.00","65.45","62.26","5.73M","3.26%"
"08/16/2022","62.85","63.50","64.56","62.50","6.16M","-0.99%"
"08/15/2022","63.48","61.60","63.90","61.19","4.21M","4.41%"
"08/12/2022","60.80","59.40","61.00","59.21","1.62M","2.17%"
"08/11/2022","59.51","59.94","60.80","59.31","1.96M","-0.75%"
"08/10/2022","59.96","60.79","61.50","59.50","2.59M","-0.73%"
"08/05/2022","60.40","58.32","60.98","58.05","6.21M","4.35%"
"08/04/2022","57.88","57.10","58.78","57.02","3.65M","2.14%"
"08/03/2022","56.67","53.75","57.01","53.30","3.98M","6.34%"
"08/02/2022","53.29","52.45","54.20","52.26","825.00K","1.06%"
"08/01/2022","52.73","52.74","53.35","52.30","611.68K","0.48%"
"07/29/2022","52.48","53.65","53.65","52.25","733.17K","-1.58%"
"07/28/2022","53.32","53.10","54.43","52.90","2.21M","0.43%"
"07/27/2022","53.09","54.25","54.60","52.30","2.36M","-1.85%"
"07/26/2022","54.09","54.56","55.34","53.83","1.30M","-0.86%"
"07/25/2022","54.56","55.13","55.13","53.90","313.52K","-1.45%"
"07/22/2022","55.36","53.20","55.75","53.20","888.75K","2.52%"
"07/21/2022","54.00","54.68","55.25","53.80","1.12M","-1.50%"
"07/20/2022","54.82","53.50","55.60","53.50","1.09M","0.96%"
"07/19/2022","54.30","56.11","56.94","53.67","1.58M","-2.69%"
"07/18/2022","55.80","57.50","57.95","55.23","2.22M","-5.01%"
"07/15/2022","58.74","60.49","60.99","58.40","2.37M","-2.51%"
"07/14/2022","60.25","59.05","60.55","58.41","3.33M","3.45%"
"07/13/2022","58.24","57.01","58.70","56.13","2.61M","0.95%"
"07/07/2022","57.69","57.41","58.24","57.06","575.27K","0.19%"
"07/06/2022","57.58","58.75","59.20","57.26","1.47M","-0.62%"
"07/05/2022","57.94","58.99","59.25","57.70","327.59K","-1.16%"
