"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","446.00","454.00","454.00","442.01","47.93K","-0.46%"
"12/29/2022","448.05","434.90","450.00","428.12","489.38K","3.74%"
"12/28/2022","431.90","435.99","435.99","427.00","322.46K","-0.48%"
"12/27/2022","434.00","437.98","438.00","432.20","113.32K","0.00%"
"12/26/2022","434.01","439.79","453.00","421.55","157.42K","0.95%"
"12/23/2022","429.93","440.01","440.01","425.01","200.23K","-1.62%"
"12/22/2022","437.00","435.00","442.99","430.01","218.02K","1.84%"
"12/21/2022","429.11","424.00","433.49","415.05","435.09K","1.21%"
"12/20/2022","424.00","445.88","450.00","408.66","490.61K","-4.07%"
"12/19/2022","442.00","449.44","450.98","441.01","66.26K","-1.89%"
"12/16/2022","450.52","454.80","454.90","445.11","295.91K","-0.10%"
"12/15/2022","450.95","454.98","455.90","447.00","425.42K","-0.45%"
"12/14/2022","453.00","454.99","455.00","451.50","192.68K","-0.03%"
"12/13/2022","453.15","451.01","456.94","451.01","179.89K","0.25%"
"12/12/2022","452.00","451.01","454.00","451.00","207.45K","-0.18%"
"12/09/2022","452.80","452.00","455.00","447.02","127.26K","0.18%"
"12/08/2022","452.00","446.00","455.00","446.00","245.33K","-0.06%"
"12/07/2022","452.25","445.01","454.98","443.00","301.49K","2.32%"
"12/06/2022","442.00","444.00","446.00","437.00","199.20K","0.00%"
"12/05/2022","442.00","459.90","461.00","439.00","309.11K","-3.46%"
"12/02/2022","457.84","472.00","472.00","456.20","278.96K","-2.19%"
"12/01/2022","468.11","476.90","476.90","467.51","136.91K","-1.03%"
"11/30/2022","473.00","467.89","475.00","462.90","684.04K","1.28%"
"11/29/2022","467.00","459.00","468.00","458.16","411.51K","1.52%"
"11/28/2022","460.00","471.00","471.00","455.50","771.42K","-4.91%"
"11/25/2022","483.75","492.00","492.00","482.67","168.46K","-0.47%"
"11/24/2022","486.01","487.15","491.00","485.01","255.36K","-0.20%"
"11/23/2022","487.00","489.00","489.90","486.00","50.25K","0.10%"
"11/22/2022","486.50","486.00","491.89","484.00","360.02K","0.49%"
"11/21/2022","484.11","484.00","488.50","483.30","132.35K","-0.80%"
"11/18/2022","488.00","489.93","489.93","485.00","193.13K","0.20%"
"11/17/2022","487.02","488.99","490.28","486.01","255.54K","0.19%"
"11/16/2022","486.12","489.88","489.88","482.99","80.74K","0.02%"
"11/15/2022","486.00","488.20","493.40","485.00","418.80K","-0.61%"
"11/14/2022","489.00","489.97","490.50","482.00","134.34K","-0.33%"
"11/11/2022","490.60","492.00","493.00","488.50","153.63K","0.11%"
"11/10/2022","490.06","491.90","493.70","488.00","467.30K","0.42%"
"11/08/2022","488.00","488.85","491.40","487.00","351.96K","1.00%"
"11/07/2022","483.15","484.00","489.00","483.00","98.71K","-0.11%"
"11/04/2022","483.70","485.10","487.99","482.00","246.24K","-1.27%"
"11/03/2022","489.91","489.00","494.75","488.50","351.22K","0.03%"
"11/02/2022","489.75","492.00","492.98","485.20","160.23K","-0.46%"
"11/01/2022","492.00","493.74","494.00","486.08","442.51K","1.24%"
"10/31/2022","485.99","488.00","488.00","481.00","121.32K","1.11%"
"10/28/2022","480.65","494.90","494.99","478.23","225.54K","-2.41%"
"10/27/2022","492.50","493.00","499.39","491.00","346.58K","-1.01%"
"10/26/2022","497.50","503.25","506.92","494.50","377.35K","-1.68%"
"10/25/2022","506.00","513.50","513.50","506.00","212.60K","-1.07%"
"10/24/2022","511.49","518.00","518.00","510.51","383.18K","-0.27%"
"10/21/2022","512.90","513.99","514.90","508.10","186.63K","0.18%"
"10/20/2022","512.00","516.00","516.00","512.00","241.14K","-0.39%"
"10/19/2022","514.00","513.00","515.90","510.50","367.21K","0.88%"
"10/18/2022","509.50","511.52","515.49","506.99","411.64K","-0.20%"
"10/17/2022","510.50","514.89","514.90","509.70","393.80K","-0.29%"
"10/14/2022","512.00","516.99","516.99","511.01","206.76K","-0.20%"
"10/13/2022","513.02","514.01","517.09","510.90","186.57K","0.00%"
"10/12/2022","513.04","515.50","520.00","512.00","363.24K","-0.19%"
"10/11/2022","514.00","516.00","517.10","510.20","333.88K","-0.39%"
"10/10/2022","516.00","514.00","517.50","510.50","508.38K","0.81%"
"10/07/2022","511.86","510.90","520.90","510.15","823.97K","-0.13%"
"10/06/2022","512.51","519.98","523.00","512.13","661.34K","-0.94%"
"10/05/2022","517.36","510.00","518.89","507.80","1.33M","2.11%"
"10/04/2022","506.65","496.20","511.00","495.33","1.61M","2.77%"
"10/03/2022","493.00","498.89","498.89","492.05","170.26K","-0.72%"
"09/30/2022","496.56","501.00","507.90","491.11","836.93K","-1.38%"
"09/29/2022","503.50","497.79","505.99","492.00","996.34K","1.31%"
"09/28/2022","497.00","495.90","503.50","494.05","780.05K","0.61%"
"09/27/2022","494.00","490.00","498.65","486.00","1.11M","1.23%"
"09/26/2022","488.00","481.00","493.00","470.00","1.74M","1.74%"
"09/23/2022","479.65","493.90","494.05","477.05","338.71K","-1.56%"
"09/22/2022","487.25","480.00","489.74","473.05","512.54K","1.30%"
"09/21/2022","481.00","494.99","495.99","481.00","428.67K","-2.24%"
"09/20/2022","492.00","503.90","503.98","491.50","427.62K","-1.94%"
"09/19/2022","501.75","511.69","511.69","500.00","174.81K","-1.26%"
"09/16/2022","508.17","511.08","515.20","506.80","411.96K","-0.36%"
"09/15/2022","510.00","514.00","523.35","509.50","922.91K","-0.55%"
"09/14/2022","512.81","513.40","515.75","510.00","157.46K","-0.04%"
"09/13/2022","513.00","513.40","516.70","512.53","191.12K","0.00%"
"09/12/2022","513.00","516.00","518.99","510.00","155.57K","-0.30%"
"09/09/2022","514.54","516.00","520.00","513.50","346.28K","0.11%"
"09/08/2022","514.00","511.01","517.89","510.50","413.77K","1.18%"
"09/07/2022","507.99","519.90","520.00","507.02","137.41K","-0.78%"
"09/06/2022","511.99","516.00","516.00","509.00","201.54K","-0.31%"
"09/05/2022","513.60","519.95","524.50","513.60","485.02K","-1.37%"
"09/02/2022","520.74","522.00","526.45","518.00","391.58K","-0.48%"
"09/01/2022","523.25","518.98","529.51","516.72","1.14M","0.92%"
"08/31/2022","518.50","508.99","519.50","507.10","572.07K","1.87%"
"08/30/2022","509.00","518.90","521.50","507.00","1.03M","-0.59%"
"08/29/2022","512.00","517.00","517.00","497.21","1.30M","-1.31%"
"08/26/2022","518.78","540.00","540.00","517.01","2.10M","0.15%"
"08/25/2022","518.00","507.00","526.90","501.00","1.97M","1.97%"
"08/24/2022","508.00","522.00","527.00","507.00","1.02M","-1.93%"
"08/23/2022","518.00","497.00","521.87","495.99","2.19M","5.71%"
"08/22/2022","490.00","492.80","493.89","485.00","512.74K","-0.59%"
"08/19/2022","492.89","495.11","498.41","490.30","330.15K","-1.13%"
"08/18/2022","498.50","502.99","511.00","495.00","1.22M","-1.09%"
"08/17/2022","504.00","482.00","505.43","478.20","1.95M","5.22%"
"08/16/2022","479.01","475.00","489.45","473.25","2.56M","1.08%"
"08/15/2022","473.90","465.00","480.50","462.55","2.32M","2.29%"
"08/12/2022","463.30","464.00","465.00","460.00","504.50K","-0.25%"
"08/11/2022","464.45","462.00","467.67","459.00","572.77K","0.70%"
"08/10/2022","461.20","471.00","476.89","458.00","1.21M","-1.06%"
"08/05/2022","466.15","454.99","474.90","454.99","1.83M","2.46%"
"08/04/2022","454.95","442.10","454.95","442.10","794.59K","3.39%"
"08/03/2022","440.02","419.99","448.35","416.06","1.17M","5.52%"
"08/02/2022","417.00","413.80","421.00","409.12","254.72K","0.60%"
"08/01/2022","414.51","412.00","415.90","409.01","109.86K","0.63%"
"07/29/2022","411.93","418.00","418.00","410.03","187.84K","-0.98%"
"07/28/2022","416.00","417.97","423.90","415.00","509.04K","0.23%"
"07/27/2022","415.06","414.41","417.99","411.00","282.25K","0.02%"
"07/26/2022","414.99","416.99","421.88","409.00","358.29K","-0.72%"
"07/25/2022","417.99","415.00","417.99","411.51","150.71K","-0.23%"
"07/22/2022","418.96","425.99","427.00","407.31","560.46K","-0.72%"
"07/21/2022","422.01","430.00","430.95","422.00","223.97K","-1.74%"
"07/20/2022","429.50","430.89","433.50","425.00","226.00K","0.12%"
"07/19/2022","428.99","436.00","439.98","423.50","318.49K","-2.50%"
"07/18/2022","439.98","440.00","445.00","433.00","328.98K","-2.44%"
"07/15/2022","451.00","458.50","463.00","445.60","586.72K","-1.20%"
"07/14/2022","456.50","451.00","458.90","443.00","750.35K","2.13%"
"07/13/2022","447.00","434.99","447.00","430.11","484.10K","2.76%"
"07/07/2022","435.01","439.50","440.02","434.00","133.87K","-0.14%"
"07/06/2022","435.63","439.90","443.95","435.60","324.18K","-0.31%"
"07/05/2022","437.00","441.50","444.00","433.80","146.78K","-1.58%"
"07/04/2022","444.00","450.50","457.90","439.40","436.18K","-1.92%"
"07/01/2022","452.69","458.00","458.50","451.03","159.30K","-0.73%"
"06/30/2022","456.00","457.50","466.00","450.10","1.58M","0.66%"
"06/29/2022","453.00","452.91","464.99","449.01","899.48K","0.64%"
"06/28/2022","450.10","448.00","475.00","447.00","1.00M","1.15%"
"06/27/2022","445.00","437.99","450.00","436.00","621.74K","2.02%"
"06/24/2022","436.17","461.90","463.00","427.26","874.68K","-5.59%"
"06/23/2022","462.00","461.00","468.00","460.51","403.93K","0.65%"
"06/22/2022","459.00","467.00","469.00","457.55","579.78K","-1.29%"
"06/21/2022","464.99","454.00","467.00","451.11","907.65K","3.22%"
"06/20/2022","450.50","466.00","468.50","450.01","404.49K","-2.87%"
