"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","63.99","64.00","64.00","63.25","13.00K","1.17%"
"12/29/2022","63.25","64.00","64.00","63.25","278.00K","0.00%"
"12/28/2022","63.25","63.25","63.50","63.25","208.50K","-0.39%"
"12/27/2022","63.50","63.50","63.50","63.50","0.50K","0.00%"
"12/26/2022","63.50","63.49","63.50","63.25","38.50K","0.79%"
"12/23/2022","63.00","63.00","63.00","63.00","7.50K","-0.03%"
"12/22/2022","63.02","63.01","63.02","63.00","12.50K","0.03%"
"12/21/2022","63.00","62.10","63.06","62.01","110.00K","1.78%"
"12/20/2022","61.90","61.55","62.00","61.50","7.00K","-1.26%"
"12/19/2022","62.69","63.00","63.00","58.35","8.50K","-0.49%"
"12/16/2022","63.00","63.00","63.00","63.00","0.50K","-1.18%"
"12/13/2022","63.75","63.75","63.75","63.75","1.00K","1.19%"
"12/12/2022","63.00","63.00","63.75","63.75","0.50K","-1.18%"
"12/09/2022","63.75","63.75","63.80","63.75","6.00K","0.00%"
"12/08/2022","63.75","63.75","63.75","63.75","105.50K","0.00%"
"12/07/2022","63.75","63.75","64.00","63.75","124.00K","-0.16%"
"12/06/2022","63.85","63.75","63.85","63.75","206.50K","0.16%"
"12/05/2022","63.75","63.75","63.75","63.75","2.00K","0.00%"
"12/02/2022","63.75","64.06","64.06","63.75","305.00K","-0.39%"
"12/01/2022","64.00","64.00","64.50","64.00","61.50K","0.77%"
"11/30/2022","63.51","64.00","64.00","63.51","3.00K","-0.77%"
"11/28/2022","64.00","64.46","64.46","64.00","7.50K","-0.47%"
"11/25/2022","64.30","65.00","65.00","64.30","2.00K","-0.16%"
"11/23/2022","64.40","64.50","64.50","64.40","2.00K","-0.92%"
"11/22/2022","65.00","63.50","65.00","63.49","216.50K","1.64%"
"11/21/2022","63.95","64.50","64.50","63.50","21.00K","-1.46%"
"11/18/2022","64.90","64.00","64.90","64.00","6.50K","1.39%"
"11/17/2022","64.01","64.50","64.85","64.01","4.00K","-0.48%"
"11/16/2022","64.32","64.01","64.32","63.75","3.00K","0.11%"
"11/15/2022","64.25","64.99","65.00","64.25","29.00K","-0.09%"
"11/14/2022","64.31","65.00","65.00","64.25","30.50K","-0.29%"
"11/11/2022","64.50","64.10","64.75","64.10","207.00K","-0.37%"
"11/10/2022","64.74","63.51","64.75","63.51","224.50K","1.95%"
"11/08/2022","63.50","63.23","64.00","63.23","705.50K","0.43%"
"11/07/2022","63.23","63.00","63.90","63.00","13.50K","0.37%"
"11/04/2022","63.00","63.70","63.70","62.75","269.00K","-0.71%"
"11/03/2022","63.45","63.45","63.45","63.45","2.50K","0.54%"
"11/02/2022","63.11","63.47","63.47","63.47","1.00K","0.02%"
"11/01/2022","63.10","61.50","63.99","61.50","568.00K","-0.60%"
"10/31/2022","63.48","63.48","63.48","61.10","0.50K","0.60%"
"10/28/2022","63.10","63.85","63.85","63.00","1.50K","0.05%"
"10/27/2022","63.07","63.80","64.00","63.07","9.00K","-1.30%"
"10/26/2022","63.90","63.85","64.00","63.85","12.50K","-0.08%"
"10/25/2022","63.95","63.79","63.95","63.79","1.00K","-0.08%"
"10/24/2022","64.00","62.51","64.00","62.00","41.00K","2.40%"
"10/21/2022","62.50","63.11","63.11","62.50","11.00K","-0.95%"
"10/20/2022","63.10","63.50","63.50","63.10","117.50K","-0.63%"
"10/19/2022","63.50","63.50","63.50","63.40","7.50K","0.00%"
"10/18/2022","63.50","63.50","63.50","63.50","1.00K","0.44%"
"10/17/2022","63.22","63.70","64.00","63.22","48.50K","0.19%"
"10/14/2022","63.10","64.00","64.00","63.10","18.50K","-2.17%"
"10/13/2022","64.50","63.25","64.80","63.25","3.00K","0.78%"
"10/12/2022","64.00","64.00","64.00","63.50","2.00K","-0.39%"
"10/11/2022","64.25","63.70","64.25","63.70","1.50K","1.01%"
"10/07/2022","63.61","63.51","64.99","63.51","10.50K","-1.00%"
"10/06/2022","64.25","63.50","63.50","63.50","2.00K","-0.23%"
