"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","25.83","24.95","25.95","24.50","2.61M","5.00%"
"12/29/2022","24.60","25.19","25.19","24.00","573.77K","1.44%"
"12/28/2022","24.25","25.33","25.33","24.25","512.56K","-3.31%"
"12/27/2022","25.08","25.69","25.75","24.90","681.18K","-0.67%"
"12/26/2022","25.25","25.75","25.99","25.00","1.04M","-0.59%"
"12/23/2022","25.40","24.50","25.85","23.33","1.98M","4.35%"
"12/22/2022","24.34","23.98","24.35","23.49","1.63M","2.70%"
"12/21/2022","23.70","23.52","24.24","23.26","1.07M","-0.71%"
"12/20/2022","23.87","26.20","26.20","23.80","3.98M","-6.94%"
"12/19/2022","25.65","26.69","26.69","25.65","205.60K","-1.72%"
"12/16/2022","26.10","26.90","26.90","26.00","492.85K","-0.57%"
"12/15/2022","26.25","27.00","27.00","26.00","944.43K","-2.60%"
"12/14/2022","26.95","27.38","27.38","26.95","591.42K","-0.19%"
"12/13/2022","27.00","26.66","27.64","26.66","3.06M","0.37%"
"12/12/2022","26.90","27.10","27.25","26.75","1.19M","0.64%"
"12/09/2022","26.73","26.80","26.99","26.50","264.63K","0.68%"
"12/08/2022","26.55","26.95","27.48","26.55","724.77K","-0.56%"
"12/07/2022","26.70","27.00","27.40","26.59","2.44M","-0.19%"
"12/06/2022","26.75","26.51","27.10","26.51","812.32K","-0.34%"
"12/05/2022","26.84","27.90","27.90","26.72","889.47K","-2.04%"
"12/02/2022","27.40","27.98","27.98","27.24","793.77K","-1.72%"
"12/01/2022","27.88","27.89","28.24","27.68","1.00M","0.07%"
"11/30/2022","27.86","28.45","28.45","27.57","715.22K","-0.85%"
"11/29/2022","28.10","28.20","29.19","27.75","1.43M","-1.40%"
"11/28/2022","28.50","29.06","29.25","28.30","361.37K","-1.93%"
"11/25/2022","29.06","30.45","30.45","28.00","2.17M","-1.82%"
"11/24/2022","29.60","29.99","30.20","29.51","274.01K","-0.97%"
"11/23/2022","29.89","30.40","30.50","29.75","1.29M","-0.37%"
"11/22/2022","30.00","30.00","30.50","29.87","1.09M","0.98%"
"11/21/2022","29.71","28.83","30.28","28.75","2.82M","2.27%"
"11/18/2022","29.05","28.01","29.10","27.91","3.19M","3.75%"
"11/17/2022","28.00","28.00","28.48","27.85","1.19M","-0.39%"
"11/16/2022","28.11","28.00","28.50","28.00","337.52K","-1.16%"
"11/15/2022","28.44","28.40","28.70","28.15","649.07K","0.67%"
"11/14/2022","28.25","27.65","28.75","27.65","667.34K","-0.04%"
"11/11/2022","28.26","29.20","29.89","27.50","3.38M","-2.89%"
"11/10/2022","29.10","27.60","29.25","27.60","6.48M","5.59%"
"11/08/2022","27.56","26.99","27.99","26.04","8.14M","-12.37%"
"11/07/2022","31.45","31.49","31.94","31.16","8.72M","1.32%"
"11/04/2022","31.04","30.55","31.60","30.55","7.20M","0.36%"
"11/03/2022","30.93","30.00","31.25","29.83","7.78M","3.58%"
"11/02/2022","29.86","29.70","30.00","29.50","3.21M","1.25%"
"11/01/2022","29.49","29.99","30.01","29.35","2.29M","-1.21%"
"10/31/2022","29.85","30.49","30.49","29.01","1.19M","0.30%"
"10/28/2022","29.76","29.76","29.76","29.12","6.36M","7.48%"
"10/27/2022","27.69","25.70","27.69","25.39","4.53M","7.62%"
"10/26/2022","25.73","26.00","26.20","25.50","216.50K","-2.87%"
"10/25/2022","26.49","27.25","27.99","26.00","352.50K","-1.52%"
"10/24/2022","26.90","27.27","27.27","26.70","24.00K","-0.37%"
"10/21/2022","27.00","27.89","27.95","26.50","399.50K","-0.70%"
"10/20/2022","27.19","26.98","27.80","26.30","759.00K","1.64%"
"10/19/2022","26.75","25.79","27.30","25.79","1.02M","4.70%"
"10/18/2022","25.55","25.60","25.83","25.46","126.50K","0.79%"
"10/17/2022","25.35","25.62","25.98","25.35","591.50K","-2.42%"
"10/14/2022","25.98","25.92","26.15","25.80","52.50K","-0.08%"
"10/13/2022","26.00","26.01","26.45","25.92","308.50K","-2.66%"
"10/12/2022","26.71","26.25","26.71","25.98","347.50K","1.48%"
"10/11/2022","26.32","26.55","26.81","26.40","174.50K","-2.05%"
"10/10/2022","26.87","26.37","27.24","26.35","132.50K","0.07%"
"10/07/2022","26.85","27.24","27.24","26.40","513.50K","-0.19%"
"10/06/2022","26.90","26.95","27.44","26.54","192.00K","0.04%"
"10/05/2022","26.89","26.99","27.08","26.20","219.50K","2.05%"
"10/04/2022","26.35","26.05","26.48","25.83","246.50K","1.31%"
"10/03/2022","26.01","26.25","27.25","26.00","360.50K","-1.81%"
"09/30/2022","26.49","26.74","26.80","26.00","228.50K","0.72%"
"09/29/2022","26.30","26.49","26.90","26.19","277.50K","-1.68%"
"09/28/2022","26.75","26.80","27.25","26.50","441.00K","0.53%"
"09/27/2022","26.61","26.30","26.86","26.30","128.50K","1.76%"
"09/26/2022","26.15","26.60","26.60","26.01","339.00K","0.19%"
"09/23/2022","26.10","26.50","26.50","26.01","44.00K","-1.32%"
"09/22/2022","26.45","26.08","26.95","25.80","3.00M","0.95%"
"09/21/2022","26.20","27.06","27.06","26.10","837.00K","-3.82%"
"09/20/2022","27.24","27.00","27.24","26.86","68.50K","0.70%"
"09/19/2022","27.05","27.04","27.35","27.04","31.50K","-0.18%"
"09/16/2022","27.10","27.04","27.65","26.86","1.67M","-0.04%"
"09/15/2022","27.11","27.00","27.94","27.00","11.23M","0.44%"
"09/14/2022","26.99","27.23","28.00","26.76","409.50K","-0.95%"
"09/13/2022","27.25","27.11","27.50","27.06","496.50K","-0.84%"
"09/12/2022","27.48","26.70","27.48","26.50","916.00K","2.69%"
"09/09/2022","26.76","26.75","27.00","26.60","347.00K","-0.85%"
"09/08/2022","26.99","28.35","28.35","26.90","568.00K","-0.92%"
"09/07/2022","27.24","27.37","27.50","27.00","132.50K","-1.66%"
"09/06/2022","27.70","27.83","27.83","27.25","388.00K","-0.18%"
"09/05/2022","27.75","28.60","29.00","27.70","1.01M","-1.94%"
"09/02/2022","28.30","26.85","28.83","26.85","5.78M","4.89%"
"09/01/2022","26.98","26.80","28.34","26.67","3.03M","1.16%"
"08/31/2022","26.67","25.00","26.67","25.00","4.58M","7.76%"
"08/30/2022","24.75","25.00","25.90","24.75","872.50K","-0.60%"
"08/29/2022","24.90","25.19","25.19","24.32","194.00K","-0.99%"
"08/26/2022","25.15","24.97","25.25","24.51","176.00K","0.60%"
"08/25/2022","25.00","25.48","25.48","24.57","284.50K","-1.34%"
"08/24/2022","25.34","24.99","25.40","24.99","413.50K","1.77%"
"08/23/2022","24.90","24.68","24.90","24.09","1.60M","0.24%"
"08/22/2022","24.84","24.46","24.90","24.46","136.00K","-0.04%"
"08/19/2022","24.85","24.79","24.90","24.50","29.50K","1.30%"
"08/18/2022","24.53","25.27","25.35","24.50","314.00K","-3.43%"
"08/17/2022","25.40","25.25","25.40","25.01","87.00K","0.79%"
"08/16/2022","25.20","25.44","25.60","25.16","171.00K","-0.20%"
"08/15/2022","25.25","25.59","25.95","25.20","335.00K","0.40%"
"08/12/2022","25.15","25.11","25.95","25.00","510.50K","-0.40%"
"08/11/2022","25.25","25.80","25.89","25.06","241.50K","-0.39%"
"08/10/2022","25.35","26.00","26.00","25.35","419.50K","-1.71%"
"08/05/2022","25.79","25.31","25.90","25.25","206.50K","1.14%"
"08/04/2022","25.50","25.95","26.10","25.16","184.50K","-0.43%"
"08/03/2022","25.61","25.94","26.48","25.52","328.00K","0.83%"
"08/02/2022","25.40","25.80","26.20","25.01","1.39M","-1.74%"
"08/01/2022","25.85","26.45","26.57","25.85","75.00K","-2.08%"
"07/29/2022","26.40","25.60","26.49","25.60","1.69M","3.53%"
"07/28/2022","25.50","24.97","25.90","24.81","2.69M","2.45%"
"07/27/2022","24.89","24.35","24.96","24.33","593.00K","1.59%"
"07/26/2022","24.50","24.45","24.99","24.30","2.96M","1.03%"
"07/25/2022","24.25","23.80","24.40","23.80","176.50K","-0.21%"
"07/22/2022","24.30","23.75","25.00","23.55","1.06M","1.46%"
"07/21/2022","23.95","23.99","23.99","23.01","831.50K","-0.17%"
"07/20/2022","23.99","24.02","24.20","23.45","176.00K","0.00%"
"07/19/2022","23.99","24.43","25.25","23.25","648.50K","-0.33%"
"07/18/2022","24.07","24.90","24.90","23.99","290.00K","-2.51%"
"07/15/2022","24.69","24.34","24.98","24.30","1.67M","2.45%"
"07/14/2022","24.10","24.05","24.70","23.98","637.50K","-1.63%"
"07/13/2022","24.50","23.75","24.50","23.60","772.00K","2.94%"
"07/07/2022","23.80","24.29","24.55","23.80","465.00K","-1.61%"
"07/06/2022","24.19","24.79","25.15","24.00","952.50K","-0.45%"
"07/05/2022","24.30","24.00","24.80","23.70","1.63M","1.25%"
"07/04/2022","24.00","23.87","24.80","23.12","964.00K","2.13%"
"07/01/2022","23.50","23.24","24.00","23.24","192.50K","2.40%"
"06/30/2022","22.95","22.70","23.45","22.60","638.50K","2.00%"
"06/29/2022","22.50","22.53","23.50","21.80","556.50K","0.00%"
"06/28/2022","22.50","22.94","23.23","22.50","684.00K","-1.75%"
"06/27/2022","22.90","22.29","23.00","22.15","685.00K","5.05%"
"06/24/2022","21.80","22.98","23.00","21.09","730.00K","-4.39%"
"06/23/2022","22.80","22.99","23.15","22.50","603.50K","0.04%"
"06/22/2022","22.79","22.70","22.85","21.75","1.45M","3.36%"
"06/21/2022","22.05","22.24","22.50","21.05","1.04M","2.56%"
"06/20/2022","21.50","21.75","21.93","21.27","70.00K","-1.15%"
"06/17/2022","21.75","21.50","22.00","21.50","184.50K","-0.09%"
"06/16/2022","21.77","20.99","21.88","20.99","43.50K","3.67%"
"06/15/2022","21.00","21.20","21.75","20.07","80.50K","0.00%"
"06/14/2022","21.00","20.41","21.49","19.95","308.50K","2.54%"
"06/13/2022","20.48","21.30","21.90","20.35","391.00K","-6.91%"
"06/10/2022","22.00","21.70","22.00","21.70","18.50K","1.62%"
"06/09/2022","21.65","21.50","22.00","21.35","227.00K","-0.41%"
"06/08/2022","21.74","21.90","22.10","21.62","567.00K","-0.46%"
"06/07/2022","21.84","22.24","22.39","21.50","156.00K","0.09%"
"06/06/2022","21.82","22.00","22.10","21.80","139.00K","-0.95%"
"06/03/2022","22.03","23.00","23.02","21.85","513.50K","-5.45%"
"06/02/2022","23.30","23.15","23.45","22.80","113.50K","-0.85%"
"06/01/2022","23.50","23.75","23.75","23.21","210.00K","0.00%"
"05/31/2022","23.50","23.44","23.85","23.28","165.00K","0.73%"
"05/30/2022","23.33","23.23","23.74","23.10","238.00K","-0.51%"
"05/27/2022","23.45","23.70","24.00","23.20","702.00K","0.86%"
"05/26/2022","23.25","23.05","23.50","22.89","962.00K","-0.81%"
"05/25/2022","23.44","22.90","23.75","22.03","893.50K","1.91%"
"05/24/2022","23.00","24.00","24.20","23.00","177.00K","-2.95%"
"05/23/2022","23.70","24.00","24.00","23.65","139.00K","-1.29%"
"05/20/2022","24.01","23.99","24.25","23.65","179.00K","1.09%"
"05/19/2022","23.75","24.00","24.20","23.45","1.05M","0.64%"
"05/18/2022","23.60","23.60","23.99","23.52","272.50K","0.00%"
"05/17/2022","23.60","23.70","24.00","23.36","95.00K","1.29%"
"05/16/2022","23.30","23.00","23.90","22.99","271.50K","-1.89%"
"05/13/2022","23.75","22.60","24.14","22.50","349.50K","5.56%"
"05/12/2022","22.50","22.10","22.80","21.75","1.72M","2.27%"
"05/11/2022","22.00","23.24","23.30","21.65","748.00K","-4.76%"
"05/10/2022","23.10","23.02","23.50","22.85","699.50K","0.70%"
"05/09/2022","22.94","24.80","24.80","22.94","804.50K","-7.50%"
"05/06/2022","24.80","25.20","25.20","24.75","91.00K","-0.80%"
"04/28/2022","25.00","25.40","25.60","24.80","826.50K","-2.72%"
"04/27/2022","25.70","25.95","26.00","25.50","72.00K","-1.15%"
"04/26/2022","26.00","25.50","26.00","25.25","79.50K","0.42%"
