"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","62.30","60.34","64.00","59.60","3.21M","4.18%"
"12/29/2022","59.80","62.75","62.75","59.25","3.06M","-3.53%"
"12/28/2022","61.99","62.89","62.89","61.70","256.56K","-0.86%"
"12/27/2022","62.53","63.40","63.40","61.94","232.43K","-0.41%"
"12/26/2022","62.79","63.43","63.43","62.22","413.86K","0.37%"
"12/23/2022","62.56","62.95","63.45","61.45","313.71K","-0.70%"
"12/22/2022","63.00","63.00","63.82","62.50","508.93K","0.56%"
"12/21/2022","62.65","64.49","64.49","62.01","503.37K","-0.52%"
"12/20/2022","62.98","64.10","65.00","62.35","663.58K","-2.36%"
"12/19/2022","64.50","65.00","66.00","64.02","705.11K","0.00%"
"12/16/2022","64.50","64.89","65.35","63.20","470.76K","0.78%"
"12/15/2022","64.00","66.00","66.00","62.11","2.31M","-2.88%"
"12/14/2022","65.90","65.55","66.45","65.55","738.52K","-0.15%"
"12/13/2022","66.00","65.50","66.80","65.10","3.58M","1.23%"
"12/12/2022","65.20","66.29","66.35","65.20","5.51M","-0.62%"
"12/09/2022","65.61","67.65","67.75","65.50","1.55M","-1.78%"
"12/08/2022","66.80","68.34","68.34","66.75","665.89K","-1.04%"
"12/07/2022","67.50","68.00","68.25","67.30","1.71M","-0.37%"
"12/06/2022","67.75","68.00","68.29","67.15","311.75K","0.07%"
"12/05/2022","67.70","69.45","69.45","67.60","876.69K","-1.31%"
"12/02/2022","68.60","68.45","68.90","67.51","1.43M","1.25%"
"12/01/2022","67.75","66.98","70.10","66.98","5.48M","1.73%"
"11/30/2022","66.60","68.49","68.75","66.50","807.77K","-2.77%"
"11/29/2022","68.50","67.87","68.50","66.52","778.64K","3.01%"
"11/28/2022","66.50","69.00","69.00","66.50","712.64K","-2.21%"
"11/25/2022","68.00","68.48","68.48","67.76","1.25M","0.00%"
"11/24/2022","68.00","68.10","68.67","67.51","1.19M","-0.37%"
"11/23/2022","68.25","68.73","68.95","68.11","132.93K","0.00%"
"11/22/2022","68.25","68.90","68.92","68.00","100.66K","-0.06%"
"11/21/2022","68.29","67.52","68.49","67.50","265.28K","0.04%"
"11/18/2022","68.26","69.40","69.40","67.85","637.02K","-0.25%"
"11/17/2022","68.43","69.16","69.90","68.36","329.67K","-1.14%"
"11/16/2022","69.22","69.20","69.90","68.75","352.78K","-0.69%"
"11/15/2022","69.70","70.00","70.00","69.60","497.81K","-0.21%"
"11/14/2022","69.85","69.49","70.29","69.10","575.23K","0.50%"
"11/11/2022","69.50","69.99","70.29","69.26","541.12K","-0.29%"
"11/10/2022","69.70","68.00","71.25","67.50","3.76M","3.24%"
"11/08/2022","67.51","68.00","68.25","67.51","369.85K","-0.56%"
"11/07/2022","67.89","67.51","68.67","67.51","302.17K","0.28%"
"11/04/2022","67.70","68.01","68.40","67.30","257.25K","-2.04%"
"11/03/2022","69.11","69.48","70.00","68.70","1.51M","-0.20%"
"11/02/2022","69.25","69.85","70.49","69.08","517.56K","-0.82%"
"11/01/2022","69.82","70.49","70.50","69.70","992.10K","0.17%"
"10/31/2022","69.70","69.50","70.48","69.35","491.77K","-0.11%"
"10/28/2022","69.78","70.88","70.88","69.13","357.00K","-0.26%"
"10/27/2022","69.96","70.99","70.99","69.46","399.20K","-0.06%"
"10/26/2022","70.00","71.00","71.10","69.52","646.27K","-1.55%"
"10/25/2022","71.10","71.51","71.68","70.80","524.96K","-0.57%"
"10/24/2022","71.51","71.85","71.85","70.80","1.52M","0.58%"
"10/21/2022","71.10","71.49","71.89","70.50","3.10M","-0.70%"
"10/20/2022","71.60","71.74","71.74","71.37","3.78M","0.14%"
"10/19/2022","71.50","71.50","71.80","71.40","1.29M","0.00%"
"10/18/2022","71.50","71.94","71.94","71.30","1.37M","-0.01%"
"10/17/2022","71.51","71.90","71.90","71.40","1.29M","0.00%"
"10/14/2022","71.51","72.00","72.50","70.61","2.26M","0.01%"
"10/13/2022","71.50","71.99","71.99","71.35","1.18M","-0.27%"
"10/12/2022","71.69","71.50","72.00","70.01","883.41K","0.27%"
"10/11/2022","71.50","71.75","72.90","71.40","1.30M","-0.07%"
"10/10/2022","71.55","72.49","72.49","70.70","1.46M","-0.62%"
"10/07/2022","72.00","71.00","72.00","70.10","2.13M","1.27%"
"10/06/2022","71.10","69.98","71.39","69.50","2.49M","2.30%"
"10/05/2022","69.50","69.03","70.59","69.03","940.29K","-0.42%"
"10/04/2022","69.79","68.50","70.60","68.39","3.41M","2.86%"
"10/03/2022","67.85","67.26","70.95","67.05","13.17M","-2.67%"
"09/30/2022","69.71","69.71","69.71","69.71","697.32K","-7.50%"
"09/29/2022","75.36","80.01","80.01","75.36","1.83M","-7.61%"
"09/28/2022","81.57","81.70","84.10","81.15","1.04M","-0.04%"
"09/27/2022","81.60","81.79","81.79","80.62","937.05K","0.63%"
"09/26/2022","81.09","80.61","82.49","80.61","522.50K","0.73%"
"09/23/2022","80.50","82.70","82.70","80.50","4.94M","-1.89%"
"09/22/2022","82.05","82.70","82.70","80.11","604.52K","0.13%"
"09/21/2022","81.94","82.04","83.00","81.38","257.61K","-0.19%"
"09/20/2022","82.10","82.40","83.30","81.51","619.92K","0.26%"
"09/19/2022","81.89","83.40","84.78","81.50","715.85K","-1.52%"
"09/16/2022","83.15","84.00","86.00","82.70","1.61M","-1.46%"
"09/15/2022","84.38","87.49","87.60","83.30","422.87K","-3.00%"
"09/14/2022","86.99","88.49","88.49","86.52","193.03K","-1.71%"
"09/13/2022","88.50","87.53","88.75","86.81","409.21K","1.15%"
"09/12/2022","87.49","87.50","89.00","87.02","312.56K","-0.05%"
"09/09/2022","87.53","88.18","88.18","87.10","77.06K","-0.31%"
"09/08/2022","87.80","88.74","88.74","87.15","142.68K","-0.22%"
"09/07/2022","87.99","89.00","89.00","87.10","298.85K","-0.58%"
"09/06/2022","88.50","89.35","89.35","87.80","118.96K","0.00%"
"09/05/2022","88.50","91.00","91.00","88.00","274.44K","-2.21%"
"09/02/2022","90.50","90.95","90.95","88.06","170.85K","0.84%"
"09/01/2022","89.75","91.18","91.18","89.75","258.34K","-0.28%"
"08/31/2022","90.00","91.99","91.99","89.27","680.61K","-0.55%"
"08/30/2022","90.50","93.11","94.87","90.41","664.61K","-2.48%"
"08/29/2022","92.80","94.50","94.50","90.03","411.04K","-1.28%"
"08/26/2022","94.00","95.06","96.20","93.39","504.50K","-1.67%"
"08/25/2022","95.60","94.25","95.68","94.25","725.25K","1.70%"
"08/24/2022","94.00","95.45","96.00","93.66","1.77M","-0.95%"
"08/23/2022","94.90","93.01","98.00","93.01","1.25M","0.32%"
"08/22/2022","94.60","97.49","98.50","94.45","811.42K","-1.46%"
"08/19/2022","96.00","97.99","97.99","94.10","506.77K","-0.93%"
"08/18/2022","96.90","97.89","98.49","96.50","292.31K","-0.57%"
"08/17/2022","97.46","96.00","101.40","95.80","1.23M","0.97%"
"08/16/2022","96.52","95.50","99.80","94.00","1.57M","1.07%"
"08/15/2022","95.50","91.00","97.74","91.00","1.77M","5.52%"
"08/12/2022","90.50","88.98","91.17","86.40","580.21K","2.58%"
"08/11/2022","88.22","92.88","92.88","87.80","505.37K","-3.58%"
