"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","115.00","110.50","117.00","110.50","842.18K","2.13%"
"12/29/2022","112.60","110.99","112.70","108.95","398.27K","3.30%"
"12/28/2022","109.00","111.80","111.80","108.96","293.66K","-1.78%"
"12/27/2022","110.98","112.48","112.48","110.60","167.46K","-0.31%"
"12/26/2022","111.32","112.35","112.40","111.07","107.59K","-0.16%"
"12/23/2022","111.50","112.00","112.00","110.06","67.21K","0.00%"
"12/22/2022","111.50","113.00","113.00","110.75","412.28K","0.45%"
"12/21/2022","111.00","115.89","116.90","110.83","307.60K","-3.90%"
"12/20/2022","115.50","117.80","117.80","115.05","180.33K","-1.28%"
"12/19/2022","117.00","118.25","118.25","116.90","70.06K","-0.32%"
"12/16/2022","117.38","118.64","118.64","117.15","100.09K","-0.10%"
"12/15/2022","117.50","119.50","119.50","117.50","126.00K","-0.61%"
"12/14/2022","118.22","119.15","119.15","118.22","56.58K","-0.34%"
"12/13/2022","118.62","117.88","119.50","117.00","397.56K","1.60%"
"12/12/2022","116.75","117.98","118.19","116.75","125.91K","-1.06%"
"12/09/2022","118.00","117.15","118.14","116.75","631.95K","0.43%"
"12/08/2022","117.50","118.01","119.98","117.13","876.02K","-0.09%"
"12/07/2022","117.61","119.46","119.46","117.61","513.49K","-1.16%"
"12/06/2022","118.99","119.89","119.89","117.50","263.30K","1.05%"
"12/05/2022","117.75","119.15","119.15","117.75","194.68K","-0.88%"
"12/02/2022","118.80","119.50","119.50","118.55","391.17K","-0.17%"
"12/01/2022","119.00","118.50","119.47","118.50","1.61M","-0.38%"
"11/30/2022","119.45","119.50","119.50","118.85","275.63K","0.23%"
"11/29/2022","119.18","119.55","119.75","118.20","331.38K","0.53%"
"11/28/2022","118.55","119.50","119.99","118.25","124.18K","-0.34%"
"11/25/2022","118.95","119.99","120.30","118.91","46.83K","-0.55%"
"11/24/2022","119.61","119.50","119.75","119.01","45.89K","0.60%"
"11/23/2022","118.90","119.89","119.99","118.90","96.10K","0.08%"
"11/22/2022","118.80","119.10","120.00","118.77","164.51K","-0.24%"
"11/21/2022","119.08","119.00","120.19","119.00","86.75K","-0.18%"
"11/18/2022","119.30","120.00","120.09","118.70","92.04K","0.04%"
"11/17/2022","119.25","120.00","120.00","119.25","238.56K","-0.47%"
"11/16/2022","119.81","120.00","121.00","119.75","119.90K","-0.08%"
"11/15/2022","119.90","119.40","121.00","119.00","336.93K","0.50%"
"11/14/2022","119.30","118.71","119.90","118.71","81.90K","-0.58%"
"11/11/2022","120.00","119.98","122.00","118.56","264.97K","0.84%"
"11/10/2022","119.00","118.00","120.00","117.05","491.02K","1.61%"
"11/08/2022","117.11","117.03","117.97","117.03","301.04K","0.09%"
"11/07/2022","117.00","116.75","118.00","116.75","184.57K","-0.43%"
"11/04/2022","117.50","118.00","119.00","116.99","225.98K","-0.84%"
