"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","100.75","99.00","101.75","97.37","382.74K","1.97%"
"12/29/2022","98.80","99.00","99.90","96.75","337.58K","2.37%"
"12/28/2022","96.51","100.40","100.80","96.51","984.57K","-3.02%"
"12/27/2022","99.52","104.00","104.60","99.00","831.41K","-3.38%"
"12/26/2022","103.00","103.00","103.59","101.60","181.73K","-0.48%"
"12/23/2022","103.50","104.35","104.80","102.01","74.19K","-0.96%"
"12/22/2022","104.50","101.50","104.79","100.50","859.69K","4.40%"
"12/21/2022","100.10","102.00","104.97","100.00","508.85K","-2.32%"
"12/20/2022","102.48","105.45","112.85","100.11","1.18M","-2.40%"
"12/19/2022","105.00","106.49","106.49","104.75","132.98K","-0.32%"
"12/16/2022","105.34","106.90","107.60","104.90","675.78K","0.17%"
"12/15/2022","105.16","110.50","111.00","104.80","1.81M","-4.40%"
"12/14/2022","110.00","110.99","111.25","109.90","607.80K","-0.54%"
"12/13/2022","110.60","110.80","111.00","109.80","379.64K","0.77%"
"12/12/2022","109.75","110.63","111.00","109.75","2.44M","-0.90%"
"12/09/2022","110.75","107.75","110.90","107.75","1.14M","2.26%"
"12/08/2022","108.30","108.44","108.44","107.61","1.28M","0.51%"
"12/07/2022","107.75","108.25","108.40","107.66","316.92K","-0.51%"
"12/06/2022","108.30","108.25","108.95","107.45","305.64K","0.65%"
"12/05/2022","107.60","108.95","109.32","107.60","410.46K","-0.84%"
"12/02/2022","108.51","108.00","109.00","107.10","451.48K","-0.04%"
"12/01/2022","108.55","107.95","109.35","106.82","344.95K","1.47%"
"11/30/2022","106.98","108.45","108.64","106.10","536.75K","-0.94%"
"11/29/2022","108.00","107.50","109.49","107.01","784.55K","0.93%"
"11/28/2022","107.00","109.27","109.49","106.95","471.50K","-2.27%"
"11/25/2022","109.48","108.75","109.55","108.01","375.38K","1.14%"
"11/24/2022","108.25","108.45","108.45","107.95","276.36K","0.23%"
"11/23/2022","108.00","109.57","109.99","106.72","547.68K","-0.83%"
"11/22/2022","108.90","109.95","109.95","108.80","103.04K","-0.55%"
"11/21/2022","109.50","109.50","109.50","109.00","122.44K","0.42%"
"11/18/2022","109.04","110.35","110.35","108.50","246.09K","-0.88%"
"11/17/2022","110.01","109.85","111.60","109.85","347.23K","0.24%"
"11/16/2022","109.75","109.50","110.00","109.50","137.04K","-0.14%"
"11/15/2022","109.90","110.00","110.26","109.50","283.78K","-0.09%"
"11/14/2022","110.00","109.20","110.40","109.20","314.07K","0.00%"
"11/11/2022","110.00","110.45","110.45","109.50","459.87K","0.10%"
"11/10/2022","109.89","108.45","110.89","107.80","2.18M","1.75%"
"11/08/2022","108.00","107.94","108.70","107.80","699.28K","0.09%"
"11/07/2022","107.90","108.45","108.80","106.50","328.14K","-0.09%"
"11/04/2022","108.00","107.05","108.23","106.20","264.25K","-0.18%"
"11/03/2022","108.20","107.90","108.20","106.50","336.45K","1.17%"
"11/02/2022","106.95","107.90","109.00","106.37","1.13M","-0.74%"
"11/01/2022","107.75","107.11","107.99","105.71","320.91K","0.28%"
"10/31/2022","107.45","108.01","109.65","106.00","418.93K","-4.40%"
"10/28/2022","112.40","112.93","113.50","111.25","377.11K","0.09%"
"10/27/2022","112.30","111.98","112.49","111.75","336.95K","0.81%"
"10/26/2022","111.40","112.99","113.00","111.00","627.29K","-1.20%"
"10/25/2022","112.75","113.01","113.51","112.75","750.67K","0.12%"
"10/24/2022","112.61","113.25","114.28","112.61","738.53K","-0.12%"
"10/21/2022","112.75","113.50","113.50","112.01","482.12K","-0.22%"
"10/20/2022","113.00","113.50","113.50","112.74","1.26M","-1.29%"
"10/19/2022","114.48","113.13","115.77","113.00","1.04M","1.44%"
"10/18/2022","112.85","113.00","113.59","112.51","693.08K","0.53%"
"10/17/2022","112.25","113.00","113.00","109.10","642.98K","-0.22%"
"10/14/2022","112.50","113.88","113.88","112.31","1.05M","-0.01%"
"10/13/2022","112.51","112.85","112.98","112.01","242.32K","0.05%"
"10/12/2022","112.45","111.05","112.50","111.00","524.35K","0.41%"
"10/11/2022","111.99","113.40","113.40","110.99","322.68K","-0.89%"
"10/10/2022","112.99","114.48","114.48","111.80","542.17K","0.04%"
"10/07/2022","112.94","111.25","113.50","111.24","712.18K","0.10%"
"10/06/2022","112.83","112.00","113.50","112.00","311.33K","1.18%"
"10/05/2022","111.51","112.61","113.90","111.50","218.45K","-1.32%"
"10/04/2022","113.00","114.78","114.80","112.60","352.97K","-0.83%"
"10/03/2022","113.95","114.10","115.00","113.50","287.02K","-0.70%"
"09/30/2022","114.75","113.02","115.00","112.60","109.72K","1.11%"
"09/29/2022","113.49","117.95","117.95","112.91","748.18K","-2.51%"
"09/28/2022","116.41","117.13","117.95","116.41","535.24K","-0.50%"
"09/27/2022","116.99","115.00","116.99","114.20","374.88K","2.53%"
"09/26/2022","114.10","114.08","116.00","114.00","227.44K","0.02%"
"09/23/2022","114.08","116.30","116.30","113.95","180.65K","-0.80%"
"09/22/2022","115.00","115.01","116.49","114.49","153.56K","-0.43%"
"09/21/2022","115.50","117.24","117.24","115.15","89.72K","-0.43%"
"09/20/2022","116.00","118.70","118.70","115.65","305.74K","-1.11%"
"09/19/2022","117.30","118.00","118.00","116.06","137.68K","-0.18%"
"09/16/2022","117.51","118.00","118.90","116.90","1.07M","0.44%"
"09/15/2022","117.00","117.02","118.45","116.66","204.06K","0.11%"
"09/14/2022","116.87","120.49","120.49","116.51","443.47K","-2.61%"
"09/13/2022","120.00","117.00","120.60","117.00","1.47M","2.92%"
"09/12/2022","116.60","116.48","116.90","115.75","181.63K","0.63%"
"09/09/2022","115.87","117.65","117.65","115.50","251.76K","0.49%"
"09/08/2022","115.31","115.30","117.29","115.30","142.70K","-1.02%"
"09/07/2022","116.50","115.55","117.79","115.55","236.62K","-0.43%"
"09/06/2022","117.00","117.50","117.50","115.00","390.92K","0.43%"
"09/05/2022","116.50","116.94","117.00","115.60","280.91K","0.00%"
"09/02/2022","116.50","117.49","117.49","116.00","228.23K","-0.38%"
"09/01/2022","116.95","117.45","117.45","115.00","157.73K","0.43%"
"08/31/2022","116.45","117.38","117.80","115.00","829.36K","0.09%"
"08/30/2022","116.35","118.01","118.01","116.00","838.10K","0.09%"
"08/29/2022","116.25","116.99","118.00","114.22","883.36K","-0.21%"
"08/26/2022","116.50","117.49","117.49","115.80","286.27K","0.00%"
"08/25/2022","116.50","117.47","117.70","115.14","841.49K","-0.26%"
"08/24/2022","116.80","115.00","117.70","115.00","1.86M","1.17%"
"08/23/2022","115.45","113.98","115.98","112.90","1.10M","1.34%"
"08/22/2022","113.92","117.50","117.50","113.11","639.36K","-1.37%"
"08/19/2022","115.50","118.60","120.50","115.40","532.67K","-3.33%"
"08/18/2022","119.48","121.50","121.50","118.50","123.33K","-1.39%"
"08/17/2022","121.17","121.00","121.25","119.27","171.32K","0.56%"
"08/16/2022","120.50","120.50","121.45","119.90","461.12K","0.17%"
"08/15/2022","120.30","119.00","121.74","118.27","825.07K","-1.91%"
"08/12/2022","122.64","121.50","122.70","120.61","603.72K","1.86%"
"08/11/2022","120.40","121.00","122.98","120.00","366.17K","-0.09%"
"08/10/2022","120.51","120.65","122.80","119.50","1.24M","0.19%"
"08/05/2022","120.28","114.36","121.95","114.36","628.01K","4.18%"
"08/04/2022","115.45","113.60","117.00","113.60","670.58K","1.49%"
"08/03/2022","113.75","108.70","115.00","107.67","3.96M","5.24%"
"08/02/2022","108.09","109.75","109.75","107.16","494.01K","-0.79%"
"08/01/2022","108.95","110.02","110.94","108.05","206.79K","-0.95%"
"07/29/2022","110.00","111.98","111.98","110.00","3.05M","-1.14%"
"07/28/2022","111.27","111.50","112.00","108.35","1.63M","2.08%"
"07/27/2022","109.00","111.95","111.95","107.50","1.73M","0.93%"
"07/26/2022","108.00","107.50","109.45","107.10","1.99M","-0.35%"
"07/25/2022","108.38","110.00","110.00","107.51","112.52K","-1.43%"
"07/22/2022","109.95","112.10","112.10","109.55","607.67K","-0.95%"
"07/21/2022","111.00","111.30","113.00","110.75","186.95K","-0.89%"
"07/20/2022","112.00","112.00","113.00","111.10","757.52K","0.13%"
"07/19/2022","111.85","114.50","114.90","110.40","321.31K","-2.14%"
"07/18/2022","114.30","114.50","115.00","113.51","219.27K","-1.04%"
"07/15/2022","115.50","118.40","118.96","115.20","497.76K","-1.70%"
"07/14/2022","117.50","115.50","117.70","115.50","552.75K","1.74%"
"07/13/2022","115.49","114.00","115.51","113.10","710.55K","1.31%"
"07/07/2022","114.00","114.00","115.00","113.81","281.96K","0.00%"
"07/06/2022","114.00","113.95","114.00","113.10","90.35K","0.13%"
"07/05/2022","113.85","113.88","113.95","112.51","118.30K","0.31%"
"07/04/2022","113.50","114.99","115.38","112.75","1.18M","-0.70%"
"07/01/2022","114.30","111.56","115.00","111.56","293.89K","0.78%"
"06/30/2022","113.41","111.20","116.00","111.00","1.31M","1.90%"
"06/29/2022","111.30","114.89","114.89","110.00","1.20M","-1.33%"
"06/28/2022","112.80","112.55","115.25","112.52","335.88K","-1.81%"
"06/27/2022","114.88","113.00","115.10","113.00","639.70K","2.38%"
"06/24/2022","112.21","119.60","120.18","110.98","2.43M","-6.30%"
"06/23/2022","119.75","120.90","120.90","119.70","1.53M","-0.46%"
"06/22/2022","120.30","121.21","122.10","119.81","1.56M","-0.09%"
"06/21/2022","120.41","119.00","122.89","119.00","1.85M","-0.90%"
"06/20/2022","121.50","122.40","122.40","120.60","611.81K","0.42%"
"06/17/2022","120.99","118.90","121.20","118.26","504.52K","2.10%"
"06/16/2022","118.50","118.60","119.70","117.00","589.43K","-0.42%"
"06/15/2022","119.00","119.85","119.85","117.50","379.56K","0.86%"
"06/14/2022","117.99","117.05","119.40","116.70","1.24M","-0.85%"
"06/13/2022","119.00","124.50","124.50","118.50","1.77M","-5.56%"
"06/10/2022","126.00","126.22","126.98","125.00","599.38K","-0.24%"
"06/09/2022","126.30","124.05","126.68","124.05","609.89K","0.88%"
"06/08/2022","125.20","125.99","125.99","124.30","316.05K","-0.16%"
"06/07/2022","125.40","125.15","127.40","125.15","33.17K","-0.48%"
"06/06/2022","126.00","127.00","127.00","124.30","400.82K","0.26%"
"06/03/2022","125.67","127.97","127.97","125.00","360.44K","-0.26%"
"06/02/2022","126.00","128.75","128.75","125.73","534.45K","-1.56%"
"06/01/2022","128.00","131.69","131.69","127.65","2.53M","-2.07%"
"05/31/2022","130.71","131.75","131.99","129.99","4.92M","0.11%"
"05/30/2022","130.56","129.55","131.90","129.05","1.35M","0.71%"
"05/27/2022","129.64","130.00","132.55","129.10","1.08M","1.19%"
"05/26/2022","128.12","126.98","129.29","125.61","746.14K","0.97%"
"05/25/2022","126.89","126.11","127.80","124.71","619.40K","0.31%"
"05/24/2022","126.50","131.99","131.99","125.51","729.70K","-3.62%"
"05/23/2022","131.25","132.00","132.01","129.75","328.87K","-0.56%"
"05/20/2022","131.99","132.75","133.32","131.54","526.76K","0.10%"
"05/19/2022","131.86","133.79","133.79","131.50","260.25K","0.39%"
"05/18/2022","131.35","132.48","133.99","131.20","584.37K","-0.67%"
"05/17/2022","132.23","131.85","132.44","130.62","682.83K","1.02%"
"05/16/2022","130.90","132.00","132.00","129.11","505.50K","-1.21%"
"05/13/2022","132.50","130.00","132.95","130.00","260.86K","2.00%"
"05/12/2022","129.90","132.99","133.00","129.00","902.21K","-1.89%"
"05/11/2022","132.40","135.90","135.90","129.50","756.37K","-0.94%"
"05/10/2022","133.65","135.50","136.67","133.30","116.55K","-0.34%"
"05/09/2022","134.10","137.00","137.85","132.50","1.27M","-2.20%"
"05/06/2022","137.11","137.95","139.00","137.10","328.77K","-0.46%"
"04/28/2022","137.74","138.49","138.49","135.50","130.42K","0.54%"
"04/27/2022","137.00","139.80","139.80","136.00","135.52K","-3.18%"
"04/26/2022","141.50","142.40","142.40","140.55","428.04K","0.35%"
"04/25/2022","141.00","143.74","143.74","140.90","1.06M","-0.18%"
"04/22/2022","141.25","141.50","141.95","140.52","387.59K","0.01%"
"04/21/2022","141.24","142.00","142.01","140.51","452.20K","-0.54%"
"04/20/2022","142.00","140.40","143.29","139.25","1.75M","1.36%"
"04/19/2022","140.10","142.50","142.50","139.15","522.17K","-0.05%"
"04/18/2022","140.17","141.11","141.90","139.50","526.24K","-1.36%"
"04/15/2022","142.10","142.00","142.50","141.35","32.23K","0.07%"
"04/14/2022","142.00","142.00","142.90","141.15","265.92K","0.35%"
"04/13/2022","141.50","144.94","144.94","141.08","437.00K","-1.19%"
"04/12/2022","143.20","142.02","144.20","142.01","849.72K","-0.21%"
"04/11/2022","143.50","142.00","144.20","142.00","1.36M","4.13%"
"04/08/2022","137.81","135.50","139.95","135.50","1.70M","3.69%"
"04/07/2022","132.90","137.49","137.49","132.30","3.60M","-3.07%"
"04/06/2022","137.11","139.00","139.02","137.06","686.76K","-0.28%"
"04/05/2022","137.50","137.01","138.79","136.05","383.82K","-0.50%"
"04/04/2022","138.19","136.51","139.99","136.51","593.45K","-1.68%"
"04/01/2022","140.55","136.75","142.15","136.50","3.71M","2.89%"
"03/31/2022","136.60","136.51","137.50","135.95","2.92M","-0.26%"
"03/30/2022","136.95","138.35","138.49","136.60","2.72M","-0.44%"
"03/29/2022","137.56","138.00","139.49","136.80","738.54K","0.04%"
"03/28/2022","137.50","137.45","138.50","136.00","2.69M","0.43%"
"03/25/2022","136.91","138.00","138.00","136.50","782.99K","-0.60%"
"03/24/2022","137.74","139.30","139.30","137.20","5.34M","-0.91%"
"03/22/2022","139.00","139.98","140.00","138.61","4.24M","-0.07%"
"03/21/2022","139.10","140.50","140.50","139.00","1.84M","-0.78%"
"03/18/2022","140.20","142.99","142.99","139.25","2.67M","-5.27%"
"03/17/2022","148.00","147.22","149.00","147.00","1.26M","0.34%"
"03/16/2022","147.50","146.85","148.95","146.01","1.81M","0.48%"
"03/15/2022","146.80","146.64","148.00","145.49","2.08M","0.20%"
"03/14/2022","146.50","149.90","149.90","146.00","791.36K","-1.35%"
"03/11/2022","148.50","148.99","149.00","145.05","270.84K","0.34%"
"03/10/2022","148.00","145.74","149.00","144.40","913.08K","2.07%"
"03/09/2022","145.00","143.51","147.00","143.51","396.17K","0.69%"
"03/08/2022","144.00","144.00","147.49","143.20","617.41K","-0.69%"
"03/07/2022","145.00","147.50","148.80","142.98","807.79K","-2.10%"
"03/04/2022","148.11","147.02","149.25","147.02","527.27K","0.41%"
"03/03/2022","147.50","146.82","149.05","146.50","437.95K","0.35%"
"03/02/2022","146.99","149.00","149.00","145.39","633.20K","-1.08%"
"03/01/2022","148.60","148.90","150.20","148.00","640.67K","-0.27%"
"02/28/2022","149.00","150.67","150.67","147.10","238.61K","-0.31%"
"02/25/2022","149.46","149.50","149.99","147.15","346.36K","-0.03%"
"02/24/2022","149.50","146.10","149.97","146.00","2.19M","0.11%"
"02/23/2022","149.33","144.99","150.90","143.49","5.37M","3.34%"
"02/22/2022","144.50","145.00","145.80","142.50","984.31K","0.00%"
"02/21/2022","144.50","143.55","144.90","143.36","92.05K","-0.41%"
"02/18/2022","145.10","143.75","145.88","143.00","601.92K","0.78%"
"02/17/2022","143.98","141.16","143.98","141.16","538.02K","0.66%"
"02/16/2022","143.03","142.80","143.95","142.80","135.92K","0.13%"
"02/15/2022","142.85","142.98","143.50","142.00","360.50K","-0.10%"
"02/14/2022","143.00","144.00","144.00","142.51","235.11K","-0.36%"
"02/11/2022","143.52","140.45","143.99","140.45","1.31M","1.79%"
"02/10/2022","141.00","140.11","141.70","140.11","457.44K","0.28%"
"02/09/2022","140.60","139.65","142.00","139.65","149.87K","0.57%"
"02/08/2022","139.80","139.50","141.05","139.50","365.03K","0.18%"
"02/07/2022","139.55","141.45","141.45","139.55","221.40K","-0.82%"
"02/04/2022","140.70","141.40","141.40","140.11","103.94K","-0.17%"
"02/03/2022","140.94","142.46","142.55","140.65","264.92K","-0.04%"
"02/02/2022","141.00","140.70","142.49","140.00","910.49K","0.48%"
"02/01/2022","140.32","139.50","141.00","139.50","184.02K","0.24%"
"01/31/2022","139.98","140.95","141.48","139.51","568.85K","-0.07%"
"01/28/2022","140.08","141.00","141.00","139.74","554.58K","-0.12%"
"01/27/2022","140.25","140.95","141.45","140.02","289.72K","-0.36%"
"01/26/2022","140.75","140.95","140.95","139.80","138.17K","0.18%"
"01/25/2022","140.50","140.75","141.40","140.03","121.96K","0.36%"
"01/24/2022","140.00","141.44","141.50","139.85","665.69K","-1.03%"
"01/21/2022","141.46","140.40","142.50","139.01","127.59K","1.04%"
"01/20/2022","140.00","140.75","142.50","139.55","376.98K","0.18%"
"01/19/2022","139.75","142.00","142.00","139.75","911.79K","-1.24%"
"01/18/2022","141.50","143.48","143.48","141.00","1.80M","-0.53%"
"01/17/2022","142.25","142.50","142.95","141.90","327.74K","0.11%"
"01/14/2022","142.10","142.85","143.20","142.02","1.55M","-0.04%"
"01/13/2022","142.15","142.90","143.50","141.50","269.80K","-0.59%"
"01/12/2022","142.99","143.90","144.00","142.60","467.16K","-0.01%"
"01/11/2022","143.00","143.49","143.49","140.40","846.62K","0.63%"
"01/10/2022","142.10","140.99","142.90","140.00","629.89K","0.89%"
"01/07/2022","140.85","138.80","140.90","137.90","865.77K","2.14%"
"01/06/2022","137.90","137.84","138.50","137.00","533.10K","0.29%"
"01/05/2022","137.50","137.49","137.50","136.30","301.98K","0.73%"
"01/04/2022","136.50","137.97","137.97","136.46","430.69K","-0.47%"
"01/03/2022","137.15","136.95","138.00","135.51","342.22K","0.42%"
"12/31/2021","136.58","136.65","137.50","134.03","823.28K","0.61%"
"12/30/2021","135.75","133.03","137.00","133.03","769.54K","1.15%"
"12/29/2021","134.20","135.15","135.15","132.50","322.75K","-0.49%"
"12/28/2021","134.86","135.00","135.20","134.50","68.15K","0.27%"
"12/27/2021","134.50","135.85","135.85","134.00","932.29K","-0.37%"
"12/24/2021","135.00","134.60","135.45","133.70","120.98K","0.30%"
"12/23/2021","134.60","133.25","134.85","133.25","362.66K","0.45%"
"12/22/2021","134.00","135.40","135.40","133.00","573.91K","-0.15%"
"12/21/2021","134.20","135.50","135.50","134.00","120.69K","-0.07%"
"12/20/2021","134.30","135.99","136.30","133.75","392.96K","-0.15%"
"12/17/2021","134.50","136.70","136.70","134.01","764.22K","-0.37%"
"12/16/2021","135.00","138.29","138.50","134.06","1.44M","-1.82%"
"12/15/2021","137.50","138.87","138.94","136.55","1.09M","0.00%"
"12/14/2021","137.50","138.00","138.50","136.06","1.02M","0.36%"
"12/13/2021","137.01","141.00","142.50","136.00","5.83M","-2.21%"
"12/10/2021","140.11","141.99","141.99","138.90","362.79K","-1.12%"
"12/09/2021","141.70","141.91","142.95","138.45","418.34K","-0.41%"
"12/08/2021","142.29","141.75","142.30","139.10","1.14M","2.18%"
"12/07/2021","139.25","142.00","142.00","139.25","311.34K","-1.42%"
"12/06/2021","141.26","144.75","145.00","139.10","1.96M","-1.20%"
"12/03/2021","142.98","140.90","145.00","138.00","1.94M","2.49%"
"12/02/2021","139.50","142.13","143.90","137.11","1.38M","-3.27%"
"12/01/2021","144.21","142.51","144.80","141.44","1.82M","0.22%"
"11/30/2021","143.90","144.50","146.90","138.01","20.84M","0.88%"
"11/29/2021","142.65","140.00","144.80","138.20","2.40M","1.89%"
"11/26/2021","140.00","139.50","141.78","138.06","3.71M","0.00%"
"11/25/2021","140.00","142.05","142.05","138.61","1.64M","-0.86%"
"11/24/2021","141.21","141.00","142.82","137.01","1.97M","1.04%"
"11/23/2021","139.75","142.00","142.00","138.31","1.59M","-0.89%"
"11/22/2021","141.00","142.50","145.00","139.51","4.01M","0.72%"
"11/19/2021","139.99","138.21","141.35","138.21","9.71M","0.72%"
"11/18/2021","138.99","138.70","139.50","137.00","1.37M","1.33%"
"11/17/2021","137.16","138.00","139.60","136.60","2.91M","0.12%"
"11/16/2021","137.00","134.50","137.25","134.50","1.26M","1.11%"
"11/15/2021","135.50","136.00","136.88","132.65","1.89M","1.16%"
"11/12/2021","133.95","134.90","137.00","133.50","1.21M","-1.43%"
"11/11/2021","135.90","136.90","136.90","134.23","437.34K","0.48%"
"11/10/2021","135.25","136.89","136.89","135.01","3.77M","-0.18%"
"11/09/2021","135.50","139.24","139.24","134.90","4.08M","-1.35%"
"11/08/2021","137.35","139.00","139.90","136.75","432.72K","-0.87%"
"11/05/2021","138.55","137.65","139.89","135.51","953.66K","1.21%"
"11/04/2021","136.90","136.50","137.85","135.99","476.27K","0.29%"
"11/03/2021","136.50","140.00","141.75","136.05","1.91M","-2.50%"
"11/02/2021","140.00","140.48","140.50","139.00","4.01M","0.97%"
"11/01/2021","138.65","141.50","142.90","138.51","623.26K","-0.65%"
"10/29/2021","139.56","139.85","141.99","137.00","1.11M","-1.86%"
"10/28/2021","142.20","139.01","142.50","138.01","1.42M","1.38%"
"10/27/2021","140.26","143.00","143.00","140.01","831.43K","1.27%"
"10/26/2021","138.50","139.50","141.45","138.50","1.42M","-2.64%"
"10/25/2021","142.25","142.25","142.50","140.00","464.35K","0.00%"
"10/22/2021","142.25","138.65","143.00","138.50","2.33M","2.04%"
"10/21/2021","139.40","133.48","143.37","132.50","6.53M","5.61%"
"10/20/2021","132.00","128.99","135.00","128.10","2.25M","1.73%"
"10/18/2021","129.75","130.98","132.89","127.70","638.09K","-0.18%"
"10/15/2021","129.99","127.05","132.00","126.26","2.17M","1.55%"
"10/14/2021","128.00","122.19","128.50","122.10","1.50M","5.35%"
"10/13/2021","121.50","125.73","128.00","121.00","1.42M","-2.96%"
"10/12/2021","125.20","123.99","127.49","121.60","1.54M","1.71%"
"10/11/2021","123.10","124.10","124.10","122.71","255.41K","-0.53%"
"10/08/2021","123.75","124.39","124.65","121.61","670.60K","0.20%"
"10/07/2021","123.50","122.45","124.60","120.26","2.34M","1.47%"
"10/06/2021","121.71","120.90","122.49","119.00","1.93M","1.42%"
"10/05/2021","120.00","118.50","120.68","117.50","1.53M","1.61%"
"10/04/2021","118.10","115.15","118.95","115.15","756.65K","0.08%"
"10/01/2021","118.00","118.00","119.45","117.05","506.09K","0.72%"
"09/30/2021","117.16","117.33","119.00","116.00","2.13M","0.22%"
"09/29/2021","116.90","119.95","119.95","116.50","1.64M","-1.76%"
"09/28/2021","119.00","119.00","120.00","118.50","2.36M","0.84%"
"09/27/2021","118.01","121.00","121.00","118.00","785.39K","-1.99%"
"09/24/2021","120.40","120.90","121.00","119.30","290.09K","-0.17%"
"09/23/2021","120.60","122.00","122.00","120.00","187.77K","-0.73%"
"09/22/2021","121.49","123.00","123.00","118.20","1.25M","0.57%"
"09/21/2021","120.80","124.50","126.01","120.55","1.59M","-2.58%"
"09/20/2021","124.00","121.52","125.00","121.31","243.83K","0.40%"
"09/17/2021","123.50","121.81","125.10","120.00","1.25M","-0.31%"
"09/16/2021","123.89","123.90","125.00","121.57","519.13K","1.25%"
"09/15/2021","122.36","121.49","123.99","120.00","823.72K","1.54%"
"09/14/2021","120.51","121.69","123.74","119.50","960.76K","-1.22%"
"09/13/2021","122.00","116.90","123.20","115.98","6.69M","5.17%"
"09/10/2021","116.00","116.95","116.95","114.30","1.37M","0.00%"
"09/09/2021","116.00","115.00","116.34","113.05","6.05M","1.31%"
"09/08/2021","114.50","116.00","116.98","113.99","2.67M","-1.28%"
"09/07/2021","115.99","116.75","116.75","114.80","2.57M","0.01%"
"09/06/2021","115.98","117.98","118.10","115.51","2.79M","-1.63%"
"09/03/2021","117.90","118.50","119.18","116.91","1.32M","1.64%"
"09/02/2021","116.00","122.00","122.00","116.00","1.20M","-4.38%"
"09/01/2021","121.31","121.00","122.16","120.80","400.86K","0.05%"
"08/31/2021","121.25","122.75","122.75","120.00","1.00M","-0.82%"
"08/30/2021","122.25","123.07","123.20","121.75","541.61K","-0.73%"
"08/27/2021","123.15","124.90","124.90","122.60","557.38K","-1.08%"
"08/26/2021","124.50","125.50","125.50","123.65","985.59K","-3.49%"
"08/25/2021","129.00","129.50","129.50","128.90","953.61K","-0.01%"
"08/24/2021","129.01","129.99","130.00","129.01","1.20M","-0.53%"
"08/23/2021","129.70","129.33","130.00","129.25","1.39M","0.54%"
"08/20/2021","129.00","129.50","129.50","129.00","384.82K","-0.35%"
"08/17/2021","129.45","129.00","130.00","128.51","497.08K","0.35%"
"08/16/2021","129.00","129.45","129.80","128.50","1.04M","-0.68%"
"08/13/2021","129.88","129.00","129.88","128.60","229.25K","0.60%"
"08/12/2021","129.10","129.50","129.60","128.20","405.78K","0.19%"
