"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","76.89","77.26","78.00","76.55","620.01K","-0.13%"
"12/29/2022","76.99","75.25","77.70","75.03","904.30K","2.65%"
"12/28/2022","75.00","76.49","76.49","74.60","1.71M","-1.46%"
"12/27/2022","76.11","78.65","78.65","76.06","2.14M","-2.76%"
"12/26/2022","78.27","78.49","78.94","78.00","376.34K","0.31%"
"12/23/2022","78.03","78.00","78.50","77.45","1.07M","-0.36%"
"12/22/2022","78.31","78.40","78.98","77.95","1.39M","-0.56%"
"12/21/2022","78.75","78.80","79.73","78.48","522.24K","-0.32%"
"12/20/2022","79.00","80.00","80.00","77.50","1.27M","-1.31%"
"12/19/2022","80.05","80.30","80.45","79.90","229.85K","-0.10%"
"12/16/2022","80.13","79.90","80.55","79.80","709.15K","0.41%"
"12/15/2022","79.80","82.15","82.80","79.31","2.62M","-2.46%"
"12/14/2022","81.81","81.74","82.00","81.06","271.46K","-0.66%"
"12/13/2022","82.35","81.12","82.35","81.11","377.95K","1.54%"
"12/12/2022","81.10","81.30","81.74","81.05","137.59K","-0.47%"
"12/09/2022","81.48","81.30","82.30","81.10","725.15K","-0.18%"
"12/08/2022","81.63","81.60","81.68","81.12","269.91K","0.18%"
"12/07/2022","81.48","81.11","81.50","81.00","1.00M","0.47%"
"12/06/2022","81.10","81.45","81.50","80.90","1.03M","0.06%"
"12/05/2022","81.05","81.30","81.84","81.01","428.55K","-0.21%"
"12/02/2022","81.22","81.10","81.75","80.90","460.37K","-0.34%"
"12/01/2022","81.50","81.51","81.85","81.25","234.33K","0.49%"
"11/30/2022","81.10","81.45","81.65","81.00","828.20K","-0.01%"
"11/29/2022","81.11","80.70","81.25","80.12","703.16K","0.63%"
"11/28/2022","80.60","81.00","81.25","80.25","2.33M","-1.47%"
"11/25/2022","81.80","81.75","81.85","81.50","230.12K","0.31%"
"11/24/2022","81.55","81.12","81.85","80.90","813.75K","0.12%"
"11/23/2022","81.45","81.89","81.89","81.45","498.11K","-0.24%"
"11/22/2022","81.65","81.25","81.79","81.25","506.17K","0.27%"
"11/21/2022","81.43","81.69","81.99","81.20","743.22K","-0.29%"
"11/18/2022","81.67","81.53","81.70","81.10","541.12K","0.09%"
"11/17/2022","81.60","81.75","81.75","81.45","1.02M","-0.12%"
"11/16/2022","81.70","81.16","81.90","81.16","790.31K","0.18%"
"11/15/2022","81.55","81.17","81.70","81.15","318.66K","0.28%"
"11/14/2022","81.32","81.60","81.60","81.05","327.93K","-0.48%"
"11/11/2022","81.71","81.65","81.99","81.50","724.86K","-0.29%"
"11/10/2022","81.95","81.30","82.08","81.30","542.51K","0.55%"
"11/08/2022","81.50","81.05","81.90","81.05","242.45K","0.37%"
"11/07/2022","81.20","81.77","81.77","80.83","380.47K","-0.39%"
"11/04/2022","81.52","81.05","81.90","80.80","372.68K","0.00%"
"11/03/2022","81.52","81.38","82.00","81.05","168.08K","0.26%"
"11/02/2022","81.31","81.44","81.98","80.70","395.43K","0.26%"
"11/01/2022","81.10","80.65","81.19","80.51","437.64K","0.25%"
"10/31/2022","80.90","80.52","81.50","80.52","222.98K","-0.43%"
"10/28/2022","81.25","81.94","81.95","81.01","397.00K","-0.18%"
"10/27/2022","81.40","80.70","82.35","80.55","2.10M","1.09%"
"10/26/2022","80.52","80.75","81.25","80.10","2.81M","-0.59%"
"10/25/2022","81.00","79.87","81.75","79.87","3.74M","0.81%"
"10/24/2022","80.35","80.00","80.74","78.78","2.09M","-1.75%"
"10/21/2022","81.78","81.10","82.10","80.51","1.73M","0.96%"
"10/20/2022","81.00","81.11","81.88","81.00","1.01M","-0.86%"
"10/19/2022","81.70","81.70","81.80","81.16","771.70K","0.37%"
"10/18/2022","81.40","81.11","81.50","81.00","621.54K","0.06%"
"10/17/2022","81.35","80.99","81.40","80.85","372.41K","0.74%"
"10/14/2022","80.75","81.00","81.50","80.60","621.31K","-0.51%"
"10/13/2022","81.16","81.31","81.60","81.02","515.42K","-0.11%"
"10/12/2022","81.25","81.60","83.00","81.01","1.58M","-0.12%"
"10/11/2022","81.35","80.90","82.18","80.30","1.61M","0.98%"
"10/10/2022","80.56","82.40","82.40","80.53","826.03K","-1.71%"
"10/07/2022","81.96","82.78","83.60","81.50","1.12M","-1.24%"
"10/06/2022","82.99","80.25","83.60","80.08","2.44M","3.72%"
"10/05/2022","80.01","78.75","80.10","78.09","1.81M","2.58%"
"10/04/2022","78.00","78.10","78.44","77.70","980.53K","0.00%"
"10/03/2022","78.00","78.02","78.60","77.67","677.90K","-0.03%"
"09/30/2022","78.02","78.00","78.80","77.50","956.31K","-0.10%"
"09/29/2022","78.10","78.20","79.20","77.81","308.89K","0.09%"
"09/28/2022","78.03","80.45","80.45","78.00","652.29K","-2.25%"
"09/27/2022","79.83","77.15","80.15","76.85","1.74M","3.09%"
"09/26/2022","77.44","78.30","78.30","77.00","617.30K","-0.64%"
"09/23/2022","77.94","77.85","78.09","77.07","638.90K","0.57%"
"09/22/2022","77.50","77.75","78.00","76.40","1.13M","-0.64%"
"09/21/2022","78.00","79.26","79.75","77.50","1.60M","-1.58%"
"09/20/2022","79.25","79.88","79.98","79.10","423.93K","-0.19%"
"09/19/2022","79.40","80.43","80.99","79.02","1.39M","-1.98%"
"09/16/2022","81.00","80.50","81.85","79.99","1.71M","0.81%"
"09/15/2022","80.35","81.80","82.10","80.02","1.32M","-1.82%"
"09/14/2022","81.84","81.03","81.99","80.55","1.52M","1.04%"
"09/13/2022","81.00","81.07","81.79","80.51","495.22K","-0.83%"
"09/12/2022","81.68","81.69","81.75","80.61","1.53M","0.73%"
"09/09/2022","81.09","80.80","81.90","80.00","7.33M","0.73%"
"09/08/2022","80.50","81.40","81.40","79.65","1.89M","-0.38%"
"09/07/2022","80.81","82.90","82.90","80.65","561.90K","-1.75%"
"09/06/2022","82.25","83.00","83.97","82.10","320.82K","-0.90%"
"09/05/2022","83.00","83.08","83.70","83.00","584.03K","-0.81%"
"09/02/2022","83.68","83.50","83.95","83.10","530.96K","0.64%"
"09/01/2022","83.15","84.75","84.85","83.01","491.36K","-1.31%"
"08/31/2022","84.25","82.08","85.00","81.53","1.56M","3.00%"
"08/30/2022","81.80","84.39","85.00","81.80","655.59K","-2.04%"
"08/29/2022","83.50","81.00","84.15","79.50","6.61M","3.73%"
"08/26/2022","80.50","81.15","81.95","80.47","1.11M","-0.80%"
"08/25/2022","81.15","81.80","81.80","81.00","994.25K","-0.61%"
"08/24/2022","81.65","81.95","82.44","81.50","1.69M","-0.06%"
"08/23/2022","81.70","79.59","82.10","79.59","2.76M","2.77%"
"08/22/2022","79.50","79.56","80.00","79.01","402.99K","-0.66%"
"08/19/2022","80.03","79.70","80.45","79.60","429.23K","-0.09%"
"08/18/2022","80.10","79.99","80.38","79.75","849.98K","-0.15%"
