"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","33.80","32.74","33.90","32.25","1.30M","4.16%"
"12/29/2022","32.45","32.00","32.60","31.51","255.28K","3.02%"
"12/28/2022","31.50","33.13","33.13","31.50","730.01K","-4.55%"
"12/27/2022","33.00","33.70","33.98","33.00","16.27K","-2.22%"
"12/26/2022","33.75","34.24","35.74","33.00","37.88K","-0.74%"
"12/23/2022","34.00","34.44","34.44","33.95","307.35K","-0.87%"
"12/22/2022","34.30","33.82","34.90","33.82","754.23K","1.48%"
"12/21/2022","33.80","34.00","34.50","33.80","740.51K","-0.59%"
"12/20/2022","34.00","35.00","37.61","33.53","46.05K","-2.72%"
"12/19/2022","34.95","35.01","35.50","34.76","7.52K","-2.65%"
"12/16/2022","35.90","36.01","36.40","34.62","31.78K","1.10%"
"12/15/2022","35.51","35.00","37.29","33.80","180.76K","2.19%"
"12/14/2022","34.75","34.58","35.34","34.56","3.62K","-0.71%"
"12/13/2022","35.00","35.00","35.68","34.00","68.42K","0.00%"
"12/12/2022","35.00","34.75","36.59","34.70","38.89K","0.00%"
"12/09/2022","35.00","35.00","35.00","34.89","38.52K","0.00%"
"12/08/2022","35.00","35.60","35.75","34.99","29.79K","-1.27%"
"12/07/2022","35.45","35.50","35.90","34.61","109.55K","-0.42%"
"12/06/2022","35.60","35.80","36.25","35.00","22.42K","-0.64%"
"12/05/2022","35.83","36.00","36.00","35.82","3.29K","-0.19%"
"12/02/2022","35.90","36.44","36.10","35.78","3.04K","2.25%"
"12/01/2022","35.11","36.30","36.53","35.11","24.51K","-3.86%"
"11/30/2022","36.52","36.35","38.00","36.01","1.13M","-1.03%"
"11/29/2022","36.90","36.00","36.90","36.00","993.50K","2.50%"
"11/28/2022","36.00","36.35","36.39","35.50","12.34K","-1.23%"
"11/25/2022","36.45","36.85","37.00","36.00","29.69K","-1.49%"
"11/24/2022","37.00","36.80","37.03","36.73","3.51K","-1.46%"
"11/23/2022","37.55","37.25","37.55","36.50","7.60K","-0.66%"
"11/22/2022","37.80","37.26","37.80","36.91","16.26K","0.93%"
"11/21/2022","37.45","37.45","37.83","36.96","14.73K","1.11%"
"11/18/2022","37.04","37.26","37.90","36.00","112.24K","-0.83%"
"11/17/2022","37.35","37.65","37.65","37.03","6.48K","-0.24%"
"11/16/2022","37.44","37.10","37.55","37.10","5.12K","1.46%"
"11/15/2022","36.90","37.00","37.15","36.90","8.46K","0.03%"
"11/14/2022","36.89","37.26","37.26","36.80","8.53K","-1.23%"
"11/11/2022","37.35","37.00","37.40","36.77","3.18K","0.95%"
"11/10/2022","37.00","37.65","37.75","36.92","19.53K","-1.99%"
"11/08/2022","37.75","36.93","37.80","36.90","22.79K","1.34%"
"11/07/2022","37.25","37.00","37.99","36.50","20.88K","2.99%"
"11/04/2022","36.17","35.31","37.99","35.30","31.20K","1.74%"
"11/03/2022","35.55","35.20","36.00","33.35","13.97K","-1.52%"
"11/02/2022","36.10","36.00","36.20","35.90","14.50K","0.06%"
"11/01/2022","36.08","35.45","36.09","35.45","17.66K","1.78%"
"10/31/2022","35.45","35.20","35.48","35.20","30.03K","-0.14%"
"10/28/2022","35.50","35.80","36.00","35.02","39.93K","0.71%"
"10/27/2022","35.25","36.35","36.79","35.25","1.02M","-4.08%"
"10/26/2022","36.75","37.76","37.87","36.70","4.55K","-3.92%"
"10/25/2022","38.25","37.21","38.25","36.95","54.55K","2.82%"
"10/24/2022","37.20","37.04","37.50","37.04","1.21K","0.68%"
"10/21/2022","36.95","37.76","37.76","36.95","302.61K","-0.65%"
"10/20/2022","37.19","37.06","38.50","36.95","54.07K","-0.43%"
"10/19/2022","37.35","37.47","37.50","37.10","1.97K","-1.58%"
"10/18/2022","37.95","37.64","37.95","37.16","12.57K","-0.52%"
"10/17/2022","38.15","38.19","38.50","37.01","16.61K","-0.78%"
"10/14/2022","38.45","37.76","38.50","37.00","37.90K","0.18%"
"10/13/2022","38.38","36.65","38.50","36.65","25.95K","4.58%"
"10/12/2022","36.70","36.70","37.00","36.50","15.46K","-0.78%"
"10/11/2022","36.99","37.11","37.15","36.75","2.79K","-0.67%"
"10/10/2022","37.24","37.11","37.24","37.05","0.98K","-0.03%"
"10/07/2022","37.25","37.02","37.50","36.82","14.83K","-0.45%"
"10/06/2022","37.42","37.44","37.44","37.00","34.95K","-0.05%"
"10/05/2022","37.44","36.11","37.49","36.11","10.72K","0.24%"
"10/04/2022","37.35","37.50","37.50","37.03","15.26K","0.89%"
"10/03/2022","37.02","38.00","38.50","37.01","50.80K","-3.69%"
"09/30/2022","38.44","37.99","38.44","37.50","106.37K","1.16%"
"09/29/2022","38.00","38.01","38.20","38.00","16.66K","-0.65%"
"09/28/2022","38.25","37.00","38.40","37.00","587.16K","-0.13%"
"09/27/2022","38.30","37.74","38.40","37.74","136.64K","2.11%"
"09/26/2022","37.51","37.09","37.75","37.00","381.81K","0.00%"
"09/23/2022","37.51","37.50","37.51","37.00","52.94K","0.03%"
"09/22/2022","37.50","37.77","37.78","37.20","152.42K","-1.29%"
"09/21/2022","37.99","36.31","38.90","36.31","2.39M","1.58%"
"09/20/2022","37.40","38.41","38.41","37.00","80.14K","-0.72%"
"09/19/2022","37.67","38.09","38.50","37.20","75.71K","-0.87%"
"09/16/2022","38.00","38.00","38.74","37.02","1.32M","0.80%"
"09/15/2022","37.70","38.94","39.00","37.70","11.64K","-0.92%"
"09/14/2022","38.05","37.33","39.00","37.33","27.39K","2.01%"
"09/13/2022","37.30","37.19","38.50","37.00","55.89K","0.13%"
"09/12/2022","37.25","37.20","39.49","37.12","57.41K","0.68%"
"09/09/2022","37.00","36.90","39.34","36.13","2.84M","1.09%"
"09/08/2022","36.60","37.00","37.00","36.60","75.21K","-0.79%"
"09/07/2022","36.89","36.95","36.95","36.25","18.32K","0.79%"
"09/06/2022","36.60","36.10","37.00","36.10","11.61K","-0.27%"
"09/05/2022","36.70","37.35","37.35","36.60","39.93K","-0.76%"
"09/02/2022","36.98","37.20","37.25","36.40","19.11K","1.04%"
"09/01/2022","36.60","36.80","37.47","36.60","79.28K","-0.95%"
"08/31/2022","36.95","36.90","36.95","36.60","2.61M","-0.65%"
"08/30/2022","37.19","38.20","38.43","36.60","35.12K","-1.64%"
"08/29/2022","37.81","37.51","38.10","37.26","3.43M","-0.50%"
"08/26/2022","38.00","37.24","38.25","37.24","201.43K","2.70%"
"08/25/2022","37.00","36.41","37.24","36.41","133.42K","0.95%"
"08/24/2022","36.65","36.41","37.24","36.37","315.61K","-0.08%"
"08/23/2022","36.68","36.40","36.90","36.40","21.45K","0.49%"
"08/22/2022","36.50","36.25","36.98","35.81","37.69K","1.81%"
"08/19/2022","35.85","35.80","36.35","35.80","3.62K","-0.11%"
"08/18/2022","35.89","36.35","36.96","34.10","26.81K","-1.40%"
"08/17/2022","36.40","36.50","36.96","36.40","4.38K","-0.22%"
"08/16/2022","36.48","36.81","36.98","36.48","15.95K","-0.92%"
"08/15/2022","36.82","36.66","36.98","36.66","16.80K","0.57%"
"08/12/2022","36.61","36.89","37.00","36.58","20.89K","-0.52%"
"08/11/2022","36.80","37.01","37.52","36.60","4.20K","-2.05%"
"08/10/2022","37.57","36.49","37.94","36.44","32.76K","2.65%"
"08/05/2022","36.60","36.00","36.60","35.80","5.87K","1.24%"
"08/04/2022","36.15","35.86","36.15","35.86","12.69K","0.28%"
"08/03/2022","36.05","35.80","36.05","35.59","25.24K","1.52%"
"08/02/2022","35.51","35.34","35.99","35.02","89.39K","1.46%"
"08/01/2022","35.00","35.20","35.50","35.00","21.37K","-2.64%"
"07/29/2022","35.95","36.00","36.00","35.30","6.38K","-0.14%"
"07/28/2022","36.00","36.00","36.09","35.00","48.22K","2.13%"
"07/27/2022","35.25","35.76","36.15","35.25","109.48K","-1.26%"
"07/26/2022","35.70","36.00","36.00","35.70","15.10K","-0.72%"
"07/25/2022","35.96","35.61","36.39","35.61","6.32K","-1.10%"
"07/22/2022","36.36","36.22","36.40","36.20","1.42K","1.65%"
"07/21/2022","35.77","36.85","36.99","35.77","23.06K","-2.40%"
"07/20/2022","36.65","37.10","37.10","36.50","2.01K","0.08%"
"07/19/2022","36.62","36.73","37.35","36.60","9.97K","-0.49%"
"07/18/2022","36.80","37.66","37.66","35.10","6.08K","-2.85%"
"07/15/2022","37.88","38.74","39.00","37.65","6.03K","-1.58%"
"07/14/2022","38.49","38.74","39.25","38.30","460.37K","-0.16%"
"07/13/2022","38.55","37.75","38.55","37.75","41.61K","1.45%"
"07/07/2022","38.00","36.70","38.00","36.60","72.05K","3.54%"
"07/06/2022","36.70","36.90","37.10","36.70","5.12K","-0.81%"
"07/05/2022","37.00","37.07","37.34","36.98","7.04K","-1.07%"
"07/04/2022","37.40","37.42","37.42","37.00","7.03K","-0.27%"
"07/01/2022","37.50","37.95","38.10","37.50","9.04K","-0.92%"
"06/30/2022","37.85","36.99","37.95","36.85","238.66K","3.25%"
"06/29/2022","36.66","37.94","38.00","36.66","117.65K","-2.24%"
"06/28/2022","37.50","38.00","38.00","37.00","35.61K","1.19%"
"06/27/2022","37.06","36.80","37.35","36.64","2.53K","0.98%"
"06/24/2022","36.70","36.51","38.94","34.40","112.40K","-0.81%"
"06/23/2022","37.00","36.87","37.38","36.50","10.98K","0.00%"
"06/22/2022","37.00","37.25","37.45","36.75","52.69K","0.00%"
"06/21/2022","37.00","37.15","37.15","36.70","7.51K","0.68%"
"06/20/2022","36.75","36.99","37.19","36.53","16.69K","0.60%"
"06/17/2022","36.53","37.46","37.77","36.52","128.69K","-1.27%"
"06/16/2022","37.00","37.10","37.49","36.55","266.04K","0.00%"
"06/15/2022","37.00","36.74","37.10","36.74","378.81K","0.71%"
"06/14/2022","36.74","36.50","36.75","36.29","73.51K","0.66%"
"06/13/2022","36.50","35.61","36.89","35.60","18.54K","-1.08%"
"06/10/2022","36.90","36.44","36.94","36.01","11.74K","1.46%"
"06/09/2022","36.37","36.65","36.71","36.00","3.46K","-1.11%"
"06/08/2022","36.78","36.51","36.80","36.00","11.54K","1.32%"
"06/07/2022","36.30","36.65","36.90","36.25","4.43K","-0.55%"
"06/06/2022","36.50","35.74","37.00","35.70","232.97K","1.64%"
"06/03/2022","35.91","36.30","36.30","35.11","10.52K","-0.11%"
"06/02/2022","35.95","36.15","36.40","35.95","9.54K","-2.04%"
"06/01/2022","36.70","36.44","36.75","36.00","119.19K","0.80%"
"05/31/2022","36.41","36.20","37.35","36.20","6.21K","-0.76%"
"05/30/2022","36.69","36.89","36.89","36.23","17.31K","0.03%"
"05/27/2022","36.68","36.57","37.50","36.57","59.01K","0.30%"
"05/26/2022","36.57","36.49","36.89","36.49","14.14K","-0.89%"
"05/25/2022","36.90","35.69","36.90","35.69","60.13K","1.77%"
"05/24/2022","36.26","36.97","36.97","36.16","6.00K","-1.81%"
"05/23/2022","36.93","36.50","37.25","36.50","11.25K","-1.39%"
"05/20/2022","37.45","37.25","37.74","37.25","15.28K","0.67%"
"05/19/2022","37.20","37.00","39.45","37.00","54.57K","-1.69%"
"05/18/2022","37.84","36.99","39.56","35.50","41.74K","2.27%"
"05/17/2022","37.00","37.99","38.20","36.51","31.86K","-2.61%"
"05/16/2022","37.99","38.00","38.39","37.02","38.96K","1.31%"
"05/13/2022","37.50","37.10","38.00","36.56","113.22K","2.74%"
"05/12/2022","36.50","36.80","37.23","36.25","69.95K","-1.99%"
"05/11/2022","37.24","37.80","37.80","36.30","3.66M","-0.16%"
"05/10/2022","37.30","37.00","37.84","36.01","93.08K","0.81%"
"05/09/2022","37.00","37.25","40.89","36.50","70.64K","-6.07%"
"05/06/2022","39.39","38.00","39.99","38.00","11.81K","0.28%"
"04/28/2022","39.28","39.50","40.80","37.00","32.34K","-1.80%"
"04/27/2022","40.00","41.10","41.10","40.00","23.22K","-3.15%"
"04/26/2022","41.30","40.50","42.00","40.50","1.42M","1.98%"
"04/25/2022","40.50","39.48","40.55","39.20","186.81K","3.45%"
"04/22/2022","39.15","39.80","39.80","38.25","269.81K","0.38%"
"04/21/2022","39.00","38.50","39.99","37.50","468.30K","-7.69%"
"04/20/2022","42.25","41.49","42.25","41.49","405.95K","2.55%"
"04/19/2022","41.20","40.76","41.75","40.75","1.78M","0.49%"
"04/18/2022","41.00","41.35","41.75","38.25","443.56K","-0.97%"
"04/15/2022","41.40","41.02","41.74","41.02","54.58K","0.73%"
"04/14/2022","41.10","41.00","41.39","41.00","61.71K","-0.92%"
"04/13/2022","41.48","42.00","42.00","41.02","72.78K","-1.21%"
"04/12/2022","41.99","41.95","42.00","40.50","96.89K","-0.02%"
"04/11/2022","42.00","42.00","42.50","41.85","507.62K","0.48%"
"04/08/2022","41.80","41.59","42.00","41.00","571.23K","0.48%"
"04/07/2022","41.60","42.00","42.75","41.20","261.82K","-0.72%"
"04/06/2022","41.90","40.25","41.90","40.25","59.50K","5.78%"
"04/05/2022","39.61","41.99","41.99","39.61","246.00K","-0.97%"
"04/04/2022","40.00","39.25","40.44","39.00","78.00K","-3.85%"
"04/01/2022","41.60","42.45","44.50","41.60","192.50K","-0.95%"
"03/31/2022","42.00","40.30","42.00","40.00","208.00K","3.65%"
"03/30/2022","40.52","40.21","40.99","40.21","15.00K","-2.36%"
"03/29/2022","41.50","41.50","41.95","40.65","40.50K","-1.14%"
"03/28/2022","41.98","39.16","42.00","39.11","107.00K","3.65%"
"03/25/2022","40.50","39.35","40.50","39.35","3.48M","4.65%"
"03/24/2022","38.70","38.99","39.01","38.60","77.00K","-0.77%"
"03/22/2022","39.00","38.99","41.74","37.31","64.50K","0.05%"
"03/21/2022","38.98","36.16","39.00","36.16","8.50K","2.58%"
"03/18/2022","38.00","38.35","38.85","37.50","21.00K","-2.56%"
"03/17/2022","39.00","38.60","39.00","38.30","63.50K","0.65%"
"03/16/2022","38.75","38.51","38.90","38.45","93.50K","-0.03%"
"03/15/2022","38.76","38.50","38.76","38.50","1.04M","0.68%"
"03/14/2022","38.50","38.45","39.25","38.45","43.50K","0.26%"
"03/11/2022","38.40","38.50","38.50","38.40","6.50K","-0.26%"
"03/10/2022","38.50","39.00","39.10","38.00","256.00K","1.32%"
"03/09/2022","38.00","38.31","38.35","38.00","12.50K","-0.65%"
"03/08/2022","38.25","38.30","38.95","38.25","34.50K","-0.39%"
"03/07/2022","38.40","38.54","38.99","37.05","224.50K","-2.78%"
"03/04/2022","39.50","38.00","40.61","38.00","229.50K","4.64%"
"03/03/2022","37.75","38.70","38.70","37.50","2.18M","1.02%"
"03/02/2022","37.37","36.80","38.50","36.80","7.47M","1.00%"
"03/01/2022","37.00","37.00","37.40","36.50","10.17M","1.37%"
"02/28/2022","36.50","34.51","36.50","34.50","35.00K","2.82%"
"02/25/2022","35.50","35.52","35.69","35.50","19.50K","0.97%"
"02/24/2022","35.16","36.40","36.80","35.16","20.50K","-4.97%"
"02/23/2022","37.00","36.38","37.89","36.00","3.07M","4.08%"
"02/22/2022","35.55","35.48","35.90","35.00","165.00K","-1.25%"
"02/21/2022","36.00","35.50","36.00","35.50","46.00K","1.41%"
"02/18/2022","35.50","35.31","35.65","35.25","12.00K","-2.04%"
"02/17/2022","36.24","36.00","36.24","36.00","12.00K","-2.05%"
"02/16/2022","37.00","35.76","37.00","34.83","21.00K","3.41%"
"02/15/2022","35.78","35.21","35.78","35.21","1.00K","0.00%"
"02/14/2022","35.78","35.84","35.84","35.04","6.50K","-0.17%"
"02/11/2022","35.84","35.97","35.97","35.25","156.00K","0.67%"
"02/10/2022","35.60","35.75","36.50","35.49","504.00K","-5.07%"
"02/09/2022","37.50","37.10","37.50","36.80","29.50K","1.49%"
"02/08/2022","36.95","36.74","37.44","36.65","764.50K","1.23%"
"02/07/2022","36.50","35.70","36.50","35.70","93.00K","2.18%"
"02/04/2022","35.72","36.45","36.45","35.62","13.50K","-0.75%"
"02/03/2022","35.99","36.25","36.25","35.58","34.50K","-0.03%"
"02/02/2022","36.00","36.18","36.18","35.55","20.50K","0.28%"
"02/01/2022","35.90","35.82","35.90","35.11","22.00K","0.17%"
"01/31/2022","35.84","35.60","35.94","35.50","22.50K","0.67%"
"01/28/2022","35.60","35.60","36.48","35.00","19.50K","1.42%"
