"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","98.71","98.70","100.25","97.90","1.60M","0.26%"
"12/29/2022","98.45","98.50","99.59","97.90","511.11K","-0.56%"
"12/28/2022","99.00","100.00","100.00","98.48","550.06K","-0.70%"
"12/27/2022","99.70","100.84","100.84","99.69","338.70K","-0.60%"
"12/26/2022","100.30","101.40","101.40","99.99","422.44K","0.16%"
"12/23/2022","100.14","101.01","101.60","100.00","765.90K","-1.82%"
"12/22/2022","102.00","100.95","102.48","100.94","315.69K","1.34%"
"12/21/2022","100.65","102.00","102.60","100.55","456.54K","-1.32%"
"12/20/2022","102.00","101.70","105.00","100.25","1.35M","0.15%"
"12/19/2022","101.85","102.10","102.50","101.56","222.18K","-0.39%"
"12/16/2022","102.25","101.51","102.94","101.10","297.56K","0.83%"
"12/15/2022","101.41","102.42","102.50","100.60","1.37M","-0.58%"
"12/14/2022","102.00","102.15","102.50","102.00","382.35K","-0.22%"
"12/13/2022","102.22","102.25","102.60","102.05","937.73K","0.02%"
"12/12/2022","102.20","102.75","103.00","102.02","271.01K","-0.29%"
"12/09/2022","102.50","102.00","102.98","101.90","1.13M","0.00%"
"12/08/2022","102.50","102.20","102.50","101.45","145.90K","0.49%"
"12/07/2022","102.00","101.25","102.00","101.15","601.86K","0.49%"
"12/06/2022","101.50","101.98","102.00","100.80","833.72K","-0.39%"
"12/05/2022","101.90","102.65","102.65","101.71","127.42K","-0.71%"
"12/02/2022","102.63","103.25","103.25","102.25","215.86K","-0.02%"
"12/01/2022","102.65","102.80","103.00","102.53","356.30K","0.20%"
"11/30/2022","102.44","103.94","103.95","102.42","416.87K","-0.88%"
"11/29/2022","103.35","102.21","103.90","102.00","436.23K","0.73%"
"11/28/2022","102.60","102.95","102.95","102.25","383.20K","-0.37%"
"11/25/2022","102.98","102.89","102.98","102.25","301.95K","0.47%"
"11/24/2022","102.50","102.79","103.15","102.40","357.23K","-0.29%"
"11/23/2022","102.80","102.60","103.00","102.50","180.11K","0.10%"
"11/22/2022","102.70","102.98","103.00","102.60","289.38K","0.20%"
"11/21/2022","102.50","102.99","103.05","102.12","467.79K","-0.24%"
"11/18/2022","102.75","102.50","103.50","102.10","739.65K","-0.24%"
"11/17/2022","103.00","102.49","103.20","102.00","896.57K","0.78%"
"11/16/2022","102.20","102.40","102.98","101.90","442.14K","0.29%"
"11/15/2022","101.90","102.00","102.50","101.70","406.75K","-0.15%"
"11/14/2022","102.05","102.50","102.50","101.52","107.53K","0.03%"
"11/11/2022","102.02","102.31","102.31","101.50","91.65K","-0.04%"
"11/10/2022","102.06","102.00","102.50","101.51","199.84K","0.07%"
"11/08/2022","101.99","101.95","102.20","101.50","171.51K","0.38%"
"11/07/2022","101.60","102.05","102.22","101.40","1.02M","-0.41%"
"11/04/2022","102.02","101.84","102.40","100.58","1.78M","-1.67%"
"11/03/2022","103.75","103.81","103.99","103.01","1.51M","-0.24%"
"11/02/2022","104.00","103.90","104.00","103.01","662.64K","0.48%"
