Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,4.68,4.7,4.76,4.61,1.33M,0.65%
12/29/2022,4.65,4.59,4.75,4.57,1.72M,2.20%
12/28/2022,4.55,4.71,4.84,4.5,1.05M,-3.60%
12/27/2022,4.72,4.75,4.81,4.7,736.03K,-1.67%
12/26/2022,4.8,4.76,4.91,4.7,1.27M,2.13%
12/23/2022,4.7,4.87,4.87,4.51,760.57K,-0.21%
12/22/2022,4.71,4.69,4.98,4.65,2.22M,1.29%
12/21/2022,4.65,4.56,4.81,4.55,2.53M,0.43%
12/20/2022,4.63,4.95,4.99,4.5,2.62M,-6.65%
12/19/2022,4.96,5.17,5.17,4.9,2.04M,-3.69%
12/16/2022,5.15,5.28,5.29,5.14,1.46M,-1.53%
12/15/2022,5.23,5.41,5.47,5.21,1.25M,-3.68%
12/14/2022,5.43,5.42,5.51,5.39,970.07K,0.37%
12/13/2022,5.41,5.43,5.58,5.39,958.32K,-1.28%
12/12/2022,5.48,5.61,5.61,5.43,854.52K,-0.54%
12/09/2022,5.51,5.61,5.65,5.49,1.27M,0.36%
12/08/2022,5.49,5.65,5.72,5.49,1.10M,-2.31%
12/07/2022,5.62,5.65,5.71,5.56,1.21M,0.00%
12/06/2022,5.62,5.62,5.64,5.5,575.53K,1.08%
12/05/2022,5.56,5.78,5.8,5.5,2.00M,-2.46%
12/02/2022,5.7,5.83,5.88,5.64,1.90M,-0.35%
12/01/2022,5.72,5.89,5.9,5.7,1.63M,-1.55%
11/30/2022,5.81,5.89,5.91,5.76,1.30M,0.87%
11/29/2022,5.76,5.82,5.96,5.7,1.95M,-1.54%
11/28/2022,5.85,5.9,5.94,5.72,2.74M,-1.35%
11/25/2022,5.93,6.11,6.16,5.9,2.36M,-1.50%
11/24/2022,6.02,6.07,6.12,6,812.52K,0.50%
11/23/2022,5.99,6.1,6.17,5.96,1.14M,0.00%
11/22/2022,5.99,6.07,6.18,5.99,2.13M,-0.17%
11/21/2022,6,5.94,6.18,5.94,1.41M,1.01%
11/18/2022,5.94,6.03,6.05,5.9,1.95M,-1.49%
