Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,82.79,85,86.4,81.6,36.00K,-2.02%
12/29/2022,84.5,86.5,87.88,83,37.00K,-2.10%
12/28/2022,86.31,90.5,90.64,86.1,57.00K,-3.89%
12/27/2022,89.8,89.9,92.5,88.05,139.00K,1.99%
12/26/2022,88.05,83.5,88.05,83.5,119.50K,6.73%
12/23/2022,82.5,83,85.1,81,36.00K,-0.60%
12/22/2022,83,80,83.97,80,32.00K,3.26%
12/21/2022,80.38,80.65,82.4,79.2,30.50K,0.45%
12/20/2022,80.02,84.15,84.15,80,86.00K,-6.08%
12/19/2022,85.2,88,88,84.05,50.50K,-2.63%
12/16/2022,87.5,90,90,87,43.00K,-0.11%
12/15/2022,87.6,90.99,91.9,85.25,93.00K,-2.67%
12/14/2022,90,88.6,91,87.5,51.00K,1.12%
12/13/2022,89,89.01,90.5,88.8,31.00K,-0.68%
12/12/2022,89.61,90.15,90.9,89.5,65.50K,-2.75%
12/09/2022,92.14,92,93.75,91.5,38.50K,-0.92%
12/08/2022,93,95.39,95.39,92.5,64.00K,-1.06%
12/07/2022,94,93.9,96.8,93.2,125.00K,0.37%
12/06/2022,93.65,89.33,95.5,89.33,163.50K,4.06%
12/05/2022,90,95.11,95.11,88.88,96.50K,-7.11%
12/02/2022,96.89,97.25,100.2,94.32,191.00K,-0.78%
12/01/2022,97.65,101.18,101.18,96.51,604.50K,3.74%
11/30/2022,94.13,87.5,94.13,87.5,97.00K,8.20%
11/29/2022,87,90.5,92,86.6,289.50K,-5.68%
11/28/2022,92.24,99.5,101.75,92.24,635.00K,-7.49%
11/25/2022,99.71,99.7,99.71,99.7,105.00K,7.49%
11/24/2022,92.76,87.48,92.76,87.48,147.00K,7.50%
11/23/2022,86.29,81.99,86.29,81.99,376.50K,7.19%
11/22/2022,80.5,81.95,82.29,80,41.50K,0.00%
11/21/2022,80.5,77.7,82.5,77.7,76.50K,1.27%
11/18/2022,79.49,78.5,79.49,78.2,34.50K,-0.33%
11/17/2022,79.75,81.15,81.99,79.5,49.00K,-2.15%
11/16/2022,81.5,86,86.8,81.5,171.50K,-3.64%
11/15/2022,84.58,78.08,84.58,78,138.50K,7.08%
11/14/2022,78.99,80,80,78,24.50K,-0.89%
11/11/2022,79.7,81,81.49,78.98,36.00K,-0.85%
11/10/2022,80.38,77.99,83,77.25,101.00K,4.16%
11/08/2022,77.17,81.55,82.89,75.25,82.00K,-5.37%
11/07/2022,81.55,82,83.5,81,20.50K,-0.55%
11/04/2022,82,81.05,83.5,81,44.50K,-1.23%
11/03/2022,83.02,87.49,87.99,82,125.50K,-1.27%
11/02/2022,84.09,79.45,84.09,78.75,92.00K,7.95%
11/01/2022,77.9,77.99,79.8,77.5,92.50K,2.46%
10/31/2022,76.03,77,77.95,76.03,13.50K,0.44%
10/28/2022,75.7,77,77.75,75.7,19.00K,-2.95%
10/27/2022,78,80.4,81,76.55,45.50K,-1.27%
10/26/2022,79,83,83,78.99,31.50K,-5.50%
10/25/2022,83.6,84.61,86,83.5,25.00K,-1.65%
10/24/2022,85,87.77,87.79,84.6,31.50K,-0.58%
10/21/2022,85.5,86.11,87.5,83.11,47.50K,-0.70%
10/20/2022,86.1,86.5,89,86.1,41.00K,-0.46%
10/19/2022,86.5,86.59,87.1,86.5,9.50K,-0.57%
10/18/2022,87,87.25,87.25,86.5,14.50K,0.46%
10/17/2022,86.6,87.51,87.68,86,23.00K,-1.31%
10/14/2022,87.75,88.35,90.5,87.7,69.00K,0.10%
10/13/2022,87.66,90.98,90.98,87.6,40.00K,-3.56%
10/12/2022,90.9,89.07,91,88.81,29.50K,1.00%
10/11/2022,90,91.5,91.5,89,20.00K,-1.53%
10/10/2022,91.4,92.8,92.8,89.55,12.50K,0.99%
10/07/2022,90.5,91.8,93.5,88.5,37.50K,-0.33%
10/06/2022,90.8,87.01,92.49,87,135.50K,3.94%
10/05/2022,87.36,87,88.73,86.26,18.50K,-0.73%
10/04/2022,88,88.5,89.35,87.8,21.00K,1.14%
10/03/2022,87.01,87.7,89.3,87.01,22.00K,-0.56%
09/30/2022,87.5,89,89.49,87.2,19.50K,-0.58%
09/29/2022,88.01,90.9,90.9,88.01,11.50K,-2.38%
09/28/2022,90.16,94,94,90.15,82.00K,-3.05%
09/27/2022,93,92.3,96.05,92.1,189.50K,2.52%
09/26/2022,90.71,85,90.71,85,119.50K,6.86%
09/23/2022,84.89,83,85.37,82,69.50K,3.52%
09/22/2022,82,81.5,82,80,37.00K,-0.44%
09/21/2022,82.36,83.1,83.69,82.11,33.50K,-1.96%
09/20/2022,84.01,85.52,86,83.51,36.50K,-3.10%
09/19/2022,86.7,87.81,88.51,86.05,20.00K,-0.93%
09/16/2022,87.51,89.2,89.2,87.51,42.50K,-2.71%
09/15/2022,89.95,90.85,91.29,89.53,38.00K,-0.22%
09/14/2022,90.15,89.55,90.61,89,51.00K,0.66%
09/13/2022,89.56,91.2,91.8,89.5,39.00K,-1.53%
09/12/2022,90.95,91.15,92.9,90,35.50K,-0.93%
09/09/2022,91.8,89.25,93.85,89.22,49.50K,0.49%
