Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,100.79,99,100.9,98.55,32.10K,1.81%
12/29/2022,99,100.05,100.05,98.86,33.00K,-1.49%
12/28/2022,100.5,104,104,98.01,25.10K,-1.47%
12/27/2022,102,105.22,106.99,102,17.90K,-3.77%
12/26/2022,106,104.55,106,100.61,14.50K,3.82%
12/23/2022,102.1,103,103,102.06,1.60K,-0.63%
12/22/2022,102.75,103.99,104.1,102.01,9.20K,-1.18%
12/21/2022,103.98,102.9,104.99,100,12.00K,2.96%
12/20/2022,100.99,107.01,109.5,100.99,26.10K,-6.92%
12/19/2022,108.5,111,111,108.5,13.10K,-2.86%
12/16/2022,111.7,113.99,113.99,110.5,10.10K,-1.14%
12/15/2022,112.99,114.5,115,110,24.10K,-1.15%
12/14/2022,114.3,114.25,115.55,114.25,3.60K,-0.44%
12/13/2022,114.8,115.51,115.75,114.79,7.40K,-0.65%
12/12/2022,115.55,118,118.5,115.5,13.40K,-0.47%
12/09/2022,116.1,116.01,118.35,115.51,7.70K,-0.21%
12/08/2022,116.34,116.01,117.5,115.5,5.30K,0.21%
12/07/2022,116.1,116.98,116.98,116.09,3.50K,-0.72%
12/06/2022,116.94,117.3,117.99,115.9,10.60K,-0.07%
12/05/2022,117.02,117.87,118.5,117,10.00K,-0.91%
12/02/2022,118.1,118.91,120.99,118,28.00K,-1.63%
12/01/2022,120.06,120.5,121,120,5.30K,0.05%
11/30/2022,120,120.5,120.5,119.25,5.60K,0.42%
11/29/2022,119.5,121.25,121.3,119,23.40K,-0.25%
11/28/2022,119.8,120,121,118,30.60K,-2.21%
11/25/2022,122.51,120.02,125,120,24.80K,1.67%
11/24/2022,120.5,120.51,120.6,120.02,114.10K,0.01%
11/23/2022,120.49,120.01,120.55,120,13.40K,-0.01%
11/22/2022,120.5,120,120.74,119.5,8.80K,0.42%
11/21/2022,120,121.49,121.49,119.9,27.60K,-0.58%
11/18/2022,120.7,121,121.9,120,14.10K,-0.90%
11/17/2022,121.8,122.1,122.9,121.8,9.30K,-0.77%
11/16/2022,122.74,123,123,122.5,7.90K,0.11%
11/15/2022,122.6,123.5,123.5,122.6,15.90K,0.00%
11/14/2022,122.6,123.5,124.3,122.6,7.10K,-0.99%
11/11/2022,123.82,123,124.49,123,10.00K,-0.06%
11/10/2022,123.9,122.34,123.9,121,6.10K,1.56%
11/08/2022,122,122.5,123,121.9,113.80K,-0.41%
11/07/2022,122.5,121.9,122.69,120.11,6.80K,1.33%
11/04/2022,120.89,122.1,122.49,119.87,26.30K,-0.91%
11/03/2022,122,121.5,124.98,121.5,164.40K,0.43%
11/02/2022,121.48,119.99,121.7,119.99,236.20K,1.23%
11/01/2022,120,120,120.5,119.5,53.10K,0.84%
10/31/2022,119,120,120.98,118.31,12.50K,-0.83%
10/28/2022,120,122,122.5,119.1,7.30K,-1.72%
10/27/2022,122.1,122.79,122.79,119.05,174.80K,2.99%
10/26/2022,118.55,120,126,117.67,30.20K,-2.62%
10/25/2022,121.74,123.09,123.09,121,24.50K,-0.94%
10/24/2022,122.9,124,124,122.5,14.90K,0.00%
10/21/2022,122.9,126.18,126.18,122.53,27.30K,-2.00%
10/20/2022,125.41,127.5,129,125,44.90K,-2.10%
10/19/2022,128.1,126.55,128.79,126.55,8.50K,0.56%
10/18/2022,127.39,126.1,128,126.1,19.20K,1.02%
10/17/2022,126.1,126.5,126.9,118.1,17.80K,-1.11%
10/14/2022,127.51,127.6,128.8,126.5,23.00K,-0.19%
10/13/2022,127.75,125.6,129,125.6,28.90K,-0.20%
10/12/2022,128,128.9,128.9,125,50.10K,-3.76%
10/11/2022,133,135,135,132.8,74.40K,-1.12%
10/10/2022,134.5,137,137,134.06,23.70K,-0.37%
10/07/2022,135,135.98,135.98,134.1,15.40K,-0.37%
10/06/2022,135.5,135.51,136.89,135.05,26.00K,0.00%
10/05/2022,135.5,136,137.99,135,17.70K,-1.23%
10/04/2022,137.19,138,138,136.09,30.70K,0.84%
10/03/2022,136.05,136.5,137.9,135.8,24.30K,0.04%
09/30/2022,136,136.39,138.35,136,60.40K,-0.22%
09/29/2022,136.3,135,136.3,134,15.00K,0.48%
09/28/2022,135.65,135.79,138,134.5,47.10K,-0.48%
09/27/2022,136.3,132.21,136.75,131.5,47.40K,3.11%
09/26/2022,132.19,128,132.5,127.99,30.50K,4.66%
09/23/2022,126.3,127,128.97,123,23.10K,0.00%
09/22/2022,126.3,129,129,125,28.60K,-2.34%
09/21/2022,129.33,134,134,129.33,26.90K,-2.21%
09/20/2022,132.25,135,135.1,132,36.30K,-2.51%
09/19/2022,135.65,137,137.5,135.61,34.10K,-0.76%
09/16/2022,136.69,139.36,140,136.5,114.70K,-2.01%
09/15/2022,139.5,140.99,141,139.01,33.70K,0.45%
09/14/2022,138.88,143.01,143.44,138.5,96.00K,-3.56%
09/13/2022,144,141.55,144,141,85.20K,2.13%
09/12/2022,141,141.5,143,139.57,209.00K,-4.77%
09/09/2022,148.07,148.07,148.07,148.07,55.20K,-8.03%
09/08/2022,161,160,161,158.51,128.50K,0.63%
09/07/2022,160,159.46,161,158.51,39.00K,0.47%
09/06/2022,159.25,160,160.01,158,54.20K,-0.01%
09/05/2022,159.26,162.1,163.93,159.26,112.20K,-1.20%
09/02/2022,161.2,159.75,163.41,159.25,256.10K,1.07%
09/01/2022,159.5,158.98,160.5,157,157.30K,2.25%
08/31/2022,155.99,155.9,158,153.95,191.50K,1.69%
08/30/2022,153.4,155.99,158.01,152.62,62.00K,-0.97%
08/29/2022,154.9,155.3,156.95,153.52,37.50K,-0.58%
08/26/2022,155.8,158.5,158.5,155.2,19.40K,-1.39%
08/25/2022,158,158.41,158.41,157.2,12.50K,-0.32%
08/24/2022,158.5,158,159.2,157.7,9.20K,0.01%
08/23/2022,158.49,159,160.5,157.56,17.50K,0.06%
08/22/2022,158.4,159,159.3,157.99,8.40K,-0.69%
08/19/2022,159.5,162.35,162.35,159.5,14.20K,0.11%
08/18/2022,159.33,161.5,161.5,159,13.30K,-1.34%
08/17/2022,161.5,160.15,161.5,160,18.90K,0.16%
08/16/2022,161.25,163.5,164.8,159.5,58.90K,-0.76%
08/15/2022,162.49,159.9,162.85,158,43.90K,3.18%
08/12/2022,157.48,155.5,158,155,29.00K,1.01%
08/11/2022,155.9,158,159.79,154.61,28.50K,-0.14%
08/10/2022,156.12,150,160.82,149.81,145.00K,4.01%
08/05/2022,150.1,147.15,150,147.15,21.50K,1.76%
08/04/2022,147.5,145.1,147.99,145.1,20.30K,1.30%
