Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,14.12,14.1,14.45,14.01,2.37M,-0.35%
12/29/2022,14.17,14.38,14.38,13.95,1.93M,0.07%
12/28/2022,14.16,14.2,14.49,14.1,2.50M,-0.63%
12/27/2022,14.25,14.64,14.75,14.16,1.11M,-3.26%
12/26/2022,14.73,14.54,14.8,14.45,1.73M,2.29%
12/23/2022,14.4,14.2,14.65,13.72,4.14M,0.84%
12/22/2022,14.28,13.76,14.44,13.62,3.18M,3.10%
12/21/2022,13.85,13.94,14.24,13.1,4.66M,-1.42%
12/20/2022,14.05,14.92,15.04,13.85,6.39M,-7.26%
12/19/2022,15.15,15.37,15.49,14.56,3.92M,-1.24%
12/16/2022,15.34,15.89,15.89,15.15,4.86M,-2.91%
12/15/2022,15.8,15.87,16.05,15.6,3.62M,-1.37%
12/14/2022,16.02,15.6,16.38,15.55,8.26M,2.69%
12/13/2022,15.6,15.89,16,15.5,4.01M,-1.89%
12/12/2022,15.9,16.26,16.43,15.76,2.77M,-2.45%
12/09/2022,16.3,16.65,16.65,16.15,2.86M,-1.51%
12/08/2022,16.55,16.88,16.89,16.5,1.56M,-1.43%
12/07/2022,16.79,16.88,17.1,16.74,2.12M,-0.06%
12/06/2022,16.8,16.7,16.87,16.51,2.56M,0.96%
12/05/2022,16.64,17.12,17.15,16.5,2.32M,-2.23%
12/02/2022,17.02,16.9,17.19,16.45,3.11M,0.00%
12/01/2022,17.02,17.3,17.35,16.91,2.71M,-1.05%
11/30/2022,17.2,17.56,17.6,17.16,3.28M,-1.77%
11/29/2022,17.51,16.6,17.74,16.52,10.14M,5.04%
11/28/2022,16.67,16.4,16.9,16.35,6.81M,-2.46%
11/25/2022,17.09,17.4,17.41,17,3.31M,-0.58%
11/24/2022,17.19,17.45,17.45,17.01,5.10M,-1.04%
11/23/2022,17.37,17.7,17.74,17.24,3.35M,-1.14%
11/22/2022,17.57,17.24,17.95,17.09,14.08M,2.33%
11/21/2022,17.17,16.9,17.38,16.85,8.73M,2.69%
11/18/2022,16.72,16.78,17.3,16.08,58.80M,-1.94%
11/17/2022,17.05,18.44,18.65,17.02,11.59M,-7.24%
11/16/2022,18.38,18.91,18.91,17.8,19.42M,-2.70%
11/15/2022,18.89,19.85,20.15,18.65,10.77M,-4.35%
11/14/2022,19.75,20.37,20.37,19.55,4.16M,-2.57%
11/11/2022,20.27,20.4,20.45,20.15,1.33M,-0.15%
11/10/2022,20.3,20,20.4,20,1.76M,1.25%
11/08/2022,20.05,20.16,20.35,19.93,1.27M,-0.74%
11/07/2022,20.2,20.14,20.5,20.05,1.26M,1.30%
11/04/2022,19.94,20.1,20.65,19.82,6.43M,-3.90%
11/03/2022,20.75,20.31,21.07,20.2,4.74M,1.52%
11/02/2022,20.44,20.6,20.69,20.16,1.75M,-0.63%
11/01/2022,20.57,19.63,20.69,19.63,3.40M,5.22%
10/31/2022,19.55,19.26,20.1,19.26,1.10M,-0.76%
10/28/2022,19.7,20.2,20.43,19.51,1.92M,-3.15%
10/27/2022,20.34,20.09,20.6,19.96,6.45M,0.84%
10/26/2022,20.17,21.35,21.35,19.99,8.00M,-5.57%
10/25/2022,21.36,21.85,22,21.35,6.01M,-2.20%
10/24/2022,21.84,22.41,22.47,21.69,3.44M,-0.86%
10/21/2022,22.03,22.3,22.48,21.35,4.32M,-0.32%
10/20/2022,22.1,22.15,22.6,22.05,1.90M,-1.38%
10/19/2022,22.41,21.9,22.45,21.77,2.54M,3.18%
10/18/2022,21.72,21.99,22.43,21.49,4.90M,-1.67%
10/17/2022,22.09,22.69,22.84,21.9,3.86M,-2.64%
10/14/2022,22.69,23.12,23.33,22.55,3.04M,-1.35%
10/13/2022,23,22.79,23.3,22.72,3.20M,0.22%
10/12/2022,22.95,23.15,23.49,22.85,2.21M,-1.25%
10/11/2022,23.24,23.87,24.1,23.01,9.92M,-3.17%
10/10/2022,24,22.85,24.1,22.85,12.65M,3.94%
10/07/2022,23.09,23.1,23.2,22.73,4.09M,-1.11%
10/06/2022,23.35,23.2,23.75,23.14,7.33M,1.08%
10/05/2022,23.1,23.5,23.68,22.95,5.82M,-1.62%
10/04/2022,23.48,23.48,23.84,23.38,4.83M,0.47%
10/03/2022,23.37,22.7,23.9,22.45,12.36M,3.59%
09/30/2022,22.56,22.65,22.89,22.35,2.00M,-0.09%
09/29/2022,22.58,22.61,22.95,22.36,3.46M,0.76%
09/28/2022,22.41,23.33,23.35,22.4,5.06M,-2.99%
09/27/2022,23.1,23.15,23.47,22.81,8.21M,0.22%
09/26/2022,23.05,22.01,23.43,22.01,15.40M,5.73%
09/23/2022,21.8,22.15,22.25,21.65,3.50M,-1.45%
09/22/2022,22.12,21.69,22.2,21.21,3.02M,2.27%
09/21/2022,21.63,21.4,22.04,21.4,6.16M,1.55%
09/20/2022,21.3,21.19,21.38,20.81,2.57M,1.00%
09/19/2022,21.09,21.3,21.39,21,807.45K,0.00%
09/16/2022,21.09,21.45,21.45,20.94,2.81M,-1.45%
09/15/2022,21.4,21.59,21.99,21.33,3.96M,0.05%
09/14/2022,21.39,21.53,21.53,21.1,2.23M,-0.97%
09/13/2022,21.6,21.76,22.1,21.48,2.96M,-0.69%
09/12/2022,21.75,21.95,22.03,21.58,1.40M,-0.82%
09/09/2022,21.93,21.76,22.49,21.7,2.68M,0.37%
09/08/2022,21.85,21.8,22.02,21.5,2.71M,2.10%
09/07/2022,21.4,22.2,22.36,21.35,3.94M,-3.04%
09/06/2022,22.07,22.15,22.36,22.04,2.81M,-1.47%
09/05/2022,22.4,22.89,22.99,22.15,3.24M,-2.35%
09/02/2022,22.94,23.25,23.74,22.9,4.75M,-2.67%
09/01/2022,23.57,23.9,23.96,23.31,6.73M,-0.30%
08/31/2022,23.64,22.99,23.8,22.61,10.98M,2.87%
08/30/2022,22.98,23.69,24.05,22.86,12.88M,-0.52%
08/29/2022,23.1,22.51,23.15,21.8,10.02M,1.54%
08/26/2022,22.75,22.3,22.99,22.2,8.23M,2.25%
