"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1,575.00","1,516.00","1,576.00","1,509.99","23.85K","3.62%"
"12/29/2022","1,519.95","1,523.00","1,525.00","1,513.00","17.28K","-0.33%"
"12/28/2022","1,525.00","1,543.25","1,543.25","1,515.00","44.51K","-1.42%"
"12/27/2022","1,546.99","1,550.00","1,559.00","1,539.00","9.06K","0.13%"
"12/26/2022","1,545.00","1,550.00","1,556.50","1,539.00","26.71K","0.06%"
"12/23/2022","1,544.06","1,570.00","1,573.00","1,540.00","64.12K","-2.21%"
"12/22/2022","1,579.00","1,637.09","1,637.09","1,566.09","15.34K","-0.69%"
"12/21/2022","1,590.00","1,613.00","1,621.00","1,587.00","45.93K","-1.49%"
"12/20/2022","1,614.00","1,639.00","1,639.00","1,610.00","32.72K","-1.47%"
"12/19/2022","1,638.01","1,655.00","1,655.00","1,638.00","33.62K","-0.76%"
"12/16/2022","1,650.50","1,650.00","1,680.00","1,650.00","11.20K","0.09%"
"12/15/2022","1,649.00","1,676.00","1,676.00","1,646.47","91.82K","-1.61%"
"12/14/2022","1,676.00","1,680.00","1,680.00","1,671.00","6.37K","-0.24%"
"12/13/2022","1,680.00","1,675.00","1,680.00","1,675.00","16.25K","0.39%"
"12/12/2022","1,673.50","1,670.00","1,674.00","1,670.00","6.07K","0.21%"
"12/09/2022","1,670.00","1,661.00","1,678.00","1,659.54","69.75K","0.72%"
"12/08/2022","1,658.05","1,667.99","1,670.00","1,655.11","28.31K","-0.48%"
"12/07/2022","1,666.05","1,664.00","1,669.00","1,658.01","25.25K","0.36%"
"12/06/2022","1,660.00","1,661.00","1,666.00","1,653.00","28.48K","-0.36%"
"12/05/2022","1,666.00","1,666.00","1,667.00","1,661.00","5.00K","0.18%"
"12/02/2022","1,663.00","1,675.00","1,680.00","1,663.00","20.47K","-0.72%"
"12/01/2022","1,674.99","1,670.00","1,679.99","1,670.00","7.72K","0.36%"
"11/30/2022","1,669.00","1,661.00","1,675.00","1,659.01","49.32K","0.43%"
"11/29/2022","1,661.90","1,650.00","1,661.99","1,650.00","25.41K","0.72%"
"11/28/2022","1,650.00","1,669.00","1,669.00","1,639.00","29.14K","-1.49%"
