"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","79.66","76.46","81.68","76.46","10.29M","4.19%"
"12/29/2022","76.46","75.85","77.00","75.21","3.60M","1.58%"
"12/28/2022","75.27","74.13","75.90","74.00","2.68M","0.21%"
"12/27/2022","75.11","76.89","77.35","74.85","2.59M","-2.29%"
"12/26/2022","76.87","73.70","77.05","73.50","7.70M","5.33%"
"12/23/2022","72.98","72.00","73.49","71.81","2.68M","1.01%"
"12/22/2022","72.25","70.50","73.50","70.50","3.72M","3.55%"
"12/21/2022","69.77","69.60","70.75","69.50","935.39K","-0.53%"
"12/20/2022","70.14","71.99","72.19","69.00","1.99M","-2.23%"
"12/19/2022","71.74","72.38","73.10","71.60","1.17M","-1.08%"
"12/16/2022","72.52","72.37","72.74","71.20","753.47K","0.51%"
"12/15/2022","72.15","73.00","73.20","71.10","2.10M","-1.25%"
"12/14/2022","73.06","71.31","73.60","71.06","3.10M","2.05%"
"12/13/2022","71.59","72.10","72.50","71.40","709.84K","-0.71%"
"12/12/2022","72.10","72.15","72.70","71.90","1.48M","0.26%"
"12/09/2022","71.91","71.35","73.40","71.08","3.44M","0.97%"
"12/08/2022","71.22","71.45","71.50","71.00","1.40M","0.13%"
"12/07/2022","71.13","72.00","72.15","70.85","1.82M","-0.45%"
"12/06/2022","71.45","71.90","72.00","70.50","957.36K","-0.27%"
"12/05/2022","71.64","72.01","72.30","71.50","692.61K","-1.09%"
"12/02/2022","72.43","72.36","72.75","71.77","1.15M","-0.04%"
"12/01/2022","72.46","72.99","73.25","72.40","2.72M","-0.14%"
"11/30/2022","72.56","72.85","73.13","72.15","1.25M","-0.10%"
"11/29/2022","72.63","72.41","73.20","72.12","1.30M","0.55%"
"11/28/2022","72.23","73.47","73.70","71.98","2.33M","-2.75%"
"11/25/2022","74.27","74.75","75.10","74.10","2.35M","0.34%"
"11/24/2022","74.02","74.00","74.50","73.60","1.60M","0.04%"
"11/23/2022","73.99","74.30","74.44","73.80","661.56K","-0.05%"
"11/22/2022","74.03","74.80","75.14","73.90","1.83M","-0.67%"
"11/21/2022","74.53","74.45","75.00","74.00","747.02K","0.19%"
"11/18/2022","74.39","74.75","75.30","74.05","1.90M","-0.91%"
"11/17/2022","75.07","76.49","76.50","74.86","1.31M","-1.29%"
"11/16/2022","76.05","77.00","77.70","75.70","2.41M","-0.99%"
"11/15/2022","76.81","76.40","78.65","76.13","6.57M","0.75%"
"11/14/2022","76.24","77.00","78.20","76.01","4.37M","-2.22%"
