"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","392.85","405.90","414.00","390.00","455.37K","-2.28%"
"12/29/2022","402.00","405.70","405.70","396.00","253.34K","0.51%"
"12/28/2022","399.95","417.50","417.50","399.20","124.19K","-3.63%"
"12/27/2022","415.00","408.00","420.00","403.12","467.69K","1.83%"
"12/26/2022","407.55","401.00","408.00","396.12","173.62K","2.14%"
"12/23/2022","399.00","399.99","399.99","393.10","362.27K","0.00%"
"12/22/2022","398.99","398.00","399.99","390.11","86.72K","1.05%"
"12/21/2022","394.85","394.77","405.00","392.00","153.81K","-0.29%"
"12/20/2022","396.00","401.01","403.85","393.90","152.17K","-1.49%"
"12/19/2022","402.00","407.49","407.49","401.01","40.54K","-0.37%"
"12/16/2022","403.51","405.00","406.00","402.50","52.74K","0.13%"
"12/15/2022","403.00","414.79","414.79","402.00","130.93K","-1.98%"
"12/14/2022","411.12","414.99","414.99","411.12","22.43K","-0.69%"
"12/13/2022","413.99","414.79","414.79","410.01","61.91K","0.48%"
"12/12/2022","412.00","416.95","416.95","412.00","107.87K","-0.71%"
"12/09/2022","414.94","418.37","418.37","412.00","198.58K","0.43%"
"12/08/2022","413.15","419.89","419.89","412.51","106.08K","-1.16%"
"12/07/2022","417.99","418.75","421.20","415.01","176.64K","-0.05%"
"12/06/2022","418.22","418.10","419.90","413.01","251.81K","0.75%"
"12/05/2022","415.11","415.02","418.99","414.51","59.75K","-0.81%"
"12/02/2022","418.50","422.00","422.00","416.00","81.37K","-0.12%"
"12/01/2022","419.00","417.00","420.50","417.00","88.14K","0.00%"
"11/30/2022","419.00","413.50","421.00","410.00","913.52K","1.70%"
"11/29/2022","412.00","405.01","414.00","405.00","238.34K","0.51%"
"11/28/2022","409.90","415.00","415.02","406.00","258.19K","-2.17%"
"11/25/2022","419.00","418.50","422.24","417.00","146.10K","0.96%"
"11/24/2022","415.00","418.46","420.01","414.00","172.12K","-0.71%"
"11/23/2022","417.98","414.70","420.75","414.00","245.71K","0.72%"
"11/22/2022","415.00","412.25","415.50","410.51","57.01K","0.25%"
"11/21/2022","413.95","412.75","415.49","409.02","35.59K","-0.16%"
"11/18/2022","414.61","409.11","415.50","407.50","57.85K","0.88%"
"11/17/2022","411.00","415.90","416.00","411.00","64.97K","-0.05%"
"11/16/2022","411.20","412.99","412.99","410.00","32.08K","0.32%"
"11/15/2022","409.90","416.00","416.00","409.90","81.46K","-0.75%"
"11/14/2022","413.00","418.50","424.13","411.50","93.21K","-1.69%"
"11/11/2022","420.11","417.60","424.00","410.50","250.93K","0.27%"
"11/10/2022","418.97","417.15","424.00","417.00","308.80K","0.24%"
"11/08/2022","417.95","413.00","418.97","412.50","256.13K","1.39%"
"11/07/2022","412.20","416.97","416.97","410.01","181.21K","0.66%"
"11/04/2022","409.50","405.00","410.89","405.00","244.36K","-0.36%"
"11/03/2022","411.00","405.00","411.89","404.00","234.28K","1.05%"
"11/02/2022","406.71","398.99","407.60","396.58","225.64K","2.45%"
"11/01/2022","397.00","386.00","399.00","386.00","250.44K","2.85%"
"10/31/2022","385.99","384.00","387.88","382.21","49.31K","0.67%"
"10/28/2022","383.44","389.81","392.00","382.55","148.67K","-1.43%"
"10/27/2022","389.00","384.75","390.50","382.00","133.13K","1.30%"
"10/26/2022","384.00","382.80","384.00","378.60","115.59K","-0.26%"
"10/25/2022","385.00","377.00","385.00","377.00","148.57K","1.85%"
"10/24/2022","378.00","379.15","382.00","377.00","63.34K","0.27%"
"10/21/2022","377.00","376.80","379.00","369.09","137.57K","0.80%"
"10/20/2022","374.00","377.00","377.00","371.41","135.80K","0.54%"
"10/19/2022","371.99","370.00","377.95","369.02","203.61K","0.54%"
"10/18/2022","370.00","363.00","370.00","363.00","103.18K","1.73%"
"10/17/2022","363.70","365.95","368.00","362.85","89.92K","-0.08%"
"10/14/2022","364.00","364.00","367.50","360.50","68.99K","0.00%"
"10/13/2022","364.00","363.01","366.00","362.10","102.37K","-0.03%"
"10/12/2022","364.10","357.01","368.00","356.50","231.64K","1.71%"
"10/11/2022","357.99","358.11","360.37","356.51","40.94K","-0.56%"
"10/10/2022","360.00","358.00","365.00","358.00","188.95K","0.83%"
"10/07/2022","357.02","362.00","364.40","355.03","70.19K","-0.86%"
"10/06/2022","360.11","353.00","362.88","352.99","219.59K","2.27%"
"10/05/2022","352.10","350.00","354.00","349.00","87.39K","0.60%"
"10/04/2022","350.00","348.10","351.95","347.25","74.90K","0.00%"
"10/03/2022","350.00","350.00","353.00","348.15","132.66K","0.25%"
"09/30/2022","349.12","345.00","355.00","344.01","311.24K","1.19%"
"09/29/2022","345.00","344.00","346.00","343.00","147.25K","0.58%"
"09/28/2022","343.00","347.80","350.00","342.00","128.10K","-1.15%"
"09/27/2022","347.00","343.99","349.70","343.00","238.65K","1.40%"
"09/26/2022","342.20","349.00","352.00","340.00","223.58K","-1.80%"
"09/23/2022","348.47","349.50","354.00","347.50","107.59K","0.02%"
"09/22/2022","348.40","353.00","354.99","346.50","233.00K","-1.02%"
"09/21/2022","352.00","362.00","364.86","349.50","160.20K","-2.23%"
"09/20/2022","360.02","369.00","369.00","360.02","124.98K","-1.50%"
"09/19/2022","365.50","365.00","370.45","364.50","56.48K","0.47%"
"09/16/2022","363.80","368.01","373.00","361.80","196.65K","-1.68%"
"09/15/2022","370.00","374.00","374.00","369.00","100.83K","-0.74%"
"09/14/2022","372.76","375.98","375.98","372.00","44.61K","-0.46%"
"09/13/2022","374.50","376.45","377.23","373.00","94.40K","-0.53%"
"09/12/2022","376.50","379.99","379.99","370.00","221.27K","-10.49%"
"09/09/2022","420.62","416.00","422.00","412.50","1.01M","2.09%"
"09/08/2022","412.00","414.00","415.50","411.06","181.27K","-0.60%"
"09/07/2022","414.50","416.00","417.80","412.50","251.63K","-0.12%"
"09/06/2022","414.99","416.00","418.88","414.50","219.58K","-0.27%"
"09/05/2022","416.12","415.00","417.90","414.01","68.74K","0.31%"
"09/02/2022","414.82","419.00","419.00","413.13","193.45K","-0.76%"
"09/01/2022","418.00","422.00","425.50","418.00","152.42K","-1.18%"
"08/31/2022","423.00","425.00","426.95","417.00","205.99K","0.00%"
"08/30/2022","422.99","429.00","431.00","422.00","114.04K","-0.94%"
"08/29/2022","427.00","428.80","428.80","417.50","211.07K","0.29%"
"08/26/2022","425.78","426.10","429.00","425.16","187.59K","-0.52%"
"08/25/2022","427.99","429.00","431.00","424.12","336.75K","-0.24%"
"08/24/2022","429.00","427.99","429.00","424.01","202.08K","0.94%"
"08/23/2022","425.00","424.94","429.50","423.11","114.05K","0.00%"
"08/22/2022","424.99","420.89","425.00","416.11","231.42K","1.37%"
"08/19/2022","419.25","420.97","421.00","417.50","130.31K","-0.17%"
"08/18/2022","419.96","420.00","422.00","416.50","147.99K","0.47%"
"08/17/2022","418.00","423.00","424.00","416.85","426.93K","-0.48%"
"08/16/2022","420.01","424.00","428.00","415.00","799.34K","-0.24%"
"08/15/2022","421.00","416.55","425.00","416.55","330.17K","1.13%"
"08/12/2022","416.31","410.81","419.00","408.00","274.09K","2.31%"
"08/11/2022","406.90","410.81","411.50","406.05","267.53K","0.22%"
"08/10/2022","406.02","404.00","410.00","401.51","395.72K","1.50%"
"08/05/2022","400.00","401.14","401.96","397.00","116.86K","-0.50%"
"08/04/2022","402.00","404.30","404.40","398.50","67.11K","-0.25%"
"08/03/2022","403.00","393.00","405.10","393.00","311.16K","2.81%"
"08/02/2022","392.00","390.00","393.00","386.10","57.56K","0.94%"
"08/01/2022","388.36","394.89","394.89","387.55","31.99K","-0.55%"
"07/29/2022","390.49","391.90","398.00","386.01","268.15K","0.01%"
"07/28/2022","390.44","375.01","392.00","375.01","131.26K","3.15%"
"07/27/2022","378.51","380.40","382.50","378.50","90.65K","-0.52%"
