"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","68.14","63.70","68.14","63.70","11.90M","7.56%"
"12/29/2022","63.35","62.20","64.29","62.20","6.62M","1.62%"
"12/28/2022","62.34","60.90","62.75","60.60","6.19M","2.75%"
"12/27/2022","60.67","62.30","64.50","60.50","12.47M","-1.80%"
"12/26/2022","61.78","59.15","61.78","59.10","11.06M","7.50%"
"12/23/2022","57.47","54.50","58.15","54.25","6.85M","3.83%"
"12/22/2022","55.35","52.55","55.60","52.40","6.36M","8.53%"
"12/21/2022","51.00","52.99","54.04","50.51","2.09M","-3.81%"
"12/20/2022","53.02","54.75","55.48","53.00","4.04M","-3.69%"
"12/19/2022","55.05","55.21","56.90","54.50","3.22M","-1.57%"
"12/16/2022","55.93","54.80","56.78","54.51","1.46M","1.69%"
"12/15/2022","55.00","57.19","57.20","53.16","2.69M","-3.83%"
"12/14/2022","57.19","55.90","58.50","55.40","2.50M","2.68%"
"12/13/2022","55.70","56.25","56.44","55.70","902.72K","-0.82%"
"12/12/2022","56.16","56.10","56.50","55.79","913.00K","0.21%"
"12/09/2022","56.04","55.00","57.15","54.90","3.59M","1.97%"
"12/08/2022","54.96","55.10","55.80","54.53","1.04M","0.46%"
"12/07/2022","54.71","54.61","55.18","54.50","702.32K","-0.35%"
"12/06/2022","54.90","55.05","55.05","53.90","834.51K","0.27%"
"12/05/2022","54.75","55.99","56.20","54.60","580.46K","-2.23%"
"12/02/2022","56.00","55.76","56.49","55.55","576.49K","0.25%"
"12/01/2022","55.86","56.62","56.90","55.86","973.64K","-0.89%"
"11/30/2022","56.36","56.97","56.99","55.90","772.85K","-0.27%"
"11/29/2022","56.51","55.81","57.24","55.75","1.42M","0.55%"
"11/28/2022","56.20","56.00","57.26","55.50","1.80M","-1.97%"
"11/25/2022","57.33","58.25","58.90","57.11","2.49M","-0.12%"
"11/24/2022","57.40","56.51","58.01","56.49","3.32M","1.77%"
"11/23/2022","56.40","56.84","57.10","56.40","817.65K","-0.27%"
"11/22/2022","56.55","57.35","57.50","56.40","881.27K","-1.14%"
"11/21/2022","57.20","56.60","57.64","56.20","1.16M","0.37%"
"11/18/2022","56.99","57.53","58.10","56.70","2.65M","-1.06%"
"11/17/2022","57.60","58.50","59.30","57.60","1.84M","-1.69%"
"11/16/2022","58.59","59.63","61.25","58.00","4.11M","-2.02%"
"11/15/2022","59.80","57.04","60.90","57.00","8.33M","4.18%"
