"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","63.08","62.00","64.00","62.00","3.69M","1.99%"
"12/29/2022","61.85","61.88","63.60","61.40","3.43M","-0.08%"
"12/28/2022","61.90","61.23","63.25","61.00","6.40M","1.51%"
"12/27/2022","60.98","61.20","61.90","60.70","2.56M","-0.97%"
"12/26/2022","61.58","63.64","63.95","61.20","4.44M","-2.08%"
"12/23/2022","62.89","60.20","65.18","60.00","8.32M","3.35%"
"12/22/2022","60.85","60.00","60.99","59.81","2.11M","2.44%"
"12/21/2022","59.40","59.99","60.96","59.20","2.41M","-0.75%"
"12/20/2022","59.85","61.00","61.20","59.30","6.23M","-1.35%"
"12/19/2022","60.67","62.74","62.99","60.51","2.35M","-3.31%"
"12/16/2022","62.75","63.03","64.23","62.50","1.34M","-0.32%"
"12/15/2022","62.95","64.80","64.81","62.90","3.04M","-3.15%"
"12/14/2022","65.00","65.25","65.35","64.77","529.06K","-0.76%"
"12/13/2022","65.50","65.25","65.50","64.65","611.58K","0.77%"
"12/12/2022","65.00","65.44","66.35","64.85","364.24K","-0.60%"
"12/09/2022","65.39","66.85","66.85","65.05","432.15K","-0.70%"
"12/08/2022","65.85","66.50","66.95","65.65","629.57K","-1.11%"
"12/07/2022","66.59","66.09","66.75","65.52","559.37K","0.54%"
"12/06/2022","66.23","66.50","66.75","65.55","691.56K","-0.70%"
"12/05/2022","66.70","67.70","67.70","66.24","860.08K","-0.92%"
"12/02/2022","67.32","67.00","67.50","66.40","1.62M","1.23%"
"12/01/2022","66.50","66.40","67.34","66.35","1.70M","0.41%"
"11/30/2022","66.23","66.73","67.34","66.00","1.68M","-0.56%"
"11/29/2022","66.60","64.75","67.90","64.60","4.30M","2.01%"
"11/28/2022","65.29","64.00","65.75","63.61","3.95M","0.46%"
"11/25/2022","64.99","66.90","66.90","64.75","6.97M","-2.93%"
"11/24/2022","66.95","66.80","67.46","66.70","3.12M","0.37%"
"11/23/2022","66.70","69.48","69.48","66.25","12.46M","-3.57%"
"11/22/2022","69.17","69.65","69.90","68.76","735.43K","-0.47%"
"11/21/2022","69.50","69.70","69.98","69.00","1.32M","-0.03%"
"11/18/2022","69.52","69.95","69.95","69.20","690.87K","-0.26%"
"11/17/2022","69.70","69.55","71.40","69.38","4.07M","0.29%"
"11/16/2022","69.50","68.89","69.84","68.80","1.51M","0.83%"
"11/15/2022","68.93","69.60","69.60","68.56","963.24K","-0.61%"
"11/14/2022","69.35","69.75","69.75","68.79","457.98K","-0.34%"
"11/11/2022","69.59","69.99","70.50","69.40","674.14K","-0.40%"
"11/10/2022","69.87","69.13","70.49","69.05","4.44M","2.00%"
"11/08/2022","68.50","68.06","68.98","68.00","1.56M","1.02%"
"11/07/2022","67.81","68.09","68.70","67.80","693.55K","-0.28%"
"11/04/2022","68.00","67.40","68.50","67.00","1.44M","-0.16%"
"11/03/2022","68.11","68.61","69.00","67.90","1.17M","-1.00%"
"11/02/2022","68.80","67.01","69.00","67.00","1.83M","2.84%"
"11/01/2022","66.90","66.25","67.00","66.11","1.30M","1.36%"
"10/31/2022","66.00","64.60","66.17","64.60","683.35K","1.93%"
"10/28/2022","64.75","65.50","65.80","64.56","1.03M","-1.30%"
"10/27/2022","65.60","66.50","67.05","64.50","2.52M","-1.35%"
"10/26/2022","66.50","68.45","68.45","66.50","2.41M","-3.36%"
"10/25/2022","68.81","67.91","69.50","67.51","3.09M","1.79%"
"10/24/2022","67.60","68.40","68.68","67.25","1.66M","1.30%"
"10/21/2022","66.73","65.70","67.00","65.71","3.05M","1.11%"
"10/20/2022","66.00","64.90","66.29","64.65","2.04M","2.17%"
"10/19/2022","64.60","63.90","65.00","63.65","2.18M","1.25%"
"10/18/2022","63.80","63.84","63.95","63.60","716.89K","0.28%"
"10/17/2022","63.62","63.85","63.87","63.40","923.96K","-0.16%"
"10/14/2022","63.72","63.80","63.85","63.05","1.43M","0.74%"
"10/13/2022","63.25","63.65","64.00","63.12","1.38M","-0.86%"
"10/12/2022","63.80","64.20","64.20","63.33","2.90M","-0.62%"
"10/11/2022","64.20","65.00","65.90","63.53","5.20M","-18.72%"
"10/10/2022","78.99","79.80","80.35","78.80","10.29M","-0.28%"
"10/07/2022","79.21","78.31","80.05","78.23","7.50M","0.33%"
"10/06/2022","78.95","77.65","79.71","77.50","7.43M","1.87%"
"10/05/2022","77.50","77.59","78.30","77.06","4.27M","0.00%"
"10/04/2022","77.50","77.50","78.74","77.10","14.56M","3.13%"
"10/03/2022","75.15","69.61","75.15","69.60","30.84M","7.50%"
"09/30/2022","69.91","68.50","70.30","68.50","3.42M","1.61%"
"09/29/2022","68.80","69.13","69.49","68.50","2.40M","-0.29%"
"09/28/2022","69.00","68.68","70.15","68.35","4.49M","0.58%"
"09/27/2022","68.60","68.05","69.10","67.82","3.62M","0.59%"
"09/26/2022","68.20","64.35","68.50","64.25","6.37M","6.55%"
"09/23/2022","64.01","65.49","65.51","64.01","1.31M","-1.67%"
"09/22/2022","65.10","66.00","66.00","64.45","1.77M","-1.36%"
"09/21/2022","66.00","64.85","66.10","64.85","777.63K","0.30%"
"09/20/2022","65.80","65.95","65.99","65.11","1.10M","-0.44%"
"09/19/2022","66.09","66.00","66.47","65.50","2.37M","0.15%"
"09/16/2022","65.99","65.50","66.24","64.50","879.69K","1.13%"
"09/15/2022","65.25","66.90","67.10","65.15","2.18M","-1.78%"
"09/14/2022","66.43","64.34","67.00","64.25","11.15M","2.88%"
"09/13/2022","64.57","64.00","64.80","63.98","1.16M","1.13%"
"09/12/2022","63.85","64.00","64.00","63.47","502.87K","0.33%"
"09/09/2022","63.64","64.45","64.45","63.51","950.44K","-0.83%"
"09/08/2022","64.17","63.95","64.62","63.95","612.07K","-0.05%"
"09/07/2022","64.20","64.80","64.80","64.06","841.67K","-0.16%"
"09/06/2022","64.30","64.70","64.85","63.71","716.33K","-0.31%"
"09/05/2022","64.50","65.85","65.85","64.50","444.42K","-2.12%"
"09/02/2022","65.90","66.44","66.44","65.25","1.12M","-0.17%"
"09/01/2022","66.01","66.50","66.85","65.90","978.48K","-0.74%"
"08/31/2022","66.50","65.15","66.63","64.25","4.59M","2.47%"
"08/30/2022","64.90","65.99","66.00","64.65","1.09M","-0.12%"
"08/29/2022","64.98","64.20","65.35","64.20","2.26M","0.12%"
"08/26/2022","64.90","63.01","65.60","63.01","6.50M","-1.89%"
"08/25/2022","66.15","71.64","72.49","66.15","7.59M","-7.71%"
"08/24/2022","71.68","70.25","72.70","70.00","3.31M","1.86%"
"08/23/2022","70.37","69.00","70.60","69.00","1.45M","2.06%"
"08/22/2022","68.95","68.80","69.20","68.30","638.30K","-0.79%"
"08/19/2022","69.50","70.00","70.01","68.91","1.87M","-1.70%"
"08/18/2022","70.70","70.74","70.89","69.83","885.56K","0.43%"
"08/17/2022","70.40","70.01","70.97","69.90","1.78M","0.57%"
"08/16/2022","70.00","69.35","71.30","69.02","4.81M","1.35%"
"08/15/2022","69.07","69.45","70.10","68.42","2.55M","0.13%"
"08/12/2022","68.98","68.75","69.70","68.22","1.08M","0.86%"
"08/11/2022","68.39","69.38","69.38","68.00","901.65K","-0.58%"
"08/10/2022","68.79","67.05","69.60","66.80","3.15M","2.81%"
"08/05/2022","66.91","66.10","67.10","65.50","1.35M","1.38%"
"08/04/2022","66.00","65.70","67.00","65.13","888.71K","0.93%"
"08/03/2022","65.39","64.45","65.50","64.22","939.72K","1.62%"
"08/02/2022","64.35","64.40","64.60","63.51","471.22K","-0.08%"
"08/01/2022","64.40","65.00","65.00","64.00","261.89K","-0.14%"
"07/29/2022","64.49","64.55","64.85","63.75","500.36K","0.26%"
"07/28/2022","64.32","63.93","66.89","63.82","3.23M","0.77%"
"07/27/2022","63.83","64.25","64.70","63.50","612.91K","-0.50%"
"07/26/2022","64.15","64.82","65.19","63.40","1.51M","-1.00%"
"07/25/2022","64.80","65.10","65.31","64.70","303.59K","-1.82%"
"07/22/2022","66.00","65.68","66.18","64.75","437.62K","0.76%"
"07/21/2022","65.50","65.54","65.85","64.60","571.24K","-0.02%"
"07/20/2022","65.51","65.50","66.00","64.15","375.48K","0.03%"
"07/19/2022","65.49","67.83","67.83","64.40","995.81K","-3.39%"
"07/18/2022","67.79","68.07","68.40","66.90","1.04M","-1.90%"
"07/15/2022","69.10","69.49","69.68","68.71","355.70K","-0.26%"
"07/14/2022","69.28","68.85","69.80","68.31","1.10M","1.14%"
"07/13/2022","68.50","67.84","68.80","67.50","995.96K","1.03%"
"07/07/2022","67.80","68.35","68.75","67.52","604.11K","-0.75%"
"07/06/2022","68.31","68.37","68.64","67.80","225.93K","0.46%"
"07/05/2022","68.00","68.70","68.70","67.80","225.62K","-0.44%"
"07/04/2022","68.30","68.69","69.15","67.77","501.13K","-0.32%"
"07/01/2022","68.52","68.80","69.48","67.56","904.61K","0.91%"
"06/30/2022","67.90","67.00","71.40","66.51","2.26M","1.51%"
"06/29/2022","66.89","66.76","67.25","66.50","821.41K","0.30%"
"06/28/2022","66.69","67.44","67.75","66.51","1.00M","-0.46%"
"06/27/2022","67.00","65.51","67.00","65.50","894.94K","1.67%"
"06/24/2022","65.90","69.00","69.15","63.85","3.63M","-4.15%"
"06/23/2022","68.75","69.00","69.75","68.70","3.40M","2.77%"
"06/22/2022","66.90","67.00","67.80","66.81","544.36K","-0.13%"
"06/21/2022","66.99","66.95","67.10","65.75","2.49M","0.89%"
"06/20/2022","66.40","68.20","68.85","66.00","1.01M","-2.71%"
"06/17/2022","68.25","67.90","69.00","67.30","1.78M","1.32%"
"06/16/2022","67.36","65.57","68.04","65.57","2.50M","2.84%"
"06/15/2022","65.50","64.50","66.39","64.06","1.12M","1.95%"
"06/14/2022","64.25","64.02","64.70","62.93","455.64K","0.00%"
"06/13/2022","64.25","66.06","66.80","63.90","749.12K","-2.80%"
"06/10/2022","66.10","64.80","66.49","64.80","531.58K","0.90%"
"06/09/2022","65.51","64.51","66.00","64.51","824.36K","0.78%"
"06/08/2022","65.00","63.26","65.00","63.20","1.23M","2.04%"
"06/07/2022","63.70","64.00","64.50","63.28","838.80K","-0.47%"
"06/06/2022","64.00","63.31","64.58","62.10","924.77K","1.54%"
"06/03/2022","63.03","64.95","66.00","61.00","5.53M","-2.49%"
"06/02/2022","64.64","64.31","64.90","63.12","1.67M","0.22%"
"06/01/2022","64.50","66.20","66.49","64.41","1.50M","-4.09%"
"05/31/2022","67.25","64.90","67.50","64.90","5.33M","4.73%"
"05/30/2022","64.21","64.50","65.00","63.90","292.17K","0.34%"
"05/27/2022","63.99","64.95","65.70","63.51","1.42M","0.93%"
"05/26/2022","63.40","63.18","63.90","63.00","1.66M","0.83%"
"05/25/2022","62.88","63.19","63.95","61.01","3.29M","-0.51%"
"05/24/2022","63.20","63.25","64.97","62.91","1.40M","-1.40%"
"05/23/2022","64.10","65.20","66.45","63.20","720.32K","-2.42%"
"05/20/2022","65.69","65.34","67.20","65.06","496.99K","-0.32%"
"05/19/2022","65.90","65.15","66.49","65.01","272.33K","0.72%"
"05/18/2022","65.43","64.43","65.70","64.10","251.99K","1.66%"
"05/17/2022","64.36","65.20","65.25","64.20","556.82K","-0.98%"
"05/16/2022","65.00","65.70","66.10","64.70","1.71M","-1.74%"
"05/13/2022","66.15","65.22","66.15","64.81","1.22M","2.08%"
