"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","2.70","2.50","2.80","2.44","69.81M","8.43%"
"12/29/2022","2.49","2.40","2.59","2.37","20.12M","3.75%"
"12/28/2022","2.40","2.42","2.47","2.31","17.79M","-1.23%"
"12/27/2022","2.43","2.46","2.46","2.38","2.45M","-1.62%"
"12/26/2022","2.47","2.36","2.48","2.36","4.89M","3.78%"
"12/23/2022","2.38","2.36","2.40","2.30","2.13M","1.28%"
"12/22/2022","2.35","2.33","2.40","2.27","3.71M","2.17%"
"12/21/2022","2.30","2.30","2.38","2.27","7.70M","0.44%"
"12/20/2022","2.29","2.46","2.47","2.24","19.98M","-6.91%"
"12/19/2022","2.46","2.47","2.48","2.41","5.06M","0.41%"
"12/16/2022","2.45","2.45","2.47","2.42","2.43M","-0.41%"
"12/15/2022","2.46","2.55","2.56","2.44","10.06M","-1.99%"
"12/14/2022","2.51","2.53","2.56","2.51","2.06M","-1.18%"
"12/13/2022","2.54","2.56","2.57","2.52","3.30M","-0.39%"
"12/12/2022","2.55","2.60","2.60","2.53","2.95M","0.00%"
"12/09/2022","2.55","2.60","2.60","2.53","2.01M","0.00%"
"12/08/2022","2.55","2.60","2.65","2.55","2.30M","-2.67%"
"12/07/2022","2.62","2.60","2.68","2.58","2.32M","1.16%"
"12/06/2022","2.59","2.57","2.62","2.56","941.50K","-0.38%"
"12/05/2022","2.60","2.63","2.76","2.52","6.84M","-1.14%"
"12/02/2022","2.63","2.62","2.71","2.60","1.96M","-1.13%"
"12/01/2022","2.66","2.63","2.70","2.58","4.22M","3.10%"
"11/30/2022","2.58","2.64","2.64","2.57","5.66M","-0.39%"
"11/29/2022","2.59","2.60","2.65","2.57","7.50M","0.00%"
"11/28/2022","2.59","2.70","2.71","2.57","29.02M","-6.50%"
"11/25/2022","2.77","2.81","2.81","2.75","3.27M","-0.72%"
"11/24/2022","2.79","2.79","2.82","2.78","1.87M","0.00%"
"11/23/2022","2.79","2.83","2.83","2.78","3.44M","-0.36%"
"11/22/2022","2.80","2.85","2.85","2.80","2.06M","0.00%"
"11/21/2022","2.80","2.85","2.87","2.80","2.35M","-2.78%"
"11/18/2022","2.88","2.82","2.90","2.81","3.87M","2.13%"
"11/17/2022","2.82","2.82","2.85","2.81","5.11M","0.36%"
"11/16/2022","2.81","2.81","2.84","2.80","2.32M","-0.35%"
"11/15/2022","2.82","2.82","2.85","2.80","818.50K","-0.35%"
"11/14/2022","2.83","2.85","2.85","2.81","1.54M","-2.41%"
"11/11/2022","2.90","2.88","2.90","2.84","2.60M","1.75%"
"11/10/2022","2.85","2.83","2.89","2.82","6.15M","1.42%"
"11/08/2022","2.81","2.88","2.88","2.80","2.48M","-1.40%"
"11/07/2022","2.85","2.79","2.90","2.78","2.13M","2.52%"
"11/04/2022","2.78","2.76","2.78","2.70","3.06M","-0.71%"
"11/03/2022","2.80","2.80","2.86","2.77","4.83M","0.72%"
"11/02/2022","2.78","2.84","2.86","2.77","1.62M","-1.07%"
"11/01/2022","2.81","2.73","2.86","2.73","3.53M","3.31%"
"10/31/2022","2.72","2.78","2.78","2.70","4.35M","0.00%"
"10/28/2022","2.72","2.82","2.82","2.68","13.20M","-1.81%"
"10/27/2022","2.77","2.80","2.87","2.76","10.24M","-0.36%"
"10/26/2022","2.78","2.92","2.92","2.76","12.33M","-5.12%"
