"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","30.00","29.01","30.29","28.10","20.50K","3.45%"
"12/29/2022","29.00","29.00","29.00","29.00","1.00K","-4.92%"
"12/28/2022","30.50","30.49","30.50","30.49","14.50K","0.79%"
"12/27/2022","30.26","30.26","30.26","30.26","1.00K","-2.39%"
"12/23/2022","31.00","30.60","32.98","30.60","64.50K","-0.80%"
"12/22/2022","31.25","30.00","31.49","30.00","35.50K","-5.02%"
"12/20/2022","32.90","29.15","32.90","29.15","67.00K","5.11%"
"12/14/2022","31.30","30.00","31.80","30.00","14.00K","-1.57%"
"12/13/2022","31.80","31.80","31.80","31.80","28.00K","-0.63%"
"12/12/2022","32.00","31.80","32.00","31.80","274.00K","1.04%"
"12/09/2022","31.67","31.66","32.00","31.66","13.50K","-0.57%"
"12/08/2022","31.85","32.01","32.25","31.85","48.00K","-3.48%"
"12/07/2022","33.00","32.06","33.00","32.06","4.00K","0.00%"
"12/06/2022","33.00","32.03","34.75","32.00","325.50K","0.15%"
"12/05/2022","32.95","31.90","32.98","31.70","145.00K","0.15%"
"12/02/2022","32.90","34.00","34.00","31.65","193.00K","-1.64%"
"12/01/2022","33.45","35.98","35.98","33.00","275.00K","-0.15%"
"11/30/2022","33.50","32.00","33.50","32.00","1.01M","7.48%"
"11/29/2022","31.17","29.00","31.17","28.98","710.50K","7.48%"
"11/28/2022","29.00","27.70","29.00","27.70","39.50K","1.05%"
"11/25/2022","28.70","28.40","28.70","28.40","22.50K","1.41%"
"11/24/2022","28.30","28.30","28.40","28.00","51.00K","0.00%"
"11/23/2022","28.30","28.20","28.40","28.20","74.00K","0.64%"
"11/22/2022","28.12","28.10","28.25","28.10","19.50K","-0.28%"
"11/21/2022","28.20","28.00","28.20","28.00","7.50K","0.32%"
"11/18/2022","28.11","27.74","28.15","27.74","36.00K","1.30%"
"11/17/2022","27.75","27.60","28.00","27.60","52.50K","0.54%"
"11/16/2022","27.60","26.90","27.60","26.90","31.50K","2.60%"
"11/15/2022","26.90","25.80","26.85","25.50","97.00K","3.46%"
"11/14/2022","26.00","26.00","26.40","25.84","20.00K","-1.89%"
"11/11/2022","26.50","26.75","26.75","26.50","35.00K","-0.93%"
"11/10/2022","26.75","27.20","27.20","26.75","9.50K","-1.29%"
"11/08/2022","27.10","26.20","27.10","26.20","154.00K","3.44%"
"11/07/2022","26.20","28.60","28.60","26.00","65.00K","-2.35%"
"11/04/2022","26.83","25.00","26.83","25.00","592.00K","7.19%"
"11/03/2022","25.03","23.74","25.03","23.74","348.00K","6.51%"
"11/02/2022","23.50","22.07","23.70","22.07","143.00K","4.21%"
"11/01/2022","22.55","22.80","23.00","22.55","11.50K","-0.75%"
"10/31/2022","22.72","22.85","23.24","21.96","34.50K","3.04%"
"10/28/2022","22.05","23.10","23.10","21.50","366.00K","2.13%"
"10/27/2022","21.59","19.99","21.59","19.99","54.50K","6.35%"
"10/26/2022","20.30","20.75","20.75","19.83","31.50K","-4.47%"
"10/25/2022","21.25","21.50","21.50","21.25","6.00K","0.95%"
"10/24/2022","21.05","21.85","21.85","20.90","6.50K","-2.09%"
"10/20/2022","21.50","21.25","21.90","21.25","16.50K","-2.27%"
"10/19/2022","22.00","21.15","22.40","21.00","1.76M","4.76%"
"10/18/2022","21.00","19.98","21.10","19.90","2.13M","6.06%"
"10/17/2022","19.80","19.25","19.80","19.25","2.47M","2.86%"
"10/14/2022","19.25","19.25","19.25","19.25","3.50K","0.00%"
"10/13/2022","19.25","19.26","19.26","19.25","8.00K","-1.03%"
"10/12/2022","19.45","19.40","19.49","19.40","38.50K","0.26%"
"10/11/2022","19.40","19.01","19.69","19.01","48.50K","-1.52%"
"10/10/2022","19.70","18.51","19.80","18.51","30.00K","-1.01%"
"10/07/2022","19.90","19.50","19.90","19.50","27.50K","3.65%"
"10/06/2022","19.20","19.20","19.20","19.20","2.00K","-1.18%"
"10/05/2022","19.43","19.25","19.50","19.00","37.50K","1.89%"
"10/04/2022","19.07","18.10","19.10","18.10","79.00K","5.24%"
"10/03/2022","18.12","17.45","18.16","17.45","276.00K","7.22%"
"09/30/2022","16.90","16.90","16.90","16.90","9.00K","-0.59%"
"09/29/2022","17.00","17.00","17.00","17.00","2.50K","0.00%"
"09/28/2022","17.00","17.01","17.01","17.00","3.00K","-2.30%"
"09/27/2022","17.40","16.51","17.40","16.51","174.50K","2.65%"
"09/26/2022","16.95","16.20","17.44","15.70","4.00K","0.30%"
"09/23/2022","16.90","16.85","17.00","16.85","28.50K","4.26%"
"09/22/2022","16.21","17.20","17.20","16.21","1.50K","-4.65%"
"09/21/2022","17.00","17.40","17.40","17.00","218.00K","-0.76%"
"09/20/2022","17.13","17.00","17.37","17.00","8.50K","-1.66%"
"09/19/2022","17.42","17.00","17.44","16.92","8.00K","2.17%"
"09/16/2022","17.05","17.00","17.05","17.00","10.00K","0.00%"
"09/15/2022","17.05","17.01","17.10","17.01","1.50K","-1.73%"
"09/14/2022","17.35","16.90","17.35","16.90","21.50K","1.88%"
"09/13/2022","17.03","16.60","17.05","16.60","22.00K","0.47%"
"09/12/2022","16.95","16.60","16.95","16.60","6.50K","2.73%"
"09/09/2022","16.50","16.40","17.34","16.40","9.00K","0.61%"
"09/08/2022","16.40","17.40","17.40","16.40","4.00K","-0.61%"
"09/07/2022","16.50","16.70","16.70","16.50","33.50K","0.00%"
"09/06/2022","16.50","16.70","16.70","16.50","7.00K","-1.79%"
"09/05/2022","16.80","17.08","17.08","16.80","57.50K","-2.50%"
"09/02/2022","17.23","17.10","17.50","17.09","23.00K","0.82%"
"09/01/2022","17.09","17.10","17.20","17.01","16.50K","-1.50%"
"08/31/2022","17.35","16.75","17.60","16.75","9.00K","2.06%"
"08/30/2022","17.00","17.15","17.45","16.75","75.50K","-10.29%"
