"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","469.00","474.98","475.00","452.01","12.95K","-0.10%"
"12/29/2022","469.49","450.00","469.90","446.01","15.70K","1.84%"
"12/28/2022","460.99","452.00","460.99","440.00","21.75K","0.66%"
"12/27/2022","457.99","456.03","469.98","451.10","18.00K","-2.55%"
"12/26/2022","469.99","479.98","480.00","466.20","8.50K","-2.08%"
"12/23/2022","479.97","475.00","480.00","470.00","7.35K","-2.45%"
"12/22/2022","492.00","480.00","492.00","474.35","6.75K","2.74%"
"12/21/2022","478.90","487.31","487.31","478.62","4.50K","1.23%"
"12/20/2022","473.10","491.51","492.00","473.10","7.85K","-6.31%"
"12/19/2022","504.99","497.41","504.99","497.41","0.85K","1.00%"
"12/16/2022","500.00","481.02","500.00","481.02","8.05K","-0.69%"
"12/15/2022","503.49","502.98","503.49","485.00","8.65K","-1.08%"
"12/14/2022","509.00","492.01","509.00","492.00","4.45K","0.79%"
"12/13/2022","505.00","498.99","505.00","492.01","2.50K","-0.92%"
"12/12/2022","509.70","490.00","509.70","485.10","5.20K","4.02%"
"12/09/2022","490.00","482.11","490.00","480.01","4.35K","1.01%"
"12/08/2022","485.10","498.79","498.79","485.10","2.85K","-2.20%"
"12/07/2022","496.00","504.76","505.00","496.00","3.90K","-0.60%"
"12/06/2022","499.00","505.61","522.77","498.00","8.00K","-5.49%"
"12/05/2022","527.99","523.19","527.99","500.00","37.20K","0.76%"
"12/02/2022","524.00","535.00","535.00","519.00","40.35K","-3.50%"
"12/01/2022","542.99","541.42","544.45","535.00","12.25K","1.49%"
"11/30/2022","535.00","540.01","549.00","533.99","24.25K","-1.83%"
"11/29/2022","545.00","552.25","553.50","544.75","9.50K","-1.98%"
"11/28/2022","556.00","564.87","564.87","548.00","2.95K","-3.14%"
"11/25/2022","574.00","564.99","574.00","560.00","1.45K","0.97%"
"11/24/2022","568.50","552.01","568.50","552.01","1.65K","1.08%"
"11/23/2022","562.40","565.99","599.00","552.12","1.85K","-0.27%"
"11/22/2022","563.90","540.33","563.90","535.00","3.35K","0.79%"
"11/21/2022","559.50","552.00","559.50","546.00","2.55K","0.63%"
"11/18/2022","556.00","556.00","556.00","556.00","0.10K","-0.54%"
"11/17/2022","559.00","560.00","560.00","551.26","0.15K","-0.97%"
"11/16/2022","564.50","555.00","564.50","550.00","1.85K","1.00%"
"11/14/2022","558.90","558.99","562.57","555.01","3.80K","-1.25%"
"11/11/2022","566.00","560.00","568.50","554.00","2.75K","-0.70%"
"11/10/2022","569.99","553.53","569.99","544.50","16.35K","2.71%"
"11/08/2022","554.97","557.97","557.97","535.00","10.15K","0.18%"
"11/07/2022","554.00","551.00","554.00","545.00","0.40K","0.39%"
"11/04/2022","551.85","565.11","565.11","550.38","59.95K","-7.25%"
"11/03/2022","595.00","595.00","595.00","595.00","0.20K","1.88%"
"11/02/2022","584.00","584.00","584.00","584.00","0.05K","-1.68%"
"11/01/2022","594.00","570.00","594.00","570.00","5.70K","3.66%"
"10/31/2022","573.00","560.01","573.00","560.01","2.10K","0.53%"
