"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","137.10","138.00","138.50","136.30","12.00K","-1.37%"
"12/29/2022","139.00","131.66","139.80","131.50","16.50K","4.67%"
"12/28/2022","132.80","129.17","136.50","129.17","293.40K","2.95%"
"12/27/2022","129.00","131.50","131.50","129.00","231.40K","-2.27%"
"12/26/2022","132.00","134.50","134.50","131.00","9.50K","3.52%"
"12/23/2022","127.51","129.70","135.90","127.00","31.90K","-2.65%"
"12/22/2022","130.98","125.52","130.98","125.52","2.10K","0.75%"
"12/21/2022","130.00","136.99","137.00","129.11","5.20K","-2.26%"
"12/20/2022","133.00","139.19","140.94","130.25","72.60K","-2.21%"
"12/19/2022","136.00","142.65","142.65","135.60","12.50K","-4.59%"
"12/16/2022","142.55","146.35","146.35","142.55","13.30K","-0.31%"
"12/15/2022","143.00","152.39","152.50","143.00","17.10K","-5.96%"
"12/14/2022","152.06","157.49","157.49","152.01","9.70K","-0.55%"
"12/13/2022","152.90","153.54","157.00","152.90","75.40K","0.26%"
"12/12/2022","152.50","154.00","154.09","152.15","6.20K","0.28%"
"12/09/2022","152.08","155.25","155.25","151.00","59.40K","-1.25%"
"12/08/2022","154.00","166.10","166.10","154.00","101.00K","-6.69%"
"12/07/2022","165.05","169.00","172.00","164.00","25.80K","-2.51%"
"12/06/2022","169.30","170.18","177.49","169.01","6.10K","-1.08%"
"12/05/2022","171.15","175.10","175.10","171.01","2.10K","-2.31%"
"12/02/2022","175.20","179.05","179.05","172.51","5.20K","-3.74%"
"12/01/2022","182.00","181.13","183.97","181.00","3.40K","0.50%"
"11/30/2022","181.10","180.50","181.35","180.50","1.20K","0.61%"
"11/29/2022","180.00","179.00","184.90","179.00","4.00K","0.56%"
"11/28/2022","179.00","185.01","188.00","179.00","15.00K","-4.74%"
"11/25/2022","187.90","188.00","188.01","187.15","1.90K","-0.05%"
"11/24/2022","188.00","188.50","188.50","187.55","4.80K","-0.27%"
"11/23/2022","188.50","188.03","188.50","187.00","0.70K","0.27%"
"11/22/2022","188.00","188.25","190.00","188.00","2.90K","-0.52%"
"11/21/2022","188.99","189.00","189.00","188.00","0.70K","-0.01%"
"11/18/2022","189.00","190.02","190.05","188.00","10.90K","-1.05%"
"11/17/2022","191.00","192.00","193.00","191.00","13.40K","-0.52%"
"11/16/2022","192.00","190.13","192.00","190.12","6.80K","-0.13%"
"11/15/2022","192.25","193.00","193.00","192.25","0.40K","-0.13%"
"11/14/2022","192.50","192.20","194.00","191.50","3.20K","-0.77%"
"11/11/2022","194.00","195.00","195.01","194.00","2.50K","-0.96%"
