"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","87.01","88.20","92.45","87.00","282.50K","-3.20%"
"12/29/2022","89.89","88.55","89.89","88.20","17.10K","0.00%"
"12/28/2022","89.89","93.00","93.51","88.07","43.40K","-1.22%"
"12/27/2022","91.00","90.05","95.88","90.00","233.60K","0.00%"
"12/26/2022","91.00","91.00","91.00","89.10","39.90K","0.00%"
"12/23/2022","91.00","88.00","92.00","88.00","71.60K","1.13%"
"12/22/2022","89.98","87.85","89.98","86.00","49.60K","1.10%"
"12/21/2022","89.00","87.25","89.99","87.00","58.20K","1.15%"
"12/20/2022","87.99","93.00","93.00","87.53","57.30K","-4.89%"
"12/19/2022","92.51","95.50","95.50","92.50","15.40K","-2.88%"
"12/16/2022","95.25","94.25","95.90","91.00","83.00K","0.26%"
"12/15/2022","95.00","96.25","97.99","95.00","29.50K","-3.06%"
"12/14/2022","98.00","98.00","98.00","95.70","5.40K","-0.51%"
"12/13/2022","98.50","100.00","100.48","97.50","16.00K","0.41%"
"12/12/2022","98.10","101.00","101.00","98.10","4.00K","0.10%"
"12/09/2022","98.00","102.00","102.00","97.55","7.80K","-1.66%"
"12/08/2022","99.65","101.25","103.00","99.50","48.20K","-3.56%"
"12/07/2022","103.33","107.00","107.00","103.33","77.40K","-2.98%"
"12/06/2022","106.50","108.20","108.20","106.50","13.90K","-3.17%"
"12/05/2022","109.99","109.00","110.54","108.02","24.80K","-1.57%"
"12/02/2022","111.75","109.95","111.75","108.06","66.50K","3.47%"
"12/01/2022","108.00","109.56","110.00","106.11","239.80K","-1.82%"
"11/30/2022","110.00","110.00","110.01","109.50","8.70K","0.00%"
"11/29/2022","110.00","109.50","110.50","109.50","8.00K","-0.27%"
"11/28/2022","110.30","109.02","111.09","109.02","20.00K","-0.99%"
"11/25/2022","111.40","111.25","111.40","110.27","4.60K","0.47%"
"11/24/2022","110.88","109.56","110.93","109.56","8.30K","0.34%"
"11/23/2022","110.50","110.50","111.80","110.00","7.40K","-0.35%"
"11/22/2022","110.89","109.50","110.90","109.50","3.80K","0.44%"
"11/21/2022","110.40","110.00","110.40","110.00","24.20K","-0.09%"
"11/18/2022","110.50","110.50","111.00","110.10","23.20K","-0.41%"
"11/17/2022","110.95","110.10","110.97","110.00","16.60K","-0.03%"
"11/16/2022","110.98","110.90","110.99","110.00","16.20K","0.25%"
"11/15/2022","110.70","110.74","111.25","110.70","2.80K","0.45%"
"11/14/2022","110.20","111.35","111.35","110.00","21.50K","-1.16%"
"11/11/2022","111.49","111.48","111.50","110.70","7.10K","0.22%"
"11/10/2022","111.25","111.00","111.25","111.00","11.10K","-0.22%"
"11/08/2022","111.50","111.01","111.50","110.75","9.10K","0.45%"
"11/07/2022","111.00","111.50","112.19","111.00","12.40K","-0.05%"
"11/04/2022","111.06","110.51","112.50","110.10","23.90K","0.05%"
"11/03/2022","111.00","111.00","111.50","111.00","11.20K","-0.66%"
"11/02/2022","111.74","110.10","111.74","110.10","47.40K","-0.23%"
"11/01/2022","112.00","110.89","113.00","110.30","32.50K","0.45%"
"10/31/2022","111.50","111.50","111.50","110.58","0.60K","1.00%"
"10/28/2022","110.40","112.78","112.80","110.01","24.70K","-1.08%"
"10/27/2022","111.61","112.70","113.25","110.65","24.00K","-2.10%"
"10/26/2022","114.00","110.50","115.49","109.00","26.20K","2.02%"
"10/25/2022","111.74","110.30","111.74","109.15","15.40K","0.37%"
"10/24/2022","111.33","110.30","111.79","110.00","15.00K","-0.59%"
"10/21/2022","111.99","110.15","112.00","109.05","45.90K","0.25%"
"10/20/2022","111.71","110.75","111.98","110.15","13.30K","-0.04%"
"10/19/2022","111.75","112.00","112.00","110.75","37.70K","0.22%"
"10/18/2022","111.50","112.25","112.25","109.50","35.40K","-0.39%"
"10/17/2022","111.94","112.00","112.00","110.00","21.90K","-0.05%"
"10/14/2022","112.00","112.00","112.00","110.11","11.80K","-0.44%"
"10/13/2022","112.50","112.15","112.60","111.50","29.80K","0.46%"
"10/12/2022","111.99","111.25","111.99","110.41","22.50K","-0.01%"
"10/11/2022","112.00","112.80","112.80","111.36","8.20K","-0.16%"
"10/10/2022","112.18","111.76","112.35","111.10","24.60K","-0.28%"
"10/07/2022","112.50","112.00","112.50","111.00","15.30K","0.00%"
"10/06/2022","112.50","112.94","112.94","111.51","4.00K","0.75%"
"10/05/2022","111.66","112.00","112.99","111.56","9.80K","-1.09%"
"10/04/2022","112.89","111.55","112.89","111.52","11.60K","0.35%"
"10/03/2022","112.50","113.00","113.00","111.61","3.30K","0.44%"
"09/30/2022","112.01","112.00","113.00","111.00","31.30K","0.01%"
"09/29/2022","112.00","112.00","117.49","111.02","36.00K","-0.88%"
"09/28/2022","113.00","112.00","113.00","111.90","16.70K","0.00%"
"09/27/2022","113.00","112.99","113.00","112.00","4.20K","0.44%"
"09/26/2022","112.50","112.70","112.85","111.00","67.30K","-0.44%"
"09/23/2022","113.00","111.25","113.00","110.00","48.80K","0.00%"
"09/22/2022","113.00","112.99","113.25","111.27","10.60K","-0.78%"
"09/21/2022","113.89","112.10","113.89","111.80","20.60K","-0.10%"
"09/20/2022","114.00","113.02","114.00","111.00","81.70K","0.00%"
"09/19/2022","114.00","113.30","114.87","113.06","9.10K","-0.45%"
"09/16/2022","114.51","114.00","114.51","113.00","13.10K","-0.34%"
"09/15/2022","114.90","114.00","114.90","114.00","16.10K","0.97%"
"09/14/2022","113.80","113.50","114.50","113.50","9.80K","-0.18%"
"09/13/2022","114.01","114.13","115.00","114.00","20.50K","-0.86%"
"09/12/2022","115.00","114.20","115.00","113.26","10.30K","-0.26%"
"09/09/2022","115.30","114.07","117.00","112.66","70.90K","1.14%"
"09/08/2022","114.00","115.02","115.02","113.80","87.30K","-1.72%"
"09/07/2022","116.00","115.50","116.00","114.95","49.50K","-0.85%"
"09/06/2022","117.00","116.99","116.99","115.80","11.90K","-0.41%"
"09/05/2022","117.48","115.80","117.48","115.05","7.60K","-0.02%"
"09/02/2022","117.50","116.75","117.50","116.02","7.70K","0.43%"
"09/01/2022","117.00","117.52","117.55","117.00","16.60K","-2.34%"
"08/31/2022","119.80","118.50","119.80","117.00","5.80K","0.29%"
"08/30/2022","119.45","118.50","119.49","114.99","35.90K","-0.29%"
"08/29/2022","119.80","115.20","119.80","115.20","14.00K","1.96%"
"08/26/2022","117.50","117.50","117.50","116.00","57.50K","-1.18%"
"08/25/2022","118.90","118.00","119.00","116.50","72.10K","0.87%"
"08/24/2022","117.87","119.00","120.20","117.02","51.50K","-0.54%"
"08/23/2022","118.51","120.78","124.89","118.51","79.40K","-2.78%"
"08/22/2022","121.90","120.52","121.90","120.52","3.50K","-0.04%"
"08/19/2022","121.95","121.50","122.50","121.12","7.40K","-0.58%"
"08/18/2022","122.66","121.00","125.80","120.00","86.30K","1.04%"
"08/17/2022","121.40","122.90","122.90","121.35","11.30K","0.17%"
"08/16/2022","121.20","124.90","125.00","121.20","67.40K","-2.63%"
"08/15/2022","124.48","124.00","128.50","122.00","250.50K","0.76%"
"08/12/2022","123.54","121.25","125.90","121.25","43.60K","-0.33%"
"08/11/2022","123.95","122.50","123.95","122.25","10.60K","-0.40%"
"08/10/2022","124.45","122.00","126.70","122.00","64.40K","1.18%"
"08/05/2022","123.00","118.75","127.99","118.75","23.80K","2.08%"
"08/04/2022","120.49","120.00","120.49","119.50","6.00K","0.83%"
"08/03/2022","119.50","117.10","122.00","117.00","25.60K","1.70%"
"08/02/2022","117.50","116.66","118.50","116.05","6.50K","-1.26%"
"08/01/2022","119.00","118.00","119.00","118.00","2.80K","-0.17%"
"07/29/2022","119.20","118.75","120.50","118.00","9.30K","0.17%"
"07/28/2022","119.00","118.73","119.00","118.73","1.80K","-0.38%"
"07/27/2022","119.45","119.57","119.57","115.00","16.50K","-0.45%"
"07/26/2022","119.99","119.99","119.99","117.75","2.30K","0.16%"
"07/25/2022","119.80","119.80","119.80","118.30","1.30K","-0.17%"
"07/22/2022","120.00","116.60","120.00","116.00","16.50K","0.00%"
"07/21/2022","120.00","119.90","120.00","115.25","30.30K","0.08%"
"07/20/2022","119.90","120.80","121.75","118.00","10.70K","-1.92%"
"07/19/2022","122.25","119.50","122.25","117.91","16.70K","1.49%"
"07/18/2022","120.45","121.84","121.84","119.10","5.30K","-1.14%"
"07/15/2022","121.84","121.50","121.84","115.00","11.10K","-0.12%"
"07/14/2022","121.99","120.50","122.01","120.15","7.60K","0.16%"
"07/13/2022","121.80","119.65","121.80","119.65","2.40K","0.29%"
"07/07/2022","121.45","120.79","121.45","120.03","2.80K","0.37%"
"07/06/2022","121.00","119.95","121.00","119.15","6.40K","0.83%"
"07/05/2022","120.00","121.00","121.00","119.50","16.50K","-0.60%"
"07/04/2022","120.72","120.60","121.25","120.60","3.10K","-0.93%"
"07/01/2022","121.85","123.60","123.60","120.83","4.00K","0.29%"
"06/30/2022","121.50","118.25","127.80","118.00","144.30K","1.58%"
"06/29/2022","119.61","119.61","119.61","118.00","6.20K","0.50%"
"06/28/2022","119.01","119.99","121.80","119.01","5.90K","0.01%"
"06/27/2022","119.00","119.75","119.93","118.75","2.40K","-0.83%"
"06/24/2022","119.99","119.10","121.38","117.90","28.30K","0.39%"
"06/23/2022","119.52","121.25","123.90","119.00","50.80K","-1.14%"
"06/22/2022","120.90","121.00","121.01","119.50","15.00K","-0.08%"
"06/21/2022","121.00","119.20","121.00","119.10","10.40K","1.67%"
"06/20/2022","119.01","120.00","120.50","119.00","9.80K","-0.82%"
"06/17/2022","119.99","119.60","120.00","119.60","21.00K","0.08%"
"06/16/2022","119.90","120.00","120.00","119.00","5.30K","-0.08%"
"06/15/2022","120.00","119.07","120.66","119.07","8.10K","0.04%"
"06/14/2022","119.95","120.90","120.90","119.00","16.80K","-1.07%"
"06/13/2022","121.25","124.85","125.70","121.01","12.30K","-0.61%"
"06/10/2022","122.00","122.90","123.75","121.00","22.10K","-0.56%"
"06/09/2022","122.69","119.98","126.00","119.98","99.40K","1.40%"
"06/08/2022","121.00","119.00","121.00","117.00","92.00K","0.84%"
"06/07/2022","119.99","120.00","120.00","119.80","3.90K","-0.01%"
"06/06/2022","120.00","119.70","120.00","118.15","35.40K","-0.83%"
"06/03/2022","121.00","120.10","121.00","118.50","18.70K","-0.41%"
"06/02/2022","121.50","120.75","121.90","119.94","50.50K","0.45%"
"06/01/2022","120.95","123.00","124.40","120.00","119.10K","-2.46%"
"05/31/2022","124.00","124.40","125.00","122.51","19.50K","0.00%"
"05/30/2022","124.00","124.40","124.40","123.20","5.60K","-0.36%"
"05/27/2022","124.45","123.01","125.95","123.01","22.90K","0.77%"
"05/26/2022","123.50","125.00","125.00","122.00","34.40K","0.16%"
"05/25/2022","123.30","124.95","124.95","122.60","6.90K","-1.36%"
"05/24/2022","125.00","123.00","125.50","123.00","8.40K","-1.18%"
"05/23/2022","126.49","122.75","126.49","120.00","18.60K","1.60%"
"05/20/2022","124.50","124.00","124.95","124.00","1.90K","0.40%"
"05/19/2022","124.00","123.00","125.90","122.70","12.00K","0.81%"
"05/18/2022","123.00","124.00","125.00","123.00","35.50K","-1.59%"
"05/17/2022","124.99","124.00","125.00","123.00","14.10K","-0.01%"
"05/16/2022","125.00","122.01","127.50","122.00","7.40K","0.00%"
"05/13/2022","125.00","124.99","126.48","124.00","7.50K","-0.40%"
"05/12/2022","125.50","125.99","125.99","123.10","14.70K","-1.95%"
"05/11/2022","128.00","125.45","128.50","122.00","46.20K","0.02%"
"05/10/2022","127.98","123.00","128.00","122.00","26.50K","2.38%"
"05/09/2022","125.00","124.00","127.99","123.00","59.10K","-3.03%"
"05/06/2022","128.90","128.90","128.90","124.10","11.00K","3.12%"
"04/28/2022","125.00","125.01","129.40","124.27","24.50K","-3.85%"
"04/27/2022","130.00","124.50","130.00","124.00","19.20K","3.26%"
"04/26/2022","125.90","127.92","127.92","125.00","26.10K","-1.83%"
"04/25/2022","128.25","128.70","128.70","128.00","6.70K","-0.93%"
"04/22/2022","129.45","128.76","129.45","128.05","17.00K","0.35%"
"04/21/2022","129.00","128.51","134.00","128.00","19.70K","-0.77%"
"04/20/2022","130.00","130.00","130.00","128.01","28.90K","0.00%"
"04/19/2022","130.00","131.00","131.00","129.88","50.20K","-0.84%"
"04/18/2022","131.10","133.11","133.25","131.00","22.80K","-1.52%"
"04/15/2022","133.12","132.90","134.50","132.80","46.00K","-5.86%"
"04/14/2022","141.40","140.00","144.40","140.00","125.20K","0.28%"
"04/13/2022","141.00","141.20","144.70","140.50","52.10K","-0.35%"
"04/12/2022","141.50","138.00","141.60","138.00","24.30K","0.71%"
"04/11/2022","140.50","137.50","140.60","135.10","52.80K","3.31%"
"04/08/2022","136.00","141.38","141.38","135.00","39.20K","0.74%"
"04/07/2022","135.00","137.50","140.00","135.00","22.80K","-1.82%"
"04/06/2022","137.50","137.50","138.15","136.60","26.80K","0.36%"
"04/05/2022","137.00","136.00","137.83","135.50","37.20K","0.81%"
"04/04/2022","135.90","133.50","137.90","133.50","22.90K","-1.52%"
"04/01/2022","138.00","136.99","140.01","133.25","81.80K","1.10%"
"03/31/2022","136.50","134.99","137.50","134.99","41.60K","1.86%"
"03/30/2022","134.01","133.55","138.00","133.00","32.20K","-1.03%"
"03/29/2022","135.40","133.85","135.98","133.50","40.00K","2.58%"
"03/28/2022","132.00","131.51","133.10","131.51","25.30K","0.38%"
"03/25/2022","131.50","132.00","132.00","131.00","15.50K","0.00%"
"03/24/2022","131.50","131.25","134.50","130.02","45.60K","-0.38%"
"03/22/2022","132.00","132.41","132.95","131.52","19.50K","-0.74%"
"03/21/2022","132.99","133.00","133.40","131.00","12.20K","-3.28%"
"03/18/2022","137.50","132.00","137.50","130.00","35.50K","2.99%"
"03/17/2022","133.51","135.50","135.60","133.51","14.10K","-0.29%"
"03/16/2022","133.90","132.01","135.45","132.01","17.60K","0.68%"
"03/15/2022","133.00","132.01","133.05","132.01","13.90K","0.00%"
"03/14/2022","133.00","132.80","133.90","132.00","9.80K","0.15%"
"03/11/2022","132.80","131.30","133.38","131.10","1.50K","-0.33%"
"03/10/2022","133.24","132.01","134.00","132.01","36.80K","2.10%"
"03/09/2022","130.50","131.00","132.00","130.00","25.40K","-1.84%"
"03/08/2022","132.95","130.50","132.99","129.50","43.10K","1.64%"
"03/07/2022","130.81","133.50","136.00","130.10","83.20K","-3.86%"
"03/04/2022","136.06","136.90","137.50","135.25","7.30K","-0.69%"
"03/03/2022","137.00","137.99","138.00","135.51","14.10K","0.37%"
"03/02/2022","136.50","136.00","139.00","135.05","92.70K","-0.36%"
"03/01/2022","137.00","137.50","137.50","136.80","16.60K","0.37%"
"02/28/2022","136.50","137.00","140.00","135.61","65.40K","-0.31%"
"02/25/2022","136.93","128.00","136.93","127.75","271.80K","3.73%"
"02/24/2022","132.00","128.05","132.00","125.00","147.50K","0.65%"
"02/23/2022","131.15","132.50","132.50","131.00","5.90K","0.11%"
"02/22/2022","131.00","134.94","134.94","131.00","10.20K","-2.23%"
"02/21/2022","133.99","132.25","133.99","131.05","23.30K","0.14%"
"02/18/2022","133.80","132.50","133.85","131.20","19.60K","0.25%"
"02/17/2022","133.46","133.80","134.00","132.50","13.60K","0.32%"
"02/16/2022","133.04","133.50","134.05","133.00","25.80K","0.03%"
"02/15/2022","133.00","133.49","133.49","132.07","3.10K","-2.13%"
"02/14/2022","135.90","132.00","135.90","130.25","23.50K","2.26%"
"02/11/2022","132.90","133.20","134.00","131.50","16.60K","-0.08%"
"02/10/2022","133.00","137.49","137.49","133.00","96.10K","-2.21%"
"02/09/2022","136.00","137.00","137.99","135.22","41.60K","0.01%"
"02/08/2022","135.98","133.56","136.90","133.56","44.30K","0.50%"
"02/07/2022","135.30","136.98","136.99","135.30","1.70K","-0.81%"
"02/04/2022","136.40","133.25","137.00","133.25","23.00K","0.92%"
"02/03/2022","135.15","135.90","136.50","135.00","18.40K","-0.55%"
"02/02/2022","135.90","135.00","136.98","135.00","5.30K","0.67%"
"02/01/2022","135.00","133.00","137.00","132.99","11.30K","0.75%"
"01/31/2022","134.00","131.60","137.80","131.50","21.50K","1.59%"
"01/28/2022","131.90","130.11","133.00","130.11","3.80K","-0.78%"
"01/27/2022","132.94","133.00","133.90","131.56","5.80K","0.33%"
"01/26/2022","132.50","131.80","132.75","131.50","12.40K","1.15%"
"01/25/2022","131.00","132.95","132.95","131.00","21.10K","-0.74%"
"01/24/2022","131.98","131.24","132.00","131.24","2.60K","0.71%"
"01/21/2022","131.05","132.70","134.00","131.00","28.50K","-1.46%"
"01/20/2022","132.99","129.11","133.00","129.11","22.00K","1.52%"
"01/19/2022","131.00","136.89","136.89","130.51","50.80K","-4.38%"
"01/18/2022","137.00","140.98","141.00","136.06","112.20K","-2.49%"
"01/17/2022","140.50","136.00","142.50","136.00","268.90K","3.31%"
"01/14/2022","136.00","135.51","137.00","133.33","13.50K","-0.73%"
"01/13/2022","137.00","136.50","137.00","136.00","4.90K","0.00%"
"01/12/2022","137.00","136.61","137.41","136.00","73.30K","0.37%"
"01/11/2022","136.50","136.00","137.00","135.00","23.00K","-0.36%"
"01/10/2022","137.00","136.75","137.00","134.50","8.40K","1.47%"
"01/07/2022","135.01","137.30","137.30","135.00","10.60K","-1.09%"
"01/06/2022","136.50","136.50","137.90","136.50","3.60K","-0.62%"
"01/05/2022","137.35","135.50","138.01","135.00","10.00K","-0.47%"
"01/04/2022","138.00","139.30","139.40","137.14","10.70K","0.73%"
"01/03/2022","137.00","134.00","137.96","134.00","19.50K","-0.72%"
"12/31/2021","138.00","134.00","138.00","133.50","52.40K","2.99%"
"12/30/2021","134.00","131.65","134.00","131.65","23.80K","0.77%"
"12/29/2021","132.98","130.06","132.98","130.00","47.40K","0.93%"
"12/28/2021","131.75","131.49","131.98","130.00","14.40K","1.35%"
"12/27/2021","130.00","131.49","131.49","130.00","30.80K","-0.38%"
"12/24/2021","130.50","131.50","131.99","130.15","2.20K","-0.38%"
"12/23/2021","131.00","131.00","132.00","130.80","19.80K","0.77%"
