"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","58.87","58.27","59.79","57.85","2.72M","1.50%"
"12/29/2022","58.00","57.40","59.90","56.55","2.23M","2.93%"
"12/28/2022","56.35","56.99","58.52","56.00","3.85M","2.18%"
"12/27/2022","55.15","56.00","57.30","54.25","1.10M","-0.99%"
"12/26/2022","55.70","55.10","56.88","55.00","1.16M","0.61%"
"12/23/2022","55.36","55.02","57.90","52.80","2.73M","1.02%"
"12/22/2022","54.80","55.28","56.15","53.05","618.89K","-0.56%"
"12/21/2022","55.11","55.75","57.00","55.00","304.26K","-2.04%"
"12/20/2022","56.26","61.00","61.35","56.26","903.17K","-7.01%"
"12/19/2022","60.50","60.50","61.70","60.31","532.49K","-2.42%"
"12/16/2022","62.00","61.95","62.89","60.90","410.32K","1.46%"
"12/15/2022","61.11","63.15","63.40","60.25","1.26M","-3.69%"
"12/14/2022","63.45","63.00","63.84","62.60","307.63K","0.16%"
"12/13/2022","63.35","63.42","64.50","63.00","417.70K","-0.94%"
"12/12/2022","63.95","64.49","65.10","63.35","232.81K","0.44%"
"12/09/2022","63.67","64.01","64.56","63.02","638.51K","-1.07%"
"12/08/2022","64.36","66.70","66.87","63.66","939.07K","-2.91%"
"12/07/2022","66.29","66.25","68.30","65.70","1.83M","0.74%"
"12/06/2022","65.80","66.50","66.50","65.10","590.45K","-0.08%"
"12/05/2022","65.85","68.85","68.85","65.76","762.87K","-3.99%"
"12/02/2022","68.59","70.01","70.65","68.10","384.80K","-2.31%"
"12/01/2022","70.21","71.00","72.05","70.00","810.30K","-0.59%"
"11/30/2022","70.63","69.15","71.98","69.15","1.63M","2.51%"
"11/29/2022","68.90","68.40","69.45","68.11","392.37K","0.00%"
"11/28/2022","68.90","72.47","72.47","68.01","733.07K","-5.55%"
"11/25/2022","72.95","74.00","74.77","72.70","788.74K","-0.83%"
"11/24/2022","73.56","74.25","74.49","73.50","435.23K","-0.59%"
"11/23/2022","74.00","75.00","75.15","74.00","266.18K","-1.31%"
"11/22/2022","74.98","74.97","76.05","74.31","151.42K","0.51%"
"11/21/2022","74.60","75.00","75.00","74.00","139.86K","-0.08%"
"11/18/2022","74.66","75.16","75.98","74.10","145.20K","-1.31%"
"11/17/2022","75.65","77.48","77.95","75.55","410.31K","-1.75%"
"11/16/2022","77.00","77.53","79.00","76.90","557.41K","-0.65%"
"11/15/2022","77.50","76.65","79.45","76.05","1.17M","1.97%"
"11/14/2022","76.00","76.46","76.78","76.00","79.72K","-0.89%"
"11/11/2022","76.68","77.49","77.49","76.00","141.02K","-0.03%"
"11/10/2022","76.70","75.75","77.50","75.30","410.93K","1.72%"
"11/08/2022","75.40","75.00","75.75","74.81","173.56K","0.71%"
"11/07/2022","74.87","74.06","75.48","74.00","96.65K","0.38%"
"11/04/2022","74.59","73.70","75.39","73.70","141.48K","-0.85%"
"11/03/2022","75.23","75.59","76.20","74.55","221.16K","0.57%"
"11/02/2022","74.80","75.55","75.83","72.50","194.53K","-0.28%"
"11/01/2022","75.01","75.50","76.75","74.11","488.06K","0.36%"
"10/31/2022","74.74","74.20","74.95","73.67","161.81K","0.01%"
"10/28/2022","74.73","77.00","77.95","74.40","304.07K","-4.68%"
"10/27/2022","78.40","82.00","82.45","77.50","484.65K","-4.17%"
"10/26/2022","81.81","83.53","83.53","80.05","329.94K","-2.08%"
"10/25/2022","83.55","84.90","84.90","83.53","146.94K","-0.55%"
"10/24/2022","84.01","85.40","85.40","84.00","212.95K","0.43%"
"10/21/2022","83.65","83.76","84.80","82.50","282.72K","-0.06%"
"10/20/2022","83.70","83.90","85.00","83.18","898.15K","0.61%"
"10/19/2022","83.19","82.81","83.44","82.44","1.14M","0.02%"
"10/18/2022","83.18","83.18","83.60","82.89","250.88K","0.36%"
"10/17/2022","82.88","82.48","83.11","82.40","235.37K","-0.05%"
"10/14/2022","82.92","83.20","83.56","82.56","516.45K","-0.19%"
"10/13/2022","83.08","83.20","83.50","82.80","413.27K","0.14%"
"10/12/2022","82.96","83.02","83.74","82.80","663.48K","-0.15%"
"10/11/2022","83.09","83.20","83.60","82.88","369.28K","-0.18%"
"10/10/2022","83.24","81.67","83.80","81.67","315.13K","1.12%"
"10/07/2022","82.32","82.36","83.14","81.61","443.41K","-0.09%"
"10/06/2022","82.39","81.38","82.68","81.38","739.72K","1.17%"
