"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","143.50","140.25","145.88","140.25","1.37M","2.14%"
"12/29/2022","140.50","136.99","141.50","136.10","744.86K","3.45%"
"12/28/2022","135.82","139.88","140.70","135.05","840.49K","-2.53%"
"12/27/2022","139.35","141.89","142.42","138.65","1.08M","-0.68%"
"12/26/2022","140.31","131.01","140.31","131.01","1.64M","7.49%"
"12/23/2022","130.53","131.00","132.98","128.00","1.02M","-1.31%"
"12/22/2022","132.26","124.00","132.26","122.00","2.00M","7.88%"
"12/21/2022","122.60","130.00","132.70","122.60","1.53M","-7.50%"
"12/20/2022","132.54","142.20","143.50","132.54","1.03M","-7.48%"
"12/19/2022","143.25","146.00","146.00","141.06","697.74K","-1.49%"
"12/16/2022","145.41","149.23","149.23","144.00","696.24K","-2.63%"
"12/15/2022","149.34","154.30","154.49","148.16","393.88K","-2.71%"
"12/14/2022","153.50","154.01","155.50","152.50","322.98K","-1.10%"
"12/13/2022","155.20","155.00","158.80","154.25","1.02M","0.84%"
"12/12/2022","153.90","160.00","160.00","153.32","333.98K","-3.21%"
"12/09/2022","159.01","158.00","159.97","157.40","367.36K","0.39%"
"12/08/2022","158.40","162.70","162.70","158.00","331.18K","-1.74%"
"12/07/2022","161.21","160.65","163.12","160.60","665.23K","0.76%"
"12/06/2022","160.00","161.50","163.00","157.02","331.20K","-1.23%"
"12/05/2022","162.00","167.00","167.01","160.26","588.21K","-2.24%"
"12/02/2022","165.71","167.00","167.00","162.10","408.23K","-0.29%"
"12/01/2022","166.20","165.99","169.43","165.51","753.46K","0.13%"
"11/30/2022","165.98","167.80","167.80","165.25","331.56K","-0.74%"
"11/29/2022","167.21","167.00","168.25","166.10","567.92K","0.43%"
"11/28/2022","166.50","167.01","169.50","164.02","796.14K","-2.82%"
"11/25/2022","171.33","173.00","173.00","171.00","1.96M","0.19%"
"11/24/2022","171.01","170.98","172.50","170.11","756.17K","0.49%"
"11/23/2022","170.18","171.90","172.75","170.01","513.47K","-0.78%"
"11/22/2022","171.51","171.00","173.90","169.20","1.31M","0.10%"
"11/21/2022","171.34","172.00","173.00","170.10","442.56K","-0.12%"
"11/18/2022","171.54","169.00","172.10","168.25","1.05M","1.29%"
"11/17/2022","169.35","172.25","172.69","168.52","767.46K","-1.88%"
