"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","176.05","176.89","179.85","175.00","543.36K","-0.14%"
"12/29/2022","176.30","175.95","177.00","173.50","372.42K","1.04%"
"12/28/2022","174.49","180.00","182.00","174.00","467.65K","-3.12%"
"12/27/2022","180.11","184.47","184.47","180.01","351.20K","-2.38%"
"12/26/2022","184.50","173.90","184.89","173.00","925.82K","5.99%"
"12/23/2022","174.08","175.00","176.00","171.20","440.02K","-2.27%"
"12/22/2022","178.13","170.01","181.00","170.01","1.34M","4.78%"
"12/21/2022","170.00","176.00","178.50","167.50","637.97K","-4.15%"
"12/20/2022","177.36","192.96","192.96","177.36","839.15K","-7.26%"
"12/19/2022","191.24","195.88","195.88","190.22","140.60K","-1.89%"
"12/16/2022","194.92","194.00","197.80","190.50","565.94K","0.99%"
"12/15/2022","193.00","196.00","196.00","190.02","500.36K","-1.53%"
"12/14/2022","196.00","196.28","198.50","195.05","106.30K","-0.51%"
"12/13/2022","197.01","196.10","201.89","196.10","275.78K","0.41%"
"12/12/2022","196.20","199.50","199.70","195.40","191.16K","-1.35%"
"12/09/2022","198.88","198.50","200.00","198.40","140.38K","-0.56%"
"12/08/2022","199.99","203.50","203.50","199.00","98.06K","-1.00%"
"12/07/2022","202.00","203.10","205.50","201.70","305.17K","0.00%"
"12/06/2022","201.99","201.00","202.50","197.80","190.61K","0.50%"
"12/05/2022","200.98","206.00","206.00","200.40","176.18K","-1.96%"
"12/02/2022","205.00","204.00","205.88","198.90","327.05K","0.50%"
"12/01/2022","203.99","203.95","206.30","203.20","160.19K","0.73%"
"11/30/2022","202.51","203.58","204.88","202.50","82.27K","-0.56%"
"11/29/2022","203.65","204.45","206.49","202.00","227.40K","0.81%"
"11/28/2022","202.02","208.89","208.89","202.01","715.69K","-5.34%"
"11/25/2022","213.41","215.75","217.44","213.00","591.09K","-0.04%"
"11/24/2022","213.50","213.05","215.45","213.00","255.56K","0.23%"
"11/23/2022","213.00","214.99","215.50","212.90","131.04K","-0.48%"
"11/22/2022","214.02","214.00","216.25","212.70","376.77K","-0.11%"
"11/21/2022","214.25","215.50","216.89","213.20","92.54K","-0.47%"
"11/18/2022","215.26","215.50","217.50","214.20","310.86K","0.54%"
"11/17/2022","214.10","220.25","221.00","214.10","432.80K","-3.12%"
"11/16/2022","221.00","223.15","224.99","220.50","254.18K","-1.12%"
"11/15/2022","223.50","220.60","224.97","220.50","531.92K","0.86%"
"11/14/2022","221.59","222.61","223.96","219.00","674.35K","-1.86%"
"11/11/2022","225.79","218.49","227.70","218.49","1.68M","3.65%"
"11/10/2022","217.84","215.00","218.51","215.00","499.41K","1.79%"
"11/08/2022","214.00","213.00","218.49","212.30","484.43K","1.41%"
"11/07/2022","211.02","212.99","215.01","211.00","205.89K","0.18%"
"11/04/2022","210.65","211.00","213.00","208.00","299.88K","-1.85%"
"11/03/2022","214.61","215.00","217.30","213.10","212.36K","-0.55%"
"11/02/2022","215.79","211.50","219.80","210.00","752.47K","2.12%"
"11/01/2022","211.30","205.99","212.50","204.20","396.09K","3.65%"
