"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","12.97","12.85","13.19","12.85","3.27M","1.09%"
"12/29/2022","12.83","13.05","13.15","12.74","7.53M","-1.23%"
"12/28/2022","12.99","13.13","13.47","12.92","8.32M","0.00%"
"12/27/2022","12.99","13.35","13.38","12.96","3.48M","-2.99%"
"12/26/2022","13.39","12.74","13.43","12.70","6.34M","6.02%"
"12/23/2022","12.63","12.99","13.10","12.47","6.11M","-4.17%"
"12/22/2022","13.18","12.82","13.58","12.65","13.02M","1.70%"
"12/21/2022","12.96","13.71","14.00","12.96","5.05M","-7.49%"
"12/20/2022","14.01","15.07","15.15","14.01","5.02M","-7.22%"
"12/19/2022","15.10","15.44","15.44","15.00","1.61M","-1.69%"
"12/16/2022","15.36","15.40","15.48","15.14","1.37M","0.39%"
"12/15/2022","15.30","15.68","15.70","15.15","2.05M","-2.42%"
"12/14/2022","15.68","15.79","16.10","15.45","1.69M","0.13%"
"12/13/2022","15.66","15.50","15.92","15.41","2.95M","1.56%"
"12/12/2022","15.42","15.63","15.79","15.37","1.18M","-1.34%"
"12/09/2022","15.63","15.99","15.99","15.50","1.06M","-2.19%"
"12/08/2022","15.98","16.08","16.18","15.85","1.10M","-1.36%"
"12/07/2022","16.20","15.84","16.25","15.76","2.52M","2.53%"
"12/06/2022","15.80","15.98","15.98","15.48","860.58K","-0.06%"
"12/05/2022","15.81","16.20","16.22","15.76","703.03K","-1.80%"
"12/02/2022","16.10","16.25","16.37","15.90","1.71M","-1.23%"
"12/01/2022","16.30","16.35","16.56","16.25","1.69M","0.31%"
"11/30/2022","16.25","16.50","16.60","16.21","2.10M","-1.52%"
"11/29/2022","16.50","16.52","16.64","16.35","1.21M","0.61%"
"11/28/2022","16.40","16.75","16.75","16.30","4.01M","-3.59%"
"11/25/2022","17.01","17.50","17.50","16.96","5.59M","-1.62%"
"11/24/2022","17.29","17.29","17.40","17.20","1.79M","0.52%"
"11/23/2022","17.20","17.28","17.39","17.12","875.07K","-0.46%"
"11/22/2022","17.28","17.30","17.38","17.12","1.91M","0.76%"
"11/21/2022","17.15","17.35","17.48","17.15","2.58M","-0.52%"
"11/18/2022","17.24","17.15","17.45","17.10","3.34M","0.52%"
"11/17/2022","17.15","17.45","17.53","17.15","3.44M","-2.11%"
"11/16/2022","17.52","17.55","17.70","17.36","2.26M","0.17%"
"11/15/2022","17.49","17.40","17.78","17.34","5.48M","0.52%"
"11/14/2022","17.40","17.50","17.64","17.20","4.69M","-3.01%"
"11/11/2022","17.94","17.92","18.12","17.80","14.86M","1.18%"
"11/10/2022","17.73","17.23","17.95","17.23","8.82M","3.26%"
"11/08/2022","17.17","17.10","17.55","17.02","7.15M","1.18%"
"11/07/2022","16.97","16.90","17.15","16.90","1.74M","1.37%"
"11/04/2022","16.74","16.90","16.95","16.58","4.77M","-2.22%"
"11/03/2022","17.12","16.98","17.28","16.96","3.44M","0.59%"
"11/02/2022","17.02","17.24","17.29","16.86","5.25M","-0.70%"
"11/01/2022","17.14","16.55","17.22","16.50","7.17M","4.32%"
"10/31/2022","16.43","16.35","16.53","16.25","1.77M","1.05%"
"10/28/2022","16.26","16.90","16.90","16.16","7.04M","-3.79%"
"10/27/2022","16.90","16.86","17.10","16.45","6.67M","0.72%"
"10/26/2022","16.78","17.21","17.21","16.70","6.48M","-4.39%"
"10/25/2022","17.55","17.90","18.00","17.50","4.95M","-1.85%"
"10/24/2022","17.88","18.21","18.31","17.85","9.54M","0.39%"
"10/21/2022","17.81","17.60","18.13","17.30","21.05M","2.06%"
"10/20/2022","17.45","17.40","17.66","17.25","7.06M","0.87%"
"10/19/2022","17.30","16.98","17.38","16.95","3.92M","1.59%"
"10/18/2022","17.03","17.25","17.46","16.92","6.59M","-1.16%"
"10/17/2022","17.23","17.50","17.55","17.16","2.08M","-2.21%"
"10/14/2022","17.62","18.08","18.11","17.56","3.99M","-2.11%"
"10/13/2022","18.00","17.97","18.14","17.56","9.60M","1.29%"
"10/12/2022","17.77","18.19","18.24","17.73","9.52M","-2.04%"
"10/11/2022","18.14","17.80","18.46","17.70","32.41M","3.01%"
"10/10/2022","17.61","17.20","17.64","17.13","6.44M","2.21%"
"10/07/2022","17.23","17.01","17.49","17.00","5.04M","-1.26%"
"10/06/2022","17.45","17.05","17.65","17.00","12.69M","2.77%"
"10/05/2022","16.98","16.96","17.20","16.90","3.32M","0.06%"
"10/04/2022","16.97","16.93","17.24","16.85","4.65M","0.41%"
"10/03/2022","16.90","17.17","17.35","16.90","4.02M","-1.86%"
"09/30/2022","17.22","17.40","17.54","17.02","4.10M","-0.58%"
"09/29/2022","17.32","17.65","17.84","17.31","3.36M","-1.14%"
"09/28/2022","17.52","17.75","18.08","17.51","9.33M","-1.02%"
"09/27/2022","17.70","17.44","17.83","17.40","6.81M","1.78%"
"09/26/2022","17.39","16.18","17.39","16.18","8.56M","7.48%"
"09/23/2022","16.18","16.55","16.75","16.09","2.91M","-2.53%"
"09/22/2022","16.60","16.71","16.88","16.11","7.70M","-0.60%"
"09/21/2022","16.70","17.28","17.28","16.50","2.38M","-2.91%"
"09/20/2022","17.20","17.38","17.40","17.01","2.72M","0.06%"
"09/19/2022","17.19","17.50","17.67","17.10","2.20M","-1.77%"
"09/16/2022","17.50","17.51","17.65","17.26","3.09M","0.06%"
"09/15/2022","17.49","17.64","17.99","17.40","5.19M","-0.40%"
"09/14/2022","17.56","17.63","17.63","17.14","4.52M","-0.62%"
"09/13/2022","17.67","17.80","17.87","17.58","2.22M","-0.84%"
"09/12/2022","17.82","17.90","17.90","17.66","2.44M","0.22%"
"09/09/2022","17.78","17.90","18.10","17.72","5.10M","-1.11%"
"09/08/2022","17.98","17.95","18.13","17.72","2.41M","0.33%"
"09/07/2022","17.92","18.00","18.27","17.82","6.24M","0.28%"
"09/06/2022","17.87","17.85","18.28","17.62","8.93M","0.11%"
"09/05/2022","17.85","18.82","18.99","17.70","12.79M","-5.15%"
"09/02/2022","18.82","19.10","19.33","18.77","6.49M","-1.47%"
"09/01/2022","19.10","19.05","19.23","18.89","11.11M","1.43%"
"08/31/2022","18.83","18.86","19.10","18.70","5.37M","-0.37%"
"08/30/2022","18.90","19.55","19.58","18.80","10.94M","-1.56%"
"08/29/2022","19.20","19.10","19.20","18.40","10.34M","0.63%"
"08/26/2022","19.08","18.81","19.40","18.76","16.79M","1.65%"
"08/25/2022","18.77","19.16","19.16","18.71","7.37M","-1.93%"
"08/24/2022","19.14","19.35","19.39","18.85","10.44M","-0.31%"
"08/23/2022","19.20","19.50","19.65","19.15","15.83M","0.37%"
"08/22/2022","19.13","19.50","19.69","19.00","17.53M","-3.53%"
"08/19/2022","19.83","19.50","19.95","19.30","19.46M","0.10%"
"08/18/2022","19.81","19.25","20.39","19.25","41.24M","4.21%"
"08/17/2022","19.01","19.15","19.16","18.65","11.09M","0.58%"
"08/16/2022","18.90","19.90","19.90","18.88","29.37M","-4.50%"
"08/15/2022","19.79","19.75","20.00","19.36","38.75M","1.70%"
"08/12/2022","19.46","18.16","19.46","18.12","27.00M","7.40%"
"08/11/2022","18.12","17.96","18.40","17.80","11.96M","0.28%"
"08/10/2022","18.07","18.40","18.64","17.80","27.68M","-0.17%"
"08/05/2022","18.10","16.84","18.10","16.62","29.94M","7.48%"
"08/04/2022","16.84","17.20","17.21","16.70","11.42M","-1.23%"
"08/03/2022","17.05","16.25","17.10","16.24","20.25M","5.57%"
"08/02/2022","16.15","15.12","16.24","14.85","13.18M","5.76%"
"08/01/2022","15.27","15.49","15.64","15.25","2.45M","-1.23%"
"07/29/2022","15.46","15.99","16.06","15.30","5.40M","-2.03%"
"07/28/2022","15.78","15.56","16.29","15.56","8.06M","1.02%"
"07/27/2022","15.62","15.86","16.06","15.55","3.63M","-1.33%"
"07/26/2022","15.83","15.55","16.08","15.40","6.41M","1.02%"
"07/25/2022","15.67","15.31","15.74","15.12","2.73M","1.03%"
"07/22/2022","15.51","14.90","15.64","14.75","6.65M","4.09%"
"07/21/2022","14.90","16.02","16.26","14.88","5.68M","-7.17%"
"07/20/2022","16.05","16.15","16.35","15.91","5.23M","-0.19%"
"07/19/2022","16.08","16.85","16.90","15.85","5.76M","-3.31%"
"07/18/2022","16.63","16.95","17.04","16.25","8.16M","-4.21%"
"07/15/2022","17.36","17.50","17.74","17.30","5.22M","-1.75%"
"07/14/2022","17.67","18.00","18.17","17.64","7.26M","-1.56%"
"07/13/2022","17.95","17.08","18.10","16.91","6.56M","4.85%"
"07/07/2022","17.12","17.20","17.29","16.82","5.08M","-0.41%"
"07/06/2022","17.19","17.26","17.40","17.15","2.65M","-0.12%"
"07/05/2022","17.21","16.92","17.23","16.92","3.74M","1.53%"
"07/04/2022","16.95","17.36","17.45","16.85","4.39M","-2.98%"
"07/01/2022","17.47","17.84","18.14","17.32","7.30M","-2.18%"
"06/30/2022","17.86","18.05","18.18","17.76","8.06M","-1.87%"
"06/29/2022","18.20","18.35","18.36","17.90","4.21M","0.11%"
"06/28/2022","18.18","18.50","18.67","18.10","9.37M","-1.73%"
"06/27/2022","18.50","18.28","18.64","18.15","13.32M","2.21%"
"06/24/2022","18.10","19.61","19.70","18.08","25.30M","-7.42%"
"06/23/2022","19.55","19.18","20.25","19.07","29.34M","2.84%"
"06/22/2022","19.01","19.30","19.40","18.67","23.87M","0.00%"
"06/21/2022","19.01","17.80","19.01","17.66","20.65M","7.71%"
"06/20/2022","17.65","18.20","18.30","17.62","11.82M","-1.45%"
"06/17/2022","17.91","17.40","18.15","17.26","17.11M","3.23%"
"06/16/2022","17.35","17.31","17.54","17.20","6.50M","0.81%"
"06/15/2022","17.21","17.13","17.59","17.06","8.92M","0.35%"
"06/14/2022","17.15","16.80","17.25","16.71","5.80M","1.78%"
"06/13/2022","16.85","17.30","17.35","16.48","6.21M","-2.03%"
"06/10/2022","17.20","17.25","17.30","17.10","2.01M","-0.29%"
"06/09/2022","17.25","17.10","17.45","17.02","7.56M","0.88%"
"06/08/2022","17.10","17.10","17.29","16.90","6.35M","0.41%"
"06/07/2022","17.03","17.54","17.67","16.85","13.41M","-2.80%"
"06/06/2022","17.52","17.26","17.70","16.81","16.29M","0.86%"
"06/03/2022","17.37","18.24","18.30","17.15","21.76M","-4.03%"
"06/02/2022","18.10","17.85","18.10","17.50","14.99M","1.51%"
"06/01/2022","17.83","18.07","18.20","17.52","10.22M","-1.49%"
"05/31/2022","18.10","17.90","18.52","17.85","21.12M","0.84%"
