"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","5.80","5.94","5.95","5.79","1.17M","-1.69%"
"12/29/2022","5.90","5.85","5.98","5.75","1.25M","1.37%"
"12/28/2022","5.82","5.92","5.94","5.77","2.34M","-3.00%"
"12/27/2022","6.00","6.04","6.06","5.85","3.77M","0.00%"
"12/26/2022","6.00","5.80","6.02","5.71","4.34M","5.63%"
"12/23/2022","5.68","5.70","5.78","5.60","980.50K","-1.22%"
"12/22/2022","5.75","5.70","5.86","5.60","8.29M","2.50%"
"12/21/2022","5.61","5.65","5.77","5.48","11.88M","-1.41%"
"12/20/2022","5.69","5.76","5.80","5.55","4.79M","-1.90%"
"12/19/2022","5.80","5.75","5.83","5.73","820.00K","-0.34%"
"12/16/2022","5.82","5.82","6.00","5.77","2.07M","-3.00%"
"12/15/2022","6.00","5.93","6.00","5.72","5.82M","0.00%"
"12/14/2022","6.00","6.00","6.05","5.92","2.60M","-0.17%"
"12/13/2022","6.01","6.00","6.06","5.87","2.82M","0.00%"
"12/12/2022","6.01","6.19","6.19","5.90","2.25M","-2.59%"
"12/09/2022","6.17","6.10","6.23","5.97","11.42M","1.48%"
"12/08/2022","6.08","5.59","6.09","5.45","23.69M","9.75%"
"12/07/2022","5.54","5.54","5.59","5.47","2.72M","0.73%"
"12/06/2022","5.50","5.55","5.65","5.43","2.59M","-1.61%"
"12/05/2022","5.59","5.69","5.72","5.57","1.01M","-1.41%"
"12/02/2022","5.67","5.80","5.85","5.65","1.33M","-1.90%"
"12/01/2022","5.78","6.07","6.07","5.76","1.74M","-1.20%"
"11/30/2022","5.85","5.95","5.98","5.73","2.81M","0.34%"
"11/29/2022","5.83","6.14","6.14","5.82","2.28M","0.52%"
"11/28/2022","5.80","5.85","6.12","5.79","7.70M","-5.38%"
"11/25/2022","6.13","5.72","6.19","5.68","19.31M","8.11%"
"11/24/2022","5.67","5.77","5.77","5.66","432.00K","-0.53%"
"11/23/2022","5.70","5.78","5.78","5.68","360.00K","0.88%"
"11/22/2022","5.65","5.78","5.87","5.60","1.19M","-0.35%"
"11/21/2022","5.67","5.65","5.89","5.59","608.00K","0.89%"
"11/18/2022","5.62","5.62","5.65","5.58","1.11M","-0.53%"
"11/17/2022","5.65","5.70","5.74","5.64","2.53M","-1.40%"
"11/16/2022","5.73","5.71","5.78","5.67","702.00K","-0.35%"
"11/15/2022","5.75","5.76","5.84","5.69","1.17M","0.00%"
"11/14/2022","5.75","5.77","5.79","5.74","632.50K","-1.20%"
"11/11/2022","5.82","5.88","5.89","5.77","1.60M","-0.85%"
"11/10/2022","5.87","5.85","5.90","5.81","1.46M","1.21%"
"11/08/2022","5.80","5.67","5.85","5.53","7.33M","5.30%"
"11/07/2022","5.51","5.53","5.60","5.48","9.22M","0.15%"
"11/04/2022","5.50","5.50","5.64","5.44","3.67M","-2.22%"
"11/03/2022","5.62","5.46","5.67","5.41","8.32M","4.33%"
"11/02/2022","5.39","5.46","5.46","5.38","2.16M","-0.77%"
"11/01/2022","5.43","5.42","5.46","5.37","2.86M","1.24%"
"10/31/2022","5.37","5.40","5.46","5.32","3.40M","1.42%"
"10/28/2022","5.29","5.50","5.54","5.27","4.62M","-4.22%"
"10/27/2022","5.52","5.62","5.73","5.48","8.23M","-1.49%"
"10/26/2022","5.61","5.30","5.75","5.17","13.97M","5.16%"
"10/25/2022","5.33","5.42","5.49","5.32","2.31M","-1.54%"
"10/24/2022","5.42","5.50","5.54","5.37","2.27M","-0.31%"
"10/21/2022","5.43","5.54","5.54","5.37","3.26M","-1.95%"
"10/20/2022","5.54","5.44","5.62","5.42","5.89M","2.15%"
"10/19/2022","5.42","5.37","5.52","5.33","2.91M","2.36%"
"10/18/2022","5.30","5.30","5.58","5.30","5.21M","-0.47%"
"10/17/2022","5.32","5.25","5.47","5.25","5.10M","1.59%"
"10/14/2022","5.24","5.25","5.29","5.22","412.20K","-0.32%"
"10/13/2022","5.26","5.36","5.36","5.21","1.22M","-0.32%"
"10/12/2022","5.27","5.27","5.33","5.21","2.06M","-0.47%"
"10/11/2022","5.30","5.39","5.39","5.26","1.80M","-0.62%"
"10/10/2022","5.33","5.37","5.38","5.29","1.03M","0.79%"
"10/07/2022","5.29","5.42","5.45","5.28","2.24M","-1.55%"
"10/06/2022","5.37","5.37","5.53","5.36","5.32M","1.10%"
"10/05/2022","5.32","5.33","5.42","5.30","1.83M","0.31%"
"10/04/2022","5.30","5.31","5.42","5.29","1.88M","-0.47%"
"10/03/2022","5.32","5.40","5.40","5.26","512.40K","0.79%"
"09/30/2022","5.28","5.33","5.37","5.23","1.91M","-1.09%"
"09/29/2022","5.34","5.44","5.44","5.32","1.04M","-1.38%"
"09/28/2022","5.42","5.30","5.58","5.29","4.67M","0.78%"
"09/27/2022","5.37","5.39","5.42","5.30","1.94M","0.00%"
"09/26/2022","5.37","5.29","5.43","5.24","1.72M","2.38%"
"09/23/2022","5.25","5.29","5.39","5.22","2.93M","-0.47%"
"09/22/2022","5.27","5.34","5.46","5.17","2.90M","-1.40%"
"09/21/2022","5.35","5.54","5.54","5.29","2.97M","-2.58%"
"09/20/2022","5.49","5.67","5.67","5.46","2.96M","-1.49%"
"09/19/2022","5.57","5.97","6.02","5.50","11.44M","-5.77%"
"09/16/2022","5.92","5.71","6.07","5.67","10.41M","4.11%"
"09/15/2022","5.68","5.61","5.78","5.57","5.27M","1.64%"
"09/14/2022","5.59","5.58","5.62","5.54","517.20K","0.15%"
"09/13/2022","5.58","5.59","5.68","5.57","1.39M","0.75%"
"09/12/2022","5.54","5.69","5.69","5.48","1.84M","-0.75%"
"09/09/2022","5.58","5.67","5.81","5.58","1.18M","-0.30%"
"09/08/2022","5.60","5.61","5.70","5.58","1.31M","-0.44%"
"09/07/2022","5.62","5.67","5.71","5.58","1.22M","-0.59%"
"09/06/2022","5.66","5.70","5.71","5.58","1.05M","0.74%"
"09/05/2022","5.62","5.68","5.79","5.60","710.40K","-1.46%"
"09/02/2022","5.70","5.73","5.77","5.67","410.40K","-0.87%"
"09/01/2022","5.75","5.79","5.85","5.72","1.35M","-0.72%"
"08/31/2022","5.79","5.79","5.87","5.72","1.26M","1.16%"
"08/30/2022","5.72","5.94","6.00","5.72","2.30M","-1.86%"
"08/29/2022","5.83","5.77","5.83","5.58","2.15M","1.16%"
"08/26/2022","5.77","5.87","5.94","5.73","2.83M","-2.26%"
"08/25/2022","5.90","5.93","5.93","5.80","2.23M","0.28%"
"08/24/2022","5.88","5.96","6.02","5.88","2.43M","-0.98%"
"08/23/2022","5.94","5.99","6.08","5.85","4.11M","0.14%"
"08/22/2022","5.93","6.00","6.00","5.86","1.38M","-1.52%"
"08/19/2022","6.02","6.08","6.11","6.01","3.69M","0.42%"
"08/18/2022","6.00","6.01","6.18","5.98","7.38M","-0.41%"
"08/17/2022","6.02","6.06","6.06","5.92","3.95M","0.42%"
"08/16/2022","6.00","6.16","6.29","5.97","8.58M","-1.37%"
"08/15/2022","6.08","6.00","6.17","5.94","5.83M","1.39%"
"08/12/2022","6.00","5.86","6.04","5.86","3.69M","1.98%"
