"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","85.84","86.10","87.50","85.07","563.43K","-0.26%"
"12/29/2022","86.06","86.88","87.17","85.13","389.04K","-0.14%"
"12/28/2022","86.18","89.45","89.50","85.00","608.78K","-2.51%"
"12/27/2022","88.40","86.45","90.50","85.22","2.44M","3.39%"
"12/26/2022","85.50","82.21","86.00","82.21","672.84K","3.12%"
"12/23/2022","82.91","84.50","85.00","81.05","724.23K","-2.37%"
"12/22/2022","84.92","83.50","86.98","80.60","1.60M","2.08%"
"12/21/2022","83.19","86.05","89.84","83.19","1.87M","-7.49%"
"12/20/2022","89.93","97.22","97.74","89.93","1.74M","-7.38%"
"12/19/2022","97.10","97.84","99.88","97.00","487.35K","-2.90%"
"12/16/2022","100.00","101.00","101.60","99.05","670.87K","-0.74%"
"12/15/2022","100.75","104.40","104.50","100.30","625.42K","-3.50%"
"12/14/2022","104.40","104.02","105.44","104.00","392.03K","-0.10%"
"12/13/2022","104.50","105.99","105.99","104.45","299.82K","-0.48%"
"12/12/2022","105.00","106.99","106.99","104.51","360.61K","-0.62%"
"12/09/2022","105.66","105.06","106.30","104.75","337.35K","0.25%"
"12/08/2022","105.40","107.77","107.77","104.85","499.34K","-1.59%"
"12/07/2022","107.10","107.39","108.50","106.66","1.26M","0.05%"
"12/06/2022","107.05","105.00","107.25","103.25","621.49K","2.68%"
"12/05/2022","104.26","106.20","106.75","103.05","740.85K","-1.83%"
"12/02/2022","106.20","108.03","108.33","102.70","1.19M","-1.71%"
"12/01/2022","108.05","108.40","109.25","107.77","517.05K","0.06%"
"11/30/2022","107.99","109.60","109.60","107.62","695.83K","-0.92%"
"11/29/2022","108.99","107.00","109.77","106.50","859.87K","1.58%"
"11/28/2022","107.30","110.00","110.73","105.12","1.67M","-5.02%"
"11/25/2022","112.97","114.50","115.50","112.60","990.40K","-0.51%"
"11/24/2022","113.55","113.49","114.75","113.00","1.18M","0.05%"
"11/23/2022","113.49","114.50","114.98","113.00","952.03K","-0.44%"
"11/22/2022","113.99","114.00","115.79","113.81","1.69M","0.69%"
"11/21/2022","113.21","113.00","114.30","111.20","1.57M","0.55%"
"11/18/2022","112.59","115.00","115.40","112.13","1.31M","-1.93%"
"11/17/2022","114.80","115.30","118.55","114.65","3.08M","-0.30%"
"11/16/2022","115.15","114.50","116.64","113.50","1.92M","0.79%"
"11/15/2022","114.25","119.00","119.00","114.01","2.68M","-3.34%"
"11/14/2022","118.20","119.45","119.75","117.14","4.17M","0.24%"
"11/11/2022","117.92","119.45","120.80","117.40","3.17M","-0.07%"
"11/10/2022","118.00","113.97","118.90","113.97","5.35M","3.69%"
"11/08/2022","113.80","115.49","115.86","113.05","2.54M","-1.21%"
"11/07/2022","115.19","113.46","118.35","113.02","6.62M","4.47%"
"11/04/2022","110.26","111.00","112.58","109.51","2.10M","-2.39%"
"11/03/2022","112.96","107.74","114.33","106.50","4.38M","5.42%"
"11/02/2022","107.15","110.99","111.98","106.20","3.51M","-2.14%"
"11/01/2022","109.49","101.98","109.49","101.98","2.51M","7.54%"
"10/31/2022","101.81","99.90","102.30","99.90","743.73K","0.76%"
"10/28/2022","101.04","104.95","105.30","100.01","1.44M","-3.13%"
"10/27/2022","104.30","104.00","106.75","100.25","3.66M","1.14%"
"10/26/2022","103.12","109.01","110.39","103.12","3.09M","-7.60%"
"10/25/2022","111.60","120.19","120.19","111.34","2.89M","-7.08%"
"10/24/2022","120.10","120.31","122.19","119.51","3.09M","0.93%"
"10/21/2022","118.99","121.80","122.20","117.12","2.03M","-1.82%"
"10/20/2022","121.20","121.00","122.15","117.02","2.60M","0.58%"
"10/19/2022","120.50","122.55","122.97","119.90","2.16M","-0.62%"
"10/18/2022","121.25","119.80","122.70","119.15","5.00M","2.71%"
"10/17/2022","118.05","117.40","120.75","116.48","4.32M","0.00%"
"10/14/2022","118.05","115.89","120.39","111.85","6.90M","2.56%"
"10/13/2022","115.10","112.42","115.10","107.11","8.07M","7.50%"
"10/12/2022","107.07","100.00","107.07","99.00","2.34M","7.66%"
"10/11/2022","99.45","101.50","101.80","99.02","654.77K","-1.92%"
"10/10/2022","101.40","100.55","102.00","100.55","793.63K","0.94%"
"10/07/2022","100.46","101.00","102.70","100.10","919.52K","-1.11%"
"10/06/2022","101.59","103.10","103.88","101.30","2.00M","-0.60%"
"10/05/2022","102.20","99.60","102.50","99.60","2.26M","3.24%"
"10/04/2022","98.99","100.10","101.11","98.70","1.07M","-0.41%"
"10/03/2022","99.40","96.70","100.77","96.70","2.15M","2.90%"
"09/30/2022","96.60","97.50","98.71","96.12","883.70K","-1.18%"
"09/29/2022","97.75","98.45","98.95","97.00","522.94K","-0.31%"
"09/28/2022","98.05","99.30","99.95","98.05","809.95K","-1.24%"
"09/27/2022","99.28","101.23","101.25","98.40","2.07M","-2.19%"
"09/26/2022","101.50","98.10","101.85","97.50","1.48M","4.27%"
"09/23/2022","97.34","99.59","101.25","96.50","1.66M","-1.78%"
"09/22/2022","99.10","97.60","99.19","95.11","1.10M","1.59%"
"09/21/2022","97.55","99.05","99.88","96.80","598.50K","-1.56%"
"09/20/2022","99.10","101.30","101.50","98.60","1.07M","-1.39%"
"09/19/2022","100.50","102.98","103.80","100.15","1.31M","-1.78%"
"09/16/2022","102.32","102.05","104.75","101.00","3.06M","0.09%"
"09/15/2022","102.23","102.20","105.38","101.50","4.36M","0.85%"
"09/14/2022","101.37","98.99","101.99","98.15","1.04M","1.74%"
"09/13/2022","99.64","99.95","100.84","99.20","453.46K","0.34%"
"09/12/2022","99.30","100.61","102.60","98.80","1.39M","-1.67%"
"09/09/2022","100.99","99.10","102.30","99.10","2.24M","2.27%"
"09/08/2022","98.75","99.01","99.70","98.00","682.95K","0.66%"
"09/07/2022","98.10","99.25","100.45","97.96","694.34K","-0.91%"
"09/06/2022","99.00","98.90","99.49","97.49","701.25K","0.92%"
"09/05/2022","98.10","101.19","101.50","97.82","794.08K","-3.05%"
"09/02/2022","101.19","103.00","103.20","100.80","699.58K","-1.66%"
"09/01/2022","102.90","103.00","104.45","102.25","1.94M","1.68%"
"08/31/2022","101.20","99.51","102.00","99.50","1.07M","1.50%"
"08/30/2022","99.70","104.50","104.88","99.50","1.82M","-2.68%"
"08/29/2022","102.45","101.50","102.80","98.70","1.42M","0.85%"
"08/26/2022","101.59","104.00","104.00","101.30","738.74K","-1.80%"
"08/25/2022","103.45","103.66","104.38","102.15","1.29M","-0.05%"
"08/24/2022","103.50","103.65","105.50","103.00","2.22M","1.02%"
"08/23/2022","102.45","101.15","103.75","100.60","2.06M","2.86%"
"08/22/2022","99.60","101.30","101.81","99.10","870.30K","-2.71%"
"08/19/2022","102.37","102.98","103.69","101.50","884.83K","-0.22%"
"08/18/2022","102.60","104.50","105.69","102.01","1.60M","-1.25%"
"08/17/2022","103.90","101.00","105.29","99.99","2.50M","3.79%"
"08/16/2022","100.11","107.24","107.63","100.01","2.53M","-6.70%"
"08/15/2022","107.30","101.00","107.30","99.82","3.89M","7.49%"
"08/12/2022","99.82","98.00","100.97","97.75","1.55M","1.60%"
"08/11/2022","98.25","99.45","99.67","97.71","800.39K","-1.11%"
"08/10/2022","99.35","98.00","101.79","97.00","2.45M","2.50%"
"08/05/2022","96.93","95.27","97.56","95.01","748.24K","0.50%"
"08/04/2022","96.45","97.00","98.60","96.11","1.45M","-0.25%"
"08/03/2022","96.69","95.00","97.90","94.30","1.23M","2.53%"
"08/02/2022","94.30","94.50","96.31","91.55","1.88M","-0.62%"
"08/01/2022","94.89","99.00","99.20","94.68","1.32M","-3.94%"
"07/29/2022","98.78","94.49","99.80","93.14","3.95M","3.98%"
"07/28/2022","95.00","91.31","97.81","91.31","4.21M","4.80%"
"07/27/2022","90.65","92.36","92.36","90.25","599.57K","-0.22%"
"07/26/2022","90.85","88.99","92.20","88.99","796.87K","0.25%"
"07/25/2022","90.62","91.30","91.30","88.50","531.64K","-1.19%"
"07/22/2022","91.71","87.30","93.00","86.00","1.41M","4.82%"
"07/21/2022","87.49","90.41","90.97","86.10","904.58K","-3.40%"
"07/20/2022","90.57","89.61","91.40","88.10","1.27M","0.62%"
"07/19/2022","90.01","95.60","96.48","90.00","1.03M","-5.75%"
"07/18/2022","95.50","98.00","101.84","95.20","1.26M","-6.33%"
"07/15/2022","101.95","102.99","104.25","101.60","1.39M","-0.49%"
"07/14/2022","102.45","104.48","104.66","101.70","3.04M","-1.00%"
"07/13/2022","103.49","94.80","103.49","94.80","1.80M","7.24%"
"07/07/2022","96.50","96.99","97.35","95.52","288.22K","-0.46%"
"07/06/2022","96.95","97.50","98.49","96.80","261.87K","-1.06%"
"07/05/2022","97.99","98.70","99.49","96.60","279.70K","-0.01%"
"07/04/2022","98.00","99.90","99.90","96.76","429.22K","-2.01%"
"07/01/2022","100.01","99.62","101.00","98.51","582.73K","0.36%"
"06/30/2022","99.65","102.20","102.45","98.65","1.18M","-2.05%"
"06/29/2022","101.74","102.50","103.40","101.25","1.97M","-0.64%"
"06/28/2022","102.40","106.00","106.00","102.10","1.43M","-1.66%"
"06/27/2022","104.13","98.50","104.95","98.50","2.30M","6.35%"
"06/24/2022","97.91","101.89","102.78","94.25","2.18M","-4.24%"
"06/23/2022","102.25","99.30","104.87","98.51","2.68M","3.49%"
"06/22/2022","98.80","98.50","101.45","97.80","2.38M","1.26%"
"06/21/2022","97.57","91.98","97.57","91.44","1.58M","7.69%"
"06/20/2022","90.60","92.10","92.89","90.60","606.94K","-2.01%"
"06/17/2022","92.46","89.70","93.65","89.70","929.27K","1.96%"
"06/16/2022","90.68","91.24","91.85","89.10","333.96K","0.42%"
"06/15/2022","90.30","90.75","92.00","90.11","308.64K","-0.22%"
"06/14/2022","90.50","90.01","91.50","89.10","245.60K","-0.22%"
