"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","6.19","6.08","6.19","6.00","1.63M","2.82%"
"12/29/2022","6.02","6.01","6.19","5.91","904.00K","0.67%"
"12/28/2022","5.98","6.04","6.06","5.85","1.96M","-0.66%"
"12/27/2022","6.02","6.11","6.30","6.00","3.53M","-1.79%"
"12/26/2022","6.13","5.90","6.17","5.90","2.61M","2.17%"
"12/23/2022","6.00","5.95","6.01","5.88","583.50K","0.00%"
"12/22/2022","6.00","5.96","6.06","5.81","2.34M","0.50%"
"12/21/2022","5.97","6.08","6.23","5.85","2.93M","-0.33%"
"12/20/2022","5.99","6.43","6.43","5.83","3.27M","-5.67%"
"12/19/2022","6.35","6.59","6.69","6.28","1.33M","-2.01%"
"12/16/2022","6.48","6.52","6.60","6.43","550.00K","-1.07%"
"12/15/2022","6.55","6.74","6.75","6.52","2.29M","-1.50%"
"12/14/2022","6.65","6.70","6.78","6.62","1.11M","1.06%"
"12/13/2022","6.58","6.50","6.91","6.49","15.37M","1.23%"
"12/12/2022","6.50","6.70","6.70","6.46","706.50K","-1.52%"
"12/09/2022","6.60","6.71","6.71","6.58","824.50K","-0.75%"
"12/08/2022","6.65","6.99","6.99","6.63","1.32M","-3.62%"
"12/07/2022","6.90","6.85","7.00","6.78","791.50K","2.37%"
"12/06/2022","6.74","6.89","6.89","6.65","438.50K","0.15%"
"12/05/2022","6.73","6.82","6.97","6.71","361.50K","-3.03%"
"12/02/2022","6.94","6.82","7.04","6.81","308.00K","-0.57%"
"12/01/2022","6.98","6.87","7.08","6.87","325.50K","1.16%"
"11/30/2022","6.90","7.01","7.01","6.89","747.50K","-0.72%"
"11/29/2022","6.95","6.86","7.00","6.86","311.50K","1.46%"
"11/28/2022","6.85","7.00","7.05","6.80","5.41M","-3.66%"
"11/25/2022","7.11","7.30","7.32","7.10","2.43M","-1.11%"
"11/24/2022","7.19","7.49","7.50","7.16","7.85M","2.57%"
"11/23/2022","7.01","7.06","7.14","7.01","537.50K","-0.99%"
"11/22/2022","7.08","7.06","7.18","7.02","704.50K","-0.28%"
"11/21/2022","7.10","7.18","7.22","7.08","526.00K","-0.70%"
"11/18/2022","7.15","7.14","7.20","7.02","717.50K","0.70%"
"11/17/2022","7.10","7.40","7.40","7.08","1.76M","-3.40%"
"11/16/2022","7.35","7.49","7.55","7.32","1.34M","-0.68%"
"11/15/2022","7.40","7.64","7.64","7.36","1.47M","-2.63%"
"11/14/2022","7.60","7.40","7.72","7.31","12.83M","3.40%"
"11/11/2022","7.35","7.37","7.45","7.27","1.17M","0.41%"
"11/10/2022","7.32","7.39","7.45","7.29","1.09M","0.14%"
"11/08/2022","7.31","7.31","7.43","7.21","3.31M","0.55%"
"11/07/2022","7.27","7.34","7.48","7.20","8.92M","0.97%"
"11/04/2022","7.20","6.99","7.36","6.92","6.00M","2.71%"
"11/03/2022","7.01","7.05","7.29","7.01","3.08M","0.14%"
"11/02/2022","7.00","6.86","7.10","6.86","2.13M","1.45%"
"11/01/2022","6.90","6.80","6.94","6.79","270.50K","2.83%"
"10/31/2022","6.71","6.73","6.80","6.70","211.00K","1.05%"
"10/28/2022","6.64","6.76","6.95","6.60","1.04M","-2.35%"
"10/27/2022","6.80","6.90","6.97","6.80","736.50K","0.00%"
"10/26/2022","6.80","6.96","7.00","6.75","996.50K","-3.00%"
"10/25/2022","7.01","6.94","7.37","6.81","6.63M","2.94%"
"10/24/2022","6.81","7.10","7.10","6.81","573.00K","-1.02%"
"10/21/2022","6.88","6.85","7.20","6.80","1.13M","1.18%"
"10/20/2022","6.80","6.85","6.99","6.80","645.00K","-0.58%"
"10/19/2022","6.84","6.89","6.93","6.84","355.50K","0.29%"
"10/18/2022","6.82","6.98","6.98","6.79","153.50K","0.15%"
"10/17/2022","6.81","6.86","6.91","6.81","139.00K","-1.30%"
"10/14/2022","6.90","7.01","7.05","6.87","627.50K","-1.85%"
"10/13/2022","7.03","7.00","7.22","6.87","1.41M","1.15%"
"10/12/2022","6.95","7.00","7.07","6.94","567.50K","-0.57%"
"10/11/2022","6.99","7.09","7.09","6.97","188.50K","-0.43%"
"10/10/2022","7.02","7.02","7.12","6.98","334.50K","0.14%"
"10/07/2022","7.01","7.10","7.20","7.00","575.50K","-1.27%"
"10/06/2022","7.10","7.28","7.28","7.07","625.00K","-0.42%"
"10/05/2022","7.13","6.98","7.28","6.95","1.57M","2.89%"
"10/04/2022","6.93","6.90","7.00","6.89","544.00K","2.36%"
"10/03/2022","6.77","6.89","6.89","6.77","53.50K","0.15%"
"09/30/2022","6.76","6.84","6.85","6.76","4.09M","-1.31%"
"09/29/2022","6.85","6.95","6.95","6.77","475.00K","-2.00%"
"09/28/2022","6.99","6.92","7.08","6.90","154.00K","0.43%"
"09/27/2022","6.96","6.90","6.98","6.83","96.50K","1.16%"
"09/26/2022","6.88","6.84","6.90","6.72","218.00K","2.08%"
"09/23/2022","6.74","6.73","6.94","6.70","1.43M","-0.15%"
"09/22/2022","6.75","6.79","6.80","6.65","120.50K","-0.59%"
"09/21/2022","6.79","6.84","6.89","6.72","195.50K","-1.45%"
"09/20/2022","6.89","6.96","6.96","6.81","180.50K","-0.14%"
"09/19/2022","6.90","6.87","6.92","6.84","38.50K","0.58%"
"09/16/2022","6.86","6.83","6.92","6.82","113.00K","-0.29%"
"09/15/2022","6.88","7.09","7.10","6.86","447.00K","0.00%"
"09/14/2022","6.88","6.99","6.99","6.85","204.00K","-1.01%"
"09/13/2022","6.95","7.11","7.14","6.89","924.50K","-1.56%"
"09/12/2022","7.06","7.10","7.14","7.05","198.00K","0.00%"
"09/09/2022","7.06","7.15","7.18","7.05","302.50K","-0.28%"
"09/08/2022","7.08","7.15","7.17","7.05","147.50K","-0.84%"
"09/07/2022","7.14","7.15","7.15","7.08","103.50K","0.85%"
"09/06/2022","7.08","7.08","7.17","7.05","352.50K","-0.28%"
"09/05/2022","7.10","7.28","7.28","7.10","275.00K","-2.07%"
"09/02/2022","7.25","7.19","7.29","7.14","223.50K","0.42%"
"09/01/2022","7.22","7.23","7.45","7.20","599.50K","0.98%"
"08/31/2022","7.15","7.20","7.25","7.15","46.00K","-0.14%"
"08/30/2022","7.16","7.25","7.35","7.16","514.50K","0.14%"
"08/29/2022","7.15","7.16","7.22","7.10","243.50K","-0.97%"
"08/26/2022","7.22","7.44","7.45","7.21","615.50K","-0.69%"
"08/25/2022","7.27","7.33","7.39","7.27","156.50K","-1.62%"
"08/24/2022","7.39","7.50","7.50","7.31","372.00K","-0.14%"
"08/23/2022","7.40","7.40","7.70","7.39","2.57M","0.54%"
"08/22/2022","7.36","7.45","7.45","7.27","1.15M","-1.34%"
"08/19/2022","7.46","7.70","7.70","7.40","1.76M","-3.49%"
"08/18/2022","7.73","7.90","7.99","7.55","5.06M","-1.65%"
"08/17/2022","7.86","7.25","8.07","7.15","14.14M","9.93%"
"08/16/2022","7.15","7.27","7.33","7.15","799.00K","-0.97%"
"08/15/2022","7.22","7.13","7.35","7.13","471.00K","0.14%"
"08/12/2022","7.21","7.17","7.24","7.11","762.50K","1.26%"
"08/11/2022","7.12","7.11","7.20","7.10","798.00K","-0.28%"
"08/10/2022","7.14","7.29","7.29","7.11","1.01M","-0.83%"
"08/05/2022","7.20","7.13","7.31","7.13","831.00K","0.14%"
"08/04/2022","7.19","7.05","7.35","7.05","1.72M","0.56%"
"08/03/2022","7.15","6.84","7.16","6.84","1.97M","5.15%"
"08/02/2022","6.80","6.73","6.88","6.67","385.50K","0.74%"
"08/01/2022","6.75","6.69","6.90","6.69","289.00K","-2.17%"
"07/29/2022","6.90","6.88","6.90","6.79","126.00K","1.47%"
"07/28/2022","6.80","6.89","6.90","6.74","875.50K","1.49%"
"07/27/2022","6.70","6.90","6.90","6.65","587.00K","-1.47%"
"07/26/2022","6.80","6.67","6.80","6.67","689.00K","-1.02%"
"07/25/2022","6.87","6.81","6.87","6.73","205.00K","-0.43%"
"07/22/2022","6.90","6.62","6.90","6.60","1.26M","1.62%"
"07/21/2022","6.79","6.90","6.98","6.71","2.19M","-2.86%"
"07/20/2022","6.99","6.90","7.00","6.85","354.00K","-0.14%"
"07/19/2022","7.00","7.13","7.13","6.87","854.50K","-1.27%"
"07/18/2022","7.09","7.06","7.22","7.02","1.34M","-0.84%"
"07/15/2022","7.15","7.19","7.23","7.15","354.00K","0.28%"
"07/14/2022","7.13","7.12","7.23","7.12","398.00K","0.99%"
"07/13/2022","7.06","7.00","7.09","7.00","209.50K","-0.42%"
"07/07/2022","7.09","7.10","7.10","6.99","219.00K","0.71%"
"07/06/2022","7.04","7.01","7.08","7.00","203.00K","1.00%"
"07/05/2022","6.97","6.95","7.06","6.95","29.50K","0.00%"
"07/04/2022","6.97","7.00","7.07","6.95","265.00K","0.14%"
"07/01/2022","6.96","7.09","7.15","6.96","424.00K","0.14%"
"06/30/2022","6.95","7.08","7.09","6.90","482.50K","-1.00%"
"06/29/2022","7.02","7.01","7.19","7.00","390.50K","0.00%"
"06/28/2022","7.02","7.12","7.19","7.00","688.50K","-1.27%"
"06/27/2022","7.11","7.10","7.23","7.10","589.00K","1.43%"
"06/24/2022","7.01","7.30","7.32","6.96","1.27M","-2.91%"
"06/23/2022","7.22","7.25","7.50","7.20","1.58M","-0.41%"
"06/22/2022","7.25","7.40","7.43","7.23","182.50K","-1.36%"
"06/21/2022","7.35","7.28","7.40","7.20","2.32M","1.52%"
"06/20/2022","7.24","7.38","7.38","7.20","174.50K","-1.50%"
"06/17/2022","7.35","7.25","7.44","7.25","249.00K","0.41%"
"06/16/2022","7.32","7.28","7.34","7.10","3.25M","0.41%"
"06/15/2022","7.29","7.28","7.30","7.21","297.50K","0.55%"
"06/14/2022","7.25","7.10","7.26","7.00","329.00K","1.40%"
"06/13/2022","7.15","7.25","7.31","7.05","992.00K","-1.38%"
"06/10/2022","7.25","7.30","7.30","7.19","137.00K","-0.68%"
"06/09/2022","7.30","7.25","7.38","7.20","1.87M","0.27%"
"06/08/2022","7.28","7.20","7.29","7.20","68.50K","-0.27%"
"06/07/2022","7.30","7.31","7.41","7.15","263.50K","-0.14%"
"06/06/2022","7.31","7.40","7.42","7.31","414.50K","-1.22%"
"06/03/2022","7.40","7.51","7.61","7.30","452.50K","-2.63%"
"06/02/2022","7.60","7.61","7.66","7.55","188.50K","0.00%"
"06/01/2022","7.60","7.71","7.80","7.60","349.50K","-1.30%"
"05/31/2022","7.70","7.64","7.90","7.61","273.50K","0.65%"
"05/30/2022","7.65","7.72","7.85","7.61","555.50K","0.39%"
"05/27/2022","7.62","8.16","8.29","7.61","3.90M","-5.93%"
"05/26/2022","8.10","7.51","8.22","7.41","14.11M","8.00%"
"05/25/2022","7.50","7.25","7.52","7.11","2.23M","2.04%"
"05/24/2022","7.35","7.20","7.40","7.20","2.17M","0.68%"
"05/23/2022","7.30","7.11","7.31","7.03","631.50K","0.14%"
"05/20/2022","7.29","7.08","7.35","7.08","1.77M","1.67%"
"05/19/2022","7.17","7.19","7.29","7.11","415.00K","-0.28%"
"05/18/2022","7.19","6.95","7.33","6.90","9.93M","4.66%"
"05/17/2022","6.87","6.91","6.99","6.85","281.00K","-0.87%"
"05/16/2022","6.93","6.86","7.00","6.70","1.14M","-0.29%"
"05/13/2022","6.95","6.80","7.03","6.80","606.00K","1.02%"
"05/12/2022","6.88","6.95","7.07","6.69","2.71M","-0.29%"
"05/11/2022","6.90","7.00","7.09","6.65","3.42M","-3.36%"
"05/10/2022","7.14","7.00","7.18","6.88","857.50K","0.56%"
"05/09/2022","7.10","7.05","7.10","6.78","1.56M","-1.11%"
"05/06/2022","7.18","7.16","7.30","7.02","338.50K","-0.28%"
"04/28/2022","7.20","7.17","7.28","7.00","2.02M","-0.69%"
"04/27/2022","7.25","7.19","7.34","7.19","907.50K","0.00%"
"04/26/2022","7.25","7.45","7.50","7.00","10.55M","-1.49%"
"04/25/2022","7.36","7.70","7.84","7.35","3.93M","-4.42%"
"04/22/2022","7.70","7.71","7.78","7.67","375.50K","-1.28%"
"04/21/2022","7.80","7.70","7.81","7.65","457.50K","1.30%"
"04/20/2022","7.70","7.90","7.90","7.67","571.50K","-1.28%"
"04/19/2022","7.80","8.00","8.00","7.80","355.50K","-1.27%"
"04/18/2022","7.90","8.02","8.08","7.85","329.00K","-1.13%"
"04/15/2022","7.99","7.90","8.09","7.80","2.00M","2.83%"
"04/14/2022","7.77","7.85","7.90","7.69","1.10M","-2.63%"
"04/13/2022","7.98","8.07","8.20","7.93","1.02M","-1.24%"
"04/12/2022","8.08","8.07","8.10","7.86","808.50K","-0.12%"
"04/11/2022","8.09","7.80","8.25","7.80","4.84M","5.61%"
"04/08/2022","7.66","7.56","7.68","7.40","462.00K","2.13%"
"04/07/2022","7.50","7.55","7.56","7.42","83.50K","0.67%"
"04/06/2022","7.45","7.60","7.60","7.45","73.50K","0.00%"
"04/05/2022","7.45","7.49","7.65","7.40","378.50K","1.36%"
"04/04/2022","7.35","7.33","7.50","7.33","428.50K","-4.05%"
"04/01/2022","7.66","7.70","7.77","7.54","1.51M","-1.79%"
"03/31/2022","7.80","7.70","7.85","7.51","295.00K","1.56%"
"03/30/2022","7.68","7.56","7.85","7.50","1.34M","1.05%"
"03/29/2022","7.60","7.63","7.86","7.56","1.32M","-0.78%"
"03/28/2022","7.66","7.41","7.75","7.35","449.50K","1.59%"
"03/25/2022","7.54","7.45","7.70","7.45","276.50K","-1.18%"
"03/24/2022","7.63","7.40","7.63","7.32","466.50K","1.87%"
"03/22/2022","7.49","7.33","7.50","7.18","887.00K","1.22%"
"03/21/2022","7.40","7.40","7.50","7.30","166.00K","-1.20%"
"03/18/2022","7.49","7.31","7.59","7.25","556.50K","0.81%"
"03/17/2022","7.43","7.60","7.64","7.43","154.00K","-1.46%"
"03/16/2022","7.54","7.60","7.80","7.52","374.50K","-0.13%"
"03/15/2022","7.55","7.40","7.60","7.33","889.00K","3.85%"
"03/14/2022","7.27","7.53","7.60","7.16","880.50K","-3.45%"
"03/11/2022","7.53","7.74","7.74","7.48","1.09M","-2.33%"
"03/10/2022","7.71","7.70","7.85","7.70","532.50K","0.13%"
"03/09/2022","7.70","7.74","7.74","7.63","327.00K","1.45%"
"03/08/2022","7.59","7.66","7.75","7.55","556.50K","0.26%"
"03/07/2022","7.57","7.85","7.90","7.60","617.50K","-4.78%"
"03/04/2022","7.95","8.06","8.12","7.90","600.50K","-1.85%"
"03/03/2022","8.10","8.01","8.26","7.99","1.19M","0.62%"
"03/02/2022","8.05","8.00","8.14","7.83","6.16M","-0.49%"
"03/01/2022","8.09","7.94","8.17","7.91","2.18M","2.41%"
"02/28/2022","7.90","7.85","7.93","7.70","1.64M","1.15%"
"02/25/2022","7.81","7.81","7.98","7.71","780.00K","0.77%"
"02/24/2022","7.75","7.85","7.99","7.60","2.24M","-3.37%"
"02/23/2022","8.02","8.03","8.14","7.72","1.50M","1.52%"
"02/22/2022","7.90","8.25","8.29","7.70","3.97M","-3.66%"
"02/21/2022","8.20","8.25","8.31","8.16","1.25M","-0.61%"
"02/18/2022","8.25","8.27","8.32","8.21","499.50K","-0.36%"
"02/17/2022","8.28","8.32","8.50","8.20","546.50K","-1.66%"
"02/16/2022","8.42","8.40","8.50","8.35","490.00K","0.12%"
"02/15/2022","8.41","8.30","8.42","8.20","913.00K","1.33%"
"02/14/2022","8.30","8.50","8.50","8.30","892.00K","-2.12%"
"02/11/2022","8.48","8.52","8.55","8.43","1.22M","0.00%"
"02/10/2022","8.48","9.17","9.25","8.40","6.01M","-6.81%"
"02/09/2022","9.10","8.85","9.25","8.80","2.54M","4.60%"
"02/08/2022","8.70","8.80","8.89","8.67","910.50K","-0.91%"
"02/07/2022","8.78","8.80","9.05","8.77","1.51M","-0.79%"
"02/04/2022","8.85","8.94","8.94","8.84","311.50K","0.00%"
"02/03/2022","8.85","8.98","9.08","8.81","860.00K","-0.56%"
"02/02/2022","8.90","8.84","9.00","8.84","1.56M","1.37%"
"02/01/2022","8.78","8.82","8.86","8.75","531.00K","0.69%"
"01/31/2022","8.72","8.64","8.80","8.63","473.50K","1.40%"
"01/28/2022","8.60","8.56","8.78","8.54","533.00K","0.70%"
"01/27/2022","8.54","8.73","8.73","8.51","427.50K","-1.27%"
"01/26/2022","8.65","8.57","8.66","8.50","218.50K","1.17%"
"01/25/2022","8.55","8.62","8.73","8.55","304.00K","-0.35%"
"01/24/2022","8.58","8.77","8.77","8.55","402.50K","-0.58%"
"01/21/2022","8.63","8.70","8.70","8.59","810.00K","-0.69%"
"01/20/2022","8.69","8.80","8.80","8.60","1.16M","-0.80%"
"01/19/2022","8.76","9.18","9.18","8.76","785.00K","-3.74%"
"01/18/2022","9.10","9.23","9.23","9.00","1.04M","0.00%"
"01/17/2022","9.10","9.20","9.25","9.00","536.00K","-2.05%"
"01/14/2022","9.29","9.32","9.47","9.25","1.47M","-0.11%"
"01/13/2022","9.30","9.25","9.50","9.20","2.91M","1.09%"
"01/12/2022","9.20","8.88","9.35","8.88","6.39M","3.37%"
"01/11/2022","8.90","8.76","9.09","8.65","5.58M","2.18%"
"01/10/2022","8.71","8.57","8.76","8.57","740.00K","0.93%"
"01/07/2022","8.63","8.69","8.70","8.55","327.00K","0.70%"
"01/06/2022","8.57","8.85","8.94","8.57","1.73M","-2.17%"
