"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","12.88","12.95","13.00","12.88","8.00K","-1.75%"
"12/29/2022","13.11","12.61","13.25","12.50","16.50K","0.85%"
"12/28/2022","13.00","12.21","13.00","12.20","43.50K","3.59%"
"12/27/2022","12.55","12.81","12.85","12.55","12.00K","-2.33%"
"12/26/2022","12.85","12.90","13.20","12.85","27.50K","-0.39%"
"12/23/2022","12.90","13.01","13.24","12.90","7.00K","-2.93%"
"12/22/2022","13.29","13.10","13.30","13.10","44.00K","2.23%"
"12/21/2022","13.00","12.80","13.00","12.80","21.00K","0.78%"
"12/20/2022","12.90","13.01","13.05","12.40","130.00K","-1.15%"
"12/19/2022","13.05","13.00","13.15","12.95","27.00K","1.56%"
"12/16/2022","12.85","13.30","13.30","12.85","50.50K","-3.38%"
"12/15/2022","13.30","13.60","13.65","13.24","25.00K","-3.62%"
"12/14/2022","13.80","13.85","14.45","13.70","22.00K","-0.72%"
"12/13/2022","13.90","13.50","13.90","13.50","25.00K","4.67%"
"12/12/2022","13.28","13.72","13.72","13.28","86.50K","-5.48%"
"12/09/2022","14.05","13.70","14.20","13.70","180.50K","2.63%"
"12/08/2022","13.69","13.80","13.80","13.15","118.00K","0.29%"
"12/07/2022","13.65","13.39","13.95","13.39","102.00K","3.33%"
"12/06/2022","13.21","14.30","14.30","13.20","829.50K","-7.36%"
"12/05/2022","14.26","15.30","15.50","14.26","496.00K","-7.40%"
"12/02/2022","15.40","15.55","15.59","15.40","60.50K","0.65%"
"12/01/2022","15.30","15.35","15.35","15.16","3.00K","0.00%"
"11/30/2022","15.30","15.50","15.50","15.15","25.00K","-2.55%"
"11/29/2022","15.70","15.50","15.70","15.30","52.50K","1.29%"
"11/28/2022","15.50","15.90","16.00","15.50","15.50K","-3.13%"
"11/25/2022","16.00","16.25","16.25","16.00","3.50K","-0.31%"
"11/24/2022","16.05","16.01","16.25","16.01","6.00K","0.00%"
"11/23/2022","16.05","16.05","16.10","16.01","21.00K","-1.23%"
"11/22/2022","16.25","16.45","16.45","16.12","7.50K","0.00%"
"11/21/2022","16.25","16.15","16.25","16.10","18.00K","0.93%"
"11/18/2022","16.10","16.29","16.29","16.10","12.50K","-0.80%"
