"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","3.600","3.710","3.730","3.600","454.50K","-1.37%"
"12/29/2022","3.650","3.750","3.750","3.550","257.00K","1.11%"
"12/28/2022","3.610","3.900","3.940","3.600","897.50K","-6.48%"
"12/27/2022","3.860","4.150","4.270","3.860","1.38M","-4.69%"
"12/26/2022","4.050","3.810","4.280","3.810","1.97M","5.74%"
"12/23/2022","3.830","3.800","4.000","3.720","1.28M","-1.29%"
"12/22/2022","3.880","3.650","4.080","3.600","2.93M","7.48%"
"12/21/2022","3.610","3.590","3.900","3.200","2.90M","5.87%"
"12/20/2022","3.410","4.290","4.290","3.400","2.04M","-18.23%"
"12/19/2022","4.170","4.500","4.550","4.160","1.02M","-4.79%"
"12/16/2022","4.380","4.340","4.800","4.220","5.39M","2.82%"
"12/15/2022","4.260","3.860","4.400","3.350","4.36M","13.60%"
"12/14/2022","3.750","4.350","4.350","3.520","2.23M","-12.79%"
"12/13/2022","4.300","4.570","4.740","4.050","2.82M","-4.02%"
"12/12/2022","4.480","4.290","4.770","4.000","6.51M","8.74%"
"12/09/2022","4.120","4.800","5.100","4.120","13.01M","-9.65%"
"12/08/2022","4.560","3.990","4.560","3.760","12.88M","28.09%"
"12/07/2022","3.560","2.700","3.560","2.700","5.52M","41.83%"
"12/06/2022","2.510","2.470","2.650","2.370","425.50K","6.36%"
"12/05/2022","2.360","2.750","2.900","2.190","626.00K","-14.18%"
"12/02/2022","2.750","3.070","3.150","2.710","1.24M","-5.50%"
"12/01/2022","2.910","2.300","3.240","2.300","2.48M","28.76%"
"11/30/2022","2.260","2.280","2.280","2.150","41.50K","8.65%"
"11/29/2022","2.080","2.080","2.080","2.060","8.50K","0.00%"
"11/28/2022","2.080","2.060","2.250","2.060","32.00K","-9.96%"
"11/25/2022","2.310","2.390","2.390","2.250","30.50K","2.67%"
"11/24/2022","2.250","2.200","2.280","2.120","21.00K","1.35%"
"11/23/2022","2.220","2.290","2.430","2.100","285.50K","6.22%"
"11/22/2022","2.090","2.090","2.260","2.000","63.00K","-4.13%"
"11/21/2022","2.180","2.170","2.200","2.170","2.50K","-5.63%"
"11/18/2022","2.310","2.200","2.310","2.170","57.00K","5.00%"
"11/17/2022","2.200","2.270","2.270","2.200","7.00K","-7.56%"
"11/16/2022","2.380","2.380","2.380","2.190","4.50K","8.18%"
"11/15/2022","2.200","2.400","2.400","2.200","96.50K","-6.78%"
"11/14/2022","2.360","2.400","2.400","2.170","36.50K","-1.26%"
"11/11/2022","2.390","2.270","2.400","2.270","32.50K","4.82%"
"11/10/2022","2.280","2.300","2.380","2.280","11.50K","-4.60%"
"11/08/2022","2.390","2.300","2.390","2.270","41.50K","5.29%"
"11/07/2022","2.270","2.360","2.420","2.270","27.00K","-6.58%"
"11/04/2022","2.430","2.300","2.530","2.300","84.50K","-1.22%"
"11/03/2022","2.460","2.250","2.660","2.250","478.50K","11.31%"
"11/02/2022","2.210","2.200","2.210","2.160","24.00K","-3.49%"
"11/01/2022","2.290","2.100","2.290","2.100","34.50K","4.09%"
"10/31/2022","2.200","2.130","2.200","2.130","10.00K","2.80%"
"10/28/2022","2.140","2.190","2.200","2.100","51.50K","3.38%"
"10/27/2022","2.070","2.250","2.300","2.070","136.00K","-5.91%"
"10/26/2022","2.200","2.390","2.390","2.200","76.50K","-1.79%"
"10/25/2022","2.240","2.300","2.590","2.230","313.00K","-12.16%"
"10/24/2022","2.550","2.750","2.750","2.500","490.50K","-6.59%"
"10/21/2022","2.730","2.500","2.880","2.500","1.67M","9.20%"
"10/20/2022","2.500","2.580","2.580","2.310","262.50K","2.04%"
"10/19/2022","2.450","2.500","2.500","2.350","396.50K","-2.00%"
"10/18/2022","2.500","2.350","2.700","2.350","562.00K","8.70%"
"10/17/2022","2.300","2.250","2.500","2.180","573.50K","5.50%"
"10/14/2022","2.180","2.050","2.540","1.900","666.00K","6.34%"
"10/13/2022","2.050","2.100","2.100","1.950","17.00K","1.99%"
"10/12/2022","2.010","2.050","2.090","1.900","117.50K","-1.95%"
"10/11/2022","2.050","2.000","2.090","2.000","9.00K","-5.96%"
"10/07/2022","2.180","2.000","2.180","2.000","44.50K","3.81%"
"10/06/2022","2.100","2.050","2.100","1.980","19.00K","3.45%"
"10/05/2022","2.030","2.170","2.170","2.000","22.50K","-2.87%"
"10/04/2022","2.090","1.820","2.140","1.820","6.00K","0.48%"
"10/03/2022","2.080","1.910","2.090","1.900","33.00K","-7.14%"
