"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","24.80","22.76","24.83","22.52","1.43M","8.30%"
"12/29/2022","22.90","22.30","23.65","21.75","332.58K","2.55%"
"12/28/2022","22.33","22.25","22.35","21.95","84.01K","0.59%"
"12/27/2022","22.20","22.50","22.50","22.05","73.29K","-0.89%"
"12/26/2022","22.40","22.40","22.79","22.20","93.73K","1.82%"
"12/23/2022","22.00","22.59","22.75","21.81","55.65K","-1.57%"
"12/22/2022","22.35","22.90","22.90","21.80","44.47K","1.59%"
"12/21/2022","22.00","22.25","22.90","21.51","125.05K","-2.35%"
"12/20/2022","22.53","23.99","24.00","22.53","139.44K","-6.12%"
"12/19/2022","24.00","23.60","24.00","23.05","207.80K","0.42%"
"12/16/2022","23.90","24.30","24.43","23.60","467.08K","-1.24%"
"12/15/2022","24.20","24.45","24.45","23.50","360.66K","-1.98%"
"12/14/2022","24.69","24.41","24.95","24.41","492.19K","-0.76%"
"12/13/2022","24.88","24.95","25.00","24.30","126.84K","0.53%"
"12/12/2022","24.75","24.30","25.82","24.10","41.82K","1.48%"
"12/09/2022","24.39","24.75","24.75","24.10","73.69K","-0.25%"
"12/08/2022","24.45","24.81","24.98","24.25","119.39K","-2.00%"
"12/07/2022","24.95","24.65","25.29","24.50","51.76K","-0.20%"
"12/06/2022","25.00","25.30","25.30","24.70","56.88K","0.00%"
"12/05/2022","25.00","24.65","25.20","24.61","216.42K","-0.56%"
"12/02/2022","25.14","25.15","25.50","24.68","392.43K","-0.95%"
"12/01/2022","25.38","25.69","25.69","25.15","128.56K","0.04%"
"11/30/2022","25.37","25.89","25.89","25.01","93.12K","0.08%"
"11/29/2022","25.35","25.85","25.85","25.30","86.61K","-0.16%"
"11/28/2022","25.39","25.50","26.19","25.30","396.80K","-5.08%"
"11/25/2022","26.75","26.88","27.18","26.68","39.36K","-0.85%"
"11/24/2022","26.98","26.90","26.98","26.77","64.18K","0.30%"
"11/23/2022","26.90","27.25","27.25","26.71","98.74K","-0.37%"
"11/22/2022","27.00","27.00","27.28","26.85","92.48K","1.28%"
"11/21/2022","26.66","26.85","26.91","26.66","50.93K","-0.74%"
"11/18/2022","26.86","27.10","27.10","26.85","63.85K","-0.52%"
"11/17/2022","27.00","27.49","27.49","26.95","96.00K","0.33%"
"11/16/2022","26.91","27.55","27.68","26.90","568.59K","-2.15%"
"11/15/2022","27.50","27.66","28.00","27.45","549.79K","-1.79%"
"11/14/2022","28.00","28.50","28.50","27.60","244.66K","-2.37%"
"11/11/2022","28.68","28.47","28.68","28.25","137.66K","1.16%"
"11/10/2022","28.35","28.63","28.63","28.13","198.59K","0.18%"
"11/08/2022","28.30","28.69","28.69","28.11","609.57K","-0.70%"
"11/07/2022","28.50","28.90","28.90","27.85","277.49K","1.42%"
"11/04/2022","28.10","28.20","28.35","27.60","49.80K","-0.71%"
"11/03/2022","28.30","28.39","28.45","28.11","40.73K","0.28%"
"11/02/2022","28.22","28.70","28.70","27.61","165.39K","-1.16%"
"11/01/2022","28.55","28.25","28.55","28.00","83.55K","2.70%"
"10/31/2022","27.80","27.35","28.18","27.35","130.59K","0.91%"
"10/28/2022","27.55","28.16","28.85","27.50","1.05M","-3.97%"
"10/27/2022","28.69","28.60","28.70","28.25","78.55K","1.20%"
"10/26/2022","28.35","29.45","29.49","28.01","143.96K","-4.09%"
"10/25/2022","29.56","30.24","30.24","29.51","40.02K","-1.14%"
"10/24/2022","29.90","29.49","30.25","29.49","357.86K","2.36%"
"10/21/2022","29.21","29.06","29.39","28.86","93.25K","0.34%"
"10/20/2022","29.11","29.39","29.45","29.00","72.55K","-0.31%"
"10/19/2022","29.20","29.35","29.37","29.01","78.21K","0.93%"
"10/18/2022","28.93","29.00","29.29","28.91","72.45K","0.07%"
"10/17/2022","28.91","29.20","29.49","28.91","108.56K","-1.09%"
"10/14/2022","29.23","29.63","29.63","29.10","75.58K","-0.07%"
"10/13/2022","29.25","29.15","29.60","29.10","105.30K","0.17%"
"10/12/2022","29.20","29.40","29.50","29.15","165.48K","-0.34%"
"10/11/2022","29.30","29.80","29.80","29.07","206.91K","-1.51%"
