"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","46.50","47.25","48.00","46.50","474.00K","-2.08%"
"12/29/2022","47.49","45.50","47.50","43.53","562.00K","7.57%"
"12/28/2022","44.15","46.74","46.80","44.15","33.50K","-2.32%"
"12/27/2022","45.20","46.46","48.00","45.20","14.00K","-3.62%"
"12/26/2022","46.90","46.50","47.00","45.29","47.50K","3.55%"
"12/23/2022","45.29","45.29","45.29","45.29","2.00K","-1.54%"
"12/22/2022","46.00","45.15","46.00","45.00","37.00K","2.22%"
"12/21/2022","45.00","44.50","45.00","44.15","50.00K","-4.23%"
"12/20/2022","46.99","46.99","47.00","43.52","117.00K","-0.86%"
"12/19/2022","47.40","50.50","50.51","46.50","6.00K","0.85%"
"12/16/2022","47.00","48.00","48.99","46.00","26.50K","0.02%"
"12/15/2022","46.99","45.71","46.99","45.60","4.50K","-3.93%"
"12/14/2022","48.91","47.03","50.50","46.50","85.00K","2.97%"
"12/13/2022","47.50","47.80","47.80","46.00","21.00K","1.06%"
"12/12/2022","47.00","49.65","49.70","45.65","22.50K","-0.06%"
"12/09/2022","47.03","47.30","48.00","43.50","54.00K","1.10%"
"12/08/2022","46.52","47.68","49.35","46.52","1.50K","-3.88%"
"12/07/2022","48.40","48.50","48.50","47.10","12.00K","0.85%"
"12/06/2022","47.99","46.00","47.99","46.00","11.00K","6.64%"
"12/05/2022","45.00","50.85","50.90","44.65","87.00K","-6.76%"
"12/02/2022","48.26","50.90","50.91","48.26","1.50K","0.00%"
"12/01/2022","48.26","50.90","51.00","48.26","5.00K","-3.46%"
"11/30/2022","49.99","47.86","49.99","46.99","215.50K","4.15%"
"11/29/2022","48.00","46.98","49.45","45.61","52.00K","6.64%"
"11/28/2022","45.01","46.11","48.00","44.94","14.50K","-7.67%"
"11/25/2022","48.75","50.90","50.90","47.10","17.00K","1.56%"
"11/24/2022","48.00","48.00","48.50","48.00","2.50K","-1.92%"
"11/22/2022","48.94","46.50","48.94","45.45","23.50K","5.47%"
"11/21/2022","46.40","45.00","46.45","45.00","11.00K","-1.23%"
"11/18/2022","46.98","47.13","47.13","46.80","4.00K","-1.09%"
"11/17/2022","47.50","47.10","47.50","46.85","268.50K","1.39%"
"11/16/2022","46.85","47.61","47.61","46.75","20.00K","-3.90%"
"11/15/2022","48.75","46.16","49.45","46.15","4.50K","-1.50%"
"11/14/2022","49.49","48.62","49.50","48.50","4.00K","-1.02%"
"11/11/2022","50.00","50.99","50.99","50.00","2.00K","0.77%"
"11/10/2022","49.62","52.40","52.40","49.61","14.50K","-5.38%"
"11/08/2022","52.44","49.98","52.44","49.98","12.00K","5.94%"
"11/07/2022","49.50","51.00","51.00","49.11","37.00K","-1.10%"
"11/04/2022","50.05","50.56","50.56","50.00","11.50K","-2.82%"
"11/03/2022","51.50","51.06","52.00","50.50","9.50K","0.98%"
"11/02/2022","51.00","51.00","51.00","51.00","2.00K","-1.90%"
"11/01/2022","51.99","53.90","53.90","50.51","21.00K","1.94%"
"10/31/2022","51.00","53.99","53.99","50.22","5.50K","0.00%"
"10/28/2022","51.00","54.75","54.75","51.00","8.50K","-3.77%"
"10/27/2022","53.00","51.00","53.01","51.00","22.00K","0.00%"
"10/25/2022","53.00","54.98","54.98","53.00","2.00K","-1.85%"
"10/21/2022","54.00","53.00","54.82","53.00","8.50K","1.87%"
"10/20/2022","53.01","56.90","56.90","53.01","1.50K","-3.62%"
"10/19/2022","55.00","54.26","56.00","54.26","17.50K","1.83%"
"10/18/2022","54.01","53.97","57.45","52.51","82.00K","0.20%"
"10/17/2022","53.90","54.00","54.00","53.00","15.50K","1.01%"
"10/14/2022","53.36","53.36","53.36","53.36","0.50K","-0.17%"
"10/13/2022","53.45","53.96","53.99","52.51","75.00K","0.85%"
"10/12/2022","53.00","54.00","54.75","53.00","16.00K","-3.64%"
"10/11/2022","55.00","56.50","57.00","54.00","64.00K","-1.79%"
"10/10/2022","56.00","54.50","55.99","53.75","104.50K","3.92%"
"10/07/2022","53.89","53.89","53.89","53.89","0.50K","-0.20%"
"10/06/2022","54.00","52.14","54.00","52.00","24.50K","1.50%"
"10/05/2022","53.20","53.49","53.85","52.00","152.50K","-1.21%"
"10/04/2022","53.85","53.80","53.85","53.80","1.00K","0.00%"
"10/03/2022","53.85","53.70","53.95","52.00","17.00K","0.26%"
"09/27/2022","53.71","52.90","54.00","51.55","42.50K","1.84%"
"09/26/2022","52.74","52.49","52.98","51.43","28.50K","2.55%"
"09/23/2022","51.43","51.10","52.25","51.00","44.00K","0.33%"
"09/22/2022","51.26","52.11","52.11","51.00","22.00K","-5.16%"
"09/21/2022","54.05","53.80","55.00","53.00","49.50K","3.94%"
"09/20/2022","52.00","52.00","52.00","52.00","0.50K","-2.60%"
"09/16/2022","53.39","53.00","55.94","51.05","50.50K","0.53%"
"09/15/2022","53.11","54.54","54.54","53.07","4.50K","-4.03%"
"09/14/2022","55.34","53.99","56.00","53.56","16.50K","3.32%"
"09/13/2022","53.56","51.12","55.00","50.60","548.00K","2.78%"
"09/12/2022","52.11","52.11","52.11","52.11","0.50K","-1.03%"
"09/09/2022","52.65","52.05","54.99","52.00","8.50K","-1.11%"
"09/08/2022","53.24","51.87","53.95","51.00","42.50K","3.64%"
"09/07/2022","51.37","52.03","52.03","51.20","41.00K","-1.21%"
"09/06/2022","52.00","53.95","53.95","52.00","24.00K","-2.86%"
"09/05/2022","53.53","52.25","53.90","52.10","9.50K","-1.07%"
"09/02/2022","54.11","55.49","57.80","52.30","58.50K","-2.50%"
"09/01/2022","55.50","54.00","57.97","53.93","49.50K","2.91%"
"08/31/2022","53.93","51.99","54.00","51.25","51.50K","3.65%"
"08/30/2022","52.03","53.48","53.69","51.00","29.00K","2.18%"
