"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","54.99","53.00","57.00","52.50","3.42M","3.74%"
"12/29/2022","53.01","51.60","55.57","50.00","4.66M","2.24%"
"12/28/2022","51.85","52.25","52.60","50.90","1.15M","-0.96%"
"12/27/2022","52.35","52.98","52.98","52.10","107.28K","-0.85%"
"12/26/2022","52.80","53.00","54.29","52.01","681.76K","0.57%"
"12/23/2022","52.50","53.39","53.50","52.00","1.03M","-1.87%"
"12/22/2022","53.50","52.90","53.50","52.02","239.08K","2.37%"
"12/21/2022","52.26","51.58","53.10","50.50","271.48K","-0.10%"
"12/20/2022","52.31","57.05","57.09","52.31","1.33M","-8.23%"
"12/19/2022","57.00","56.30","57.00","55.55","689.45K","1.53%"
"12/16/2022","56.14","57.26","57.26","55.30","236.44K","-1.16%"
"12/15/2022","56.80","57.74","57.74","56.50","638.75K","-1.54%"
"12/14/2022","57.69","56.88","58.60","56.70","968.52K","1.93%"
"12/13/2022","56.60","56.99","56.99","56.00","266.80K","0.18%"
"12/12/2022","56.50","56.55","57.20","55.00","408.23K","-1.64%"
"12/09/2022","57.44","56.99","57.44","56.50","210.34K","0.77%"
"12/08/2022","57.00","57.97","57.97","56.20","585.28K","-0.89%"
"12/07/2022","57.51","58.10","58.20","57.30","840.56K","-0.09%"
"12/06/2022","57.56","58.20","58.44","57.10","932.59K","-2.44%"
"12/05/2022","59.00","58.50","59.00","57.00","376.77K","1.03%"
"12/02/2022","58.40","57.51","58.60","57.01","646.74K","-0.14%"
"12/01/2022","58.48","57.91","58.74","57.91","70.93K","-0.03%"
"11/30/2022","58.50","59.30","59.35","58.00","636.11K","-0.85%"
"11/29/2022","59.00","59.39","59.40","58.11","80.28K","-0.15%"
"11/28/2022","59.09","59.99","59.99","57.30","794.39K","-2.14%"
"11/25/2022","60.38","61.25","61.25","60.10","564.13K","-0.85%"
"11/24/2022","60.90","61.95","61.33","60.71","323.82K","-0.81%"
"11/23/2022","61.40","61.50","61.70","60.90","130.00K","0.66%"
"11/22/2022","61.00","60.50","61.65","59.62","582.21K","1.67%"
"11/21/2022","60.00","61.50","61.50","59.40","755.17K","-0.83%"
"11/18/2022","60.50","61.20","61.99","60.25","451.28K","-1.61%"
"11/17/2022","61.49","62.70","62.70","61.49","165.87K","-0.66%"
"11/16/2022","61.90","63.00","63.40","61.80","238.87K","-1.75%"
"11/15/2022","63.00","63.50","63.60","62.75","257.48K","0.72%"
"11/14/2022","62.55","63.28","63.33","62.50","74.33K","-1.23%"
"11/11/2022","63.33","63.49","63.80","63.10","187.55K","-0.27%"
"11/10/2022","63.50","61.62","64.00","61.54","724.37K","2.16%"
"11/08/2022","62.16","62.10","62.60","61.43","255.86K","0.63%"
"11/07/2022","61.77","61.41","61.81","61.01","166.67K","1.26%"
"11/04/2022","61.00","60.25","61.70","60.10","205.12K","-1.72%"
"11/03/2022","62.07","62.75","63.00","61.90","396.48K","0.11%"
"11/02/2022","62.00","62.02","62.75","61.20","369.14K","0.37%"
"11/01/2022","61.77","61.89","61.98","60.90","155.57K","1.60%"
"10/31/2022","60.80","61.05","63.00","60.15","533.53K","-0.83%"
"10/28/2022","61.31","61.33","62.45","60.10","407.40K","-1.11%"
"10/27/2022","62.00","62.74","62.74","60.10","790.63K","-0.48%"
"10/26/2022","62.30","62.01","62.90","61.40","472.93K","-0.32%"
"10/25/2022","62.50","63.60","64.09","62.00","297.60K","-1.96%"
"10/24/2022","63.75","64.99","64.99","63.50","154.20K","0.02%"
"10/21/2022","63.74","64.00","64.10","62.50","256.83K","-0.72%"
"10/20/2022","64.20","65.00","65.35","63.70","187.32K","-0.33%"
"10/19/2022","64.41","64.02","64.50","63.63","142.23K","-4.65%"
"10/18/2022","67.55","68.49","68.49","67.50","275.47K","-0.22%"
"10/17/2022","67.70","68.20","68.55","67.15","304.39K","-0.73%"
"10/14/2022","68.20","67.96","69.20","67.96","744.47K","-0.44%"
"10/13/2022","68.50","68.00","68.50","67.76","223.43K","0.87%"
"10/12/2022","67.91","68.94","68.94","67.75","226.47K","-1.15%"
"10/11/2022","68.70","68.60","69.50","68.50","249.18K","-0.43%"
"10/10/2022","69.00","68.99","69.15","67.89","746.00K","0.36%"
"10/07/2022","68.75","69.90","70.90","68.51","1.86M","-0.36%"
"10/06/2022","69.00","68.10","69.49","67.61","746.78K","1.47%"
"10/05/2022","68.00","68.25","68.55","67.50","272.77K","-0.15%"
"10/04/2022","68.10","67.11","68.50","67.10","539.99K","1.46%"
"10/03/2022","67.12","67.99","67.99","67.12","275.96K","-1.47%"
"09/30/2022","68.12","68.60","68.60","67.50","825.84K","-0.26%"
"09/29/2022","68.30","69.10","69.11","68.20","305.13K","-0.44%"
"09/28/2022","68.60","69.18","69.80","68.15","735.36K","0.15%"
"09/27/2022","68.50","67.38","69.80","67.11","583.56K","2.70%"
"09/26/2022","66.70","67.10","67.89","66.50","958.02K","-0.06%"
"09/23/2022","66.74","68.50","68.50","66.11","841.96K","-2.43%"
"09/22/2022","68.40","68.30","68.80","67.50","407.30K","-0.87%"
"09/21/2022","69.00","68.98","69.65","68.00","748.20K","0.32%"
